50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,54ed8e6b-7ca0-4214-8e5e-642a99cf07dd,1,,,,69213,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26170, 'name': 'Francisco Javier Chica Torres'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7909, 'name': 'Nicolás Martín Pareja'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 30}, {'player': {'id': 6886, 'name': 'Dídac Vilá Rosselló'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 35}, {'player': {'id': 24744, 'name': 'Juan Daniel Forlín'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 26607, 'name': 'José Raúl Baena Urdiales'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 37}, {'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 26211, 'name': 'Joan Verdú Fernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 23916, 'name': 'Luis García Fernández'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 26609, 'name': 'Pablo Daniel Osvaldo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Espanyol,214,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8127ad3e-7029-4005-8f75-376c17999c6c,2,,,,69213,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 25919, 'name': 'Gabriel Alejandro Milito'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e17df152-d245-460b-82e9-44470ff5c112,3,,,,69213,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['0f204ce3-25f9-4b4f-951e-df3afe1f123c'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0f204ce3-25f9-4b4f-951e-df3afe1f123c,4,,,,69213,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['e17df152-d245-460b-82e9-44470ff5c112'],0,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,41a9f8a8-3ac3-4bf8-90f6-3d5bf6cfac29,1608,,,,69213,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,102,Espanyol,214,['6eebd1da-dab5-41b0-9513-3a1e447811aa'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6eebd1da-dab5-41b0-9513-3a1e447811aa,1609,,,,69213,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,102,Espanyol,214,['41a9f8a8-3ac3-4bf8-90f6-3d5bf6cfac29'],0,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,0.252835,,,,,,,,,,,,,,226955c2-05ff-487e-a477-f3975eb5d7fc,5,,,"[61.0, 41.0]",69213,0,,,,,-2.2404354,,Right Foot,,,"[59.1, 38.6]",Ground Pass,,3.0610456,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['59527d81-1d5d-414a-97ac-355eba6845a5'],1,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.437,Pass,,2009/2010
,,,,,,,,,,,,,,,1.149543,,,,,,,,,,,,,,337824fb-9d45-4ff2-9cf4-83eaf32e6337,8,,,"[59.3, 40.9]",69213,0,,,,,2.7430701,,Left Foot,,,"[46.0, 46.5]",Ground Pass,,14.43087,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['bc80aca3-38ff-4df2-9195-511db3ccffeb'],1,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.944,Pass,,2009/2010
,,,,,,,,,,,,,,,1.122761,,,,,,,,,,,,,,ad5f1786-3e8b-4a36-a535-fb89c304c0cd,11,,,"[45.4, 46.3]",69213,0,,,,,-2.1424294,,Right Foot,,,"[34.4, 29.2]",Ground Pass,,20.332487,,,Gabriel Alejandro Milito,25919.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['a6bd7c01-78c5-4245-a589-b01cf03bdcd6'],4,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.181,Pass,,2009/2010
,,,,,,,,,,,,,,,3.029199,,,,,,,,,,,,,,24964095-1603-4661-9453-6595a64bcb27,14,,,"[43.3, 26.9]",69213,0,,,,,0.92532283,,Left Foot,,,"[79.9, 75.5]",High Pass,,60.84012,Incomplete,,Pedro Eliezer Rodríguez Ledesma,3958.0,,True,,,,1,From Kick Off,Gabriel Alejandro Milito,25919.0,Left Center Back,2,Barcelona,217,"['a967a783-eaab-40f3-9f5c-c0cb5e9c0bb3', 'b1c4ac6a-364a-493b-8945-f37d0d983b08']",8,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.313,Pass,,2009/2010
,,,,,,,,,,,,,,,0.532765,,,,,,,,,,,,,,6a4143a4-705a-4066-a80e-b94f8d063af7,17,,,"[78.8, 80.0]",69213,0,,,,,-1.5295826,,,,,"[79.2, 70.3]",Low Pass,,9.708244,,,Sergio Busquets i Burgos,5203.0,,,,,Throw-in,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['0e24b5a6-901b-4978-8e7f-d588fafb8c75'],24,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.794,Pass,,2009/2010
,,,,,,,,,,,,,,,0.594439,,,,,,,,,,,,,,5365410c-63c0-44d2-a9f9-34acb02c9e5a,20,,,"[79.2, 70.3]",69213,0,,,,,1.8125492,,Right Foot,,,"[77.4, 77.6]",Low Pass,,7.5186434,,,Daniel Alves da Silva,4324.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['562bc5f7-af0e-48ac-ad70-edceb8365a88'],25,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.362,Pass,,2009/2010
,,,,,,,,,,,,,,,1.701422,,,,,,,,,,,,,,84c89f9a-8e09-436f-bb3e-adf599f2a086,23,,,"[77.4, 77.6]",69213,0,,,,,-2.251098,,Right Foot,,,"[56.2, 51.4]",High Pass,,33.70282,,,Gabriel Alejandro Milito,25919.0,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['10af9386-1c2c-4ce6-99a8-8df6f3a8db9c'],26,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.165,Pass,,2009/2010
