ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,02c467c3-a42e-4b2f-931a-7b3560f44d23,1,,,69219,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tenerife,627,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26627, 'name': 'Sergio Aragoneses Almeida'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26632, 'name': 'Juan Luis Hens Lorite'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 26631, 'name': 'Ezequiel Luna'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 26630, 'name': 'Pablo Sicilia Roig'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 23793, 'name': 'Carlos Bellvís Llorens'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 26629, 'name': 'Mikel Alonso Olano'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 26626, 'name': 'Ricardo León Brito'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 26628, 'name': 'Ayoze García Pérez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 24191, 'name': 'Alejandro Alfaro Ligero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 26126, 'name': 'Daniel Armand N""Gom Komé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 24166, 'name': 'Juan Francisco Martínez Modesto'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Tenerife,627,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,84d05812-ae96-4b7e-8a92-b17238d8a0fd,2,,,69219,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tenerife,627,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Barcelona,217,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,528839ba-8104-40ff-814d-4ba289842dae,3,,,69219,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tenerife,627,['91ba7fdb-09d4-4666-b232-be08f48879fc'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,91ba7fdb-09d4-4666-b232-be08f48879fc,4,,,69219,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tenerife,627,['528839ba-8104-40ff-814d-4ba289842dae'],0,,,,,,,,,,,,,,,,,,,Tenerife,627,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,58211d68-e402-4261-bec8-019523eae6e3,1632,,,69219,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,102,Tenerife,627,['73178579-8d2f-4750-9a7f-1023c35ccc10'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,73178579-8d2f-4750-9a7f-1023c35ccc10,1633,,,69219,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,102,Tenerife,627,['58211d68-e402-4261-bec8-019523eae6e3'],0,,,,,,,,,,,,,,,,,,,Tenerife,627,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,0.119366,,,,,,,,,,,,,553237ee-6f5a-459d-ba02-e38b8de7827d,5,,"[61.0, 41.0]",69219,0,,,,,1.744042,,Right Foot,,,"[60.3, 45.0]",,Ground Pass,,4.060788,,,,Alejandro Alfaro Ligero,24191.0,,,,,Kick Off,1,From Kick Off,Juan Francisco Martínez Modesto,24166.0,Center Forward,2,Tenerife,627,['d9bfdb9c-ee28-450a-a8f5-30bce3225927'],0,,,,,,,,,,,,,,,,,,,Tenerife,627,00:00:00.960,Pass,,2009/2010
,,,,,,,,,,,,,2.084626,,,,,,,,,,,,,c8993ad6-58f0-431c-94c9-a29fd2c29b88,8,,"[60.0, 45.5]",69219,0,,,,,3.072472,,Right Foot,,,"[34.0, 47.3]",,Ground Pass,,26.062233,,,,Ezequiel Luna,26631.0,,,,,,1,From Kick Off,Alejandro Alfaro Ligero,24191.0,Center Attacking Midfield,2,Tenerife,627,['8d0dce44-624d-4cab-95fe-8690613a2d64'],1,,,,,,,,,,,,,,,,,,,Tenerife,627,00:00:01.119,Pass,,2009/2010
,,,,,,,,,,,,,1.9895,,,,,,,,,,,,,65c1cdaa-c4e5-4a8f-8562-dcd0fa00dc5f,12,,"[34.2, 48.9]",69219,0,,,,,-0.10261315,,Right Foot,,,"[77.9, 44.4]",,High Pass,,43.931084,,,,Juan Francisco Martínez Modesto,24166.0,,,,,,1,From Kick Off,Ezequiel Luna,26631.0,Right Center Back,2,Tenerife,627,['395280fb-ae73-4104-9027-f76a833b2d75'],4,,,,,,,,,,,,,,,,,,,Tenerife,627,00:00:04.669,Pass,,2009/2010
,,,,,,,,,,,,,1.222515,,,,,,,,,,,,,ca5b51d0-669f-4fe8-b253-24c5fb311d25,14,,"[77.7, 44.8]",69219,0,,,,,-2.9269078,,Right Foot,,,"[64.4, 41.9]",,Low Pass,,13.612494,,,,Ricardo León Brito,26626.0,,,,,,1,From Kick Off,Juan Francisco Martínez Modesto,24166.0,Center Forward,2,Tenerife,627,['61b11f10-79e7-441c-9fb4-36afc1a59f7a'],6,,,,,,,,,,,,,,,,,,,Tenerife,627,00:00:06.658,Pass,,2009/2010
