ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ea8d874a-6164-4e66-9859-905efdcd838e,1,,,69222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5248, 'name': 'José Martín Cáceres Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 25854, 'name': 'Sylvio Mendes Campos Junior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 11270, 'name': 'Eiður Smári Guðjohnsen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Barcelona,217,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cd30e545-88c0-4a82-a233-52c3a888455e,2,,,69222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 10763, 'name': 'Asier Riesgo Unamuno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 16604, 'name': 'Alain Nef'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 26642, 'name': 'Mogammat Nasief Morris'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 26644, 'name': 'Andrés Lamas Bervejillo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 26612, 'name': 'José Manuel Casado Bizcocho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 26643, 'name': 'Sebastián Ricardo Nayar'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 26080, 'name': 'Rafael Barber Rodríguez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 26169, 'name': 'Javier Camuñas Gallego'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 26189, 'name': 'Sisinio González Martínez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 25426, 'name': 'Marco Gastón Ruben Rodríguez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",Recreativo Huelva,1220,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0f2bd28c-faaf-49c6-be0c-909c5f702a12,3,,,69222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['b0978b3a-bb3d-485d-b43d-e92a189c4932'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b0978b3a-bb3d-485d-b43d-e92a189c4932,4,,,69222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['0f2bd28c-faaf-49c6-be0c-909c5f702a12'],0,,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,61bfc444-52b3-4866-b950-9bd9416a653f,1494,,,69222,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,89,Recreativo Huelva,1220,['e7eb98a8-d1e6-44f3-822d-a651d5565f93'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e7eb98a8-d1e6-44f3-822d-a651d5565f93,1495,,,69222,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,89,Recreativo Huelva,1220,['61bfc444-52b3-4866-b950-9bd9416a653f'],0,,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,0.5216,,,,,,,,,,,,,,bd4a329f-f726-46a2-9a10-e9500437f1dd,5,,"[61.0, 41.0]",69222,0,,,,,-1.2847449,,Right Foot,,,,"[61.5, 39.3]",,Ground Pass,,1.7720045,,,,Marco Gastón Ruben Rodríguez,25426.0,,,,,,Kick Off,1,From Kick Off,Sisinio González Martínez,26189.0,Right Center Forward,2,Recreativo Huelva,1220,['b3803771-0971-4730-bd86-f8c459fda7cb'],1,,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:00:01.661,Pass,,2008/2009
,,,,,,,,,,,,,,,0.7606,,,,,,,,,,,,,,f0f2bf46-9b14-491a-9ca6-7fff95672578,7,,"[60.5, 40.2]",69222,0,,,,,2.5431738,,Left Foot,,,,"[58.3, 41.7]",,Ground Pass,,2.6627054,,,,Sisinio González Martínez,26189.0,,,,,,,1,From Kick Off,Marco Gastón Ruben Rodríguez,25426.0,Left Center Forward,2,Recreativo Huelva,1220,['d51af261-4e1b-4b9f-862d-c120bde2455b'],2,,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:00:02.183,Pass,,2008/2009
,,,,,,,,,,,,,,,2.414377,,,,,,,,,,,,,,32a5713f-2540-4e49-b2cb-2cfb485b0850,9,,"[57.5, 45.1]",69222,0,,,,,2.1037278,,Right Foot,,,,"[44.7, 66.8]",,Ground Pass,,25.193848,,,,Alain Nef,16604.0,,,,,,,1,From Kick Off,Sisinio González Martínez,26189.0,Right Center Forward,2,Recreativo Huelva,1220,['7d454454-11b0-4baf-b029-1da0b1281166'],2,,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:00:02.944,Pass,,2008/2009
,,,,,,,,,,,,,,,2.1987,,,,,,,,,,,,,,bd83ad77-0959-4b07-87cc-f01caacc5e06,12,,"[38.8, 64.4]",69222,0,,,,,-2.2367656,,Right Foot,,,,"[17.9, 37.8]",,Ground Pass,,33.828537,,,,Andrés Lamas Bervejillo,26644.0,,,,,,,1,From Kick Off,Alain Nef,16604.0,Right Back,2,Recreativo Huelva,1220,['a6b25d6d-fbd8-4655-a3e1-834f694422fb'],8,,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:00:08.579,Pass,,2008/2009
