50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bcb4f9fa-adb3-4bfe-aeab-4b7afaa406b7,1,,,69229,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26658, 'name': 'Óscar Alfredo Ustari'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25994, 'name': 'David Cortés Caballero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 26496, 'name': 'Daniel Alberto Díaz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 24614, 'name': 'Rafael López Gómez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 26436, 'name': 'José Manuel Jiménez Ortiz'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 20321, 'name': 'Fabio Celestini'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6907, 'name': 'Pedro León Sánchez Gil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 6557, 'name': 'Adrián González Morales'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 26425, 'name': 'Juan Ángel Albín Leites'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 26009, 'name': 'Roberto Soldado Rillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Getafe,216,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,efbb2b97-86f7-4725-a000-ff3ae9b59f40,2,,,69229,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 18608, 'name': 'Dmytro Chygrynskiy'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 26624, 'name': 'Jeffren Isaac Suárez Bermúdez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e00becf6-7dc4-4db4-b18b-78f9429a34bb,3,,,69229,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,['ce1e8214-a210-42e3-a94a-e0875d383d81'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ce1e8214-a210-42e3-a94a-e0875d383d81,4,,,69229,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,['e00becf6-7dc4-4db4-b18b-78f9429a34bb'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,469f87dd-7f39-41ca-b12b-7f7374f09992,1727,,,69229,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,114,Barcelona,217,['e1b51b71-a0b4-4eaa-bba3-4385b3d99fa2'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e1b51b71-a0b4-4eaa-bba3-4385b3d99fa2,1728,,,69229,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,114,Barcelona,217,['469f87dd-7f39-41ca-b12b-7f7374f09992'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,1.2326,,,,,,,,,,,,d5009c92-42a9-4841-a347-6742b04c1f0e,5,,"[61.0, 41.0]",69229,0,,,,,3.1415927,,Right Foot,,,"[54.7, 41.0]",,Ground Pass,,6.3,,,,Fabio Celestini,20321.0,,,,,Kick Off,1,From Kick Off,Roberto Soldado Rillo,26009.0,Center Forward,2,Getafe,216,['72903f67-b5a3-4df3-96fa-e732f5093939'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.802,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.024459,,,,,,,,,,,,e44353e8-0808-47b7-b1e2-83562450422d,8,,"[50.9, 44.9]",69229,0,,,,,2.3403227,,Right Foot,,,"[41.6, 54.5]",,Ground Pass,,13.366002,,,,Daniel Alberto Díaz,26496.0,,,,,,1,From Kick Off,Fabio Celestini,20321.0,Left Defensive Midfield,2,Getafe,216,['f884a71f-af8e-41c1-bc94-e0cc8bfe9fa7'],2,,,,,,,,,,,,,,,,,Getafe,216,00:00:02.725,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.4671,,,,,,,,,,,,31061bba-5d67-4efd-adda-bca99d34fbd6,11,,"[44.2, 57.6]",69229,0,,,,,-0.26844144,,Right Foot,,,"[75.1, 49.1]",,High Pass,,32.047775,,Incomplete,,Roberto Soldado Rillo,26009.0,,,,,,1,From Kick Off,Daniel Alberto Díaz,26496.0,Right Center Back,2,Getafe,216,"['17db4929-ef88-4fe2-93d9-6dc6bd7b99e3', 'abad24a4-6baf-4d8b-9d2a-6258122c8e67']",5,,,,,,,,,,,,,,,,,Getafe,216,00:00:05.238,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.5743,,,,,,,,,,,,abad24a4-6baf-4d8b-9d2a-6258122c8e67,13,,"[45.9, 31.9]",69229,0,,,,,0.9619199,,Left Foot,,,"[53.5, 42.8]",,Low Pass,,13.287965,,Incomplete,,Xavier Hernández Creus,20131.0,,,,,Recovery,1,From Kick Off,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,2,Getafe,216,"['31061bba-5d67-4efd-adda-bca99d34fbd6', '8b36c7c5-6424-4ae4-88b1-683c4cea55c6', 'b64cddae-5506-4fed-a10e-0ddab5580ca0']",6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.705,Pass,,2009/2010
