50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3585181e-1c78-40da-94da-4c295210db4d,1,,,,69230,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Osasuna,422,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26659, 'name': 'Roberto Fernández Alvarellos'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3957, 'name': 'César Azpilicueta Tanco'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 25969, 'name': 'Sergio Fernández González'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 24313, 'name': 'Miguel Flaño Bezunartea'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 25874, 'name': 'Francisco Puñal Martínez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 26002, 'name': 'Javad Nekounam'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 26660, 'name': 'Krisztián Vadócz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 3150, 'name': 'Jaroslav Plašil'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 26516, 'name': 'Walter Gerardo Pandiani Urquiza'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Osasuna,422,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d83096fc-e98d-4ac7-be0f-2b360f1a0357,2,,,,69230,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Osasuna,422,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,31856d73-5bd9-4e8c-98d2-b52f2baf0a22,3,,,,69230,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Osasuna,422,['0c98472a-27ed-4a81-b6ca-9ce5ee369c08'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0c98472a-27ed-4a81-b6ca-9ce5ee369c08,4,,,,69230,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Osasuna,422,['31856d73-5bd9-4e8c-98d2-b52f2baf0a22'],0,,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9829cd84-1139-4e0b-ab3a-05b2f93e5ea4,1954,,,,69230,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,113,Barcelona,217,['b1088463-7fcf-41d1-848b-8bcb4eae786d'],0,,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b1088463-7fcf-41d1-848b-8bcb4eae786d,1955,,,,69230,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,113,Barcelona,217,['9829cd84-1139-4e0b-ab3a-05b2f93e5ea4'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,,,0.3607,,,,,,,,,,,,,8ffdbc1b-ddcc-4189-a381-c0b40ca30db2,5,,,"[60.0, 40.0]",69230,0,,,,,1.7506498,,Right Foot,,,"[59.4, 43.3]",,Ground Pass,,3.354102,,,,Walter Gerardo Pandiani Urquiza,26516.0,,,,,,Kick Off,1,From Kick Off,Krisztián Vadócz,26660.0,Center Attacking Midfield,2,Osasuna,422,['dac740e5-d9c3-4d2d-a78f-0479163313ab'],0,,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.557,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.7728,,,,,,,,,,,,,4e9412f6-0151-486c-958c-0a74412c85f9,8,,,"[59.4, 43.3]",69230,0,,,,,-2.6183143,,Right Foot,,,"[41.2, 32.8]",,Ground Pass,,21.011663,,,,Javad Nekounam,26002.0,,,,,,,1,From Kick Off,Walter Gerardo Pandiani Urquiza,26516.0,Center Forward,2,Osasuna,422,['92d609f6-0d84-4d0e-a4a9-a195ee872bdc'],0,,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.958,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,2.195,,,,,,,,,,,,,8c3f9fa2-29fc-4419-84f8-d190cc49a31a,12,,,"[46.1, 32.1]",69230,0,,,,,0.67651874,,Right Foot,,,"[87.2, 65.1]",,High Pass,,52.70873,,,Incomplete,Juan Francisco Torres Belén,6375.0,,,,,,,1,From Kick Off,Javad Nekounam,26002.0,Left Defensive Midfield,2,Osasuna,422,"['803a3476-2769-420b-af80-9513f158536a', 'aacbaafc-b6df-45cf-845a-daa9d2c30d75', 'feadd066-09bc-400d-8061-f0930b9dda28']",2,,,,,,,,,,,,,,,,,Osasuna,422,00:00:02.774,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,,0.88218,,,,,,,,,,,,,803a3476-2769-420b-af80-9513f158536a,14,,,"[33.8, 15.9]",69230,0,,,,,0.68262255,,Head,,,"[46.1, 25.9]",,High Pass,,15.852129,,,,Seydou Kéita,20169.0,,,,,,Recovery,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,3,Barcelona,217,"['8a4af80d-5584-4bc5-ac35-66675e73185d', '8c3f9fa2-29fc-4419-84f8-d190cc49a31a']",4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.969,Pass,,2008/2009
