50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8f18911f-3112-4e77-9bca-c4b9a89ca11d,1,,,69233,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Barcelona,217,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bfb29adc-d93e-49a6-8d0b-3a61baa7eb30,2,,,69233,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26488, 'name': 'Fabio Coltorti'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26067, 'name': 'Oriol Lozano Farrán'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 26163, 'name': 'Marc Torrejón Moya'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 25358, 'name': 'Henrique Adriano Buss'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 18404, 'name': 'José Ángel Crespo Rincón'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 26598, 'name': 'Antonio Moral Segura'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 6673, 'name': 'Sergio Canales Madrazo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 26137, 'name': 'Óscar Serrano Rodriguez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 23929, 'name': 'Francisco Jiménez Tejada'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Racing Santander,1217,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,01aa1c59-19e6-4ab4-ba89-08db610826d2,3,,,69233,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['f1c67a8d-0bc6-4691-95cb-58db9c5e1faa'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f1c67a8d-0bc6-4691-95cb-58db9c5e1faa,4,,,69233,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['01aa1c59-19e6-4ab4-ba89-08db610826d2'],0,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6c4d3e9a-fffa-484c-a31e-885b9a60e286,1787,,,69233,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Barcelona,217,['a908e05a-9d94-435d-93ba-81204215edfd'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a908e05a-9d94-435d-93ba-81204215edfd,1788,,,69233,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Barcelona,217,['6c4d3e9a-fffa-484c-a31e-885b9a60e286'],0,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,0.359592,,,,,,,,,,,,,98ff5a95-db19-4af5-8922-ba6e0a0975cd,5,,"[61.0, 41.0]",69233,0,,,,,2.0576956,,Right Foot,,,"[60.1, 42.7]",,Ground Pass,,1.9235384,,,Francisco Jiménez Tejada,23929.0,,,,,Kick Off,1,From Kick Off,Óscar Serrano Rodriguez,26137.0,Left Wing,2,Racing Santander,1217,['4e602e44-3546-4433-877e-0f88c510b71c'],1,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:01.959,Pass,,2009/2010
,,,,,,,,,,,,,,,,,2.025816,,,,,,,,,,,,,01f19cc3-8f78-4a6f-9d95-80eb1c129f0b,8,,"[58.8, 40.8]",69233,0,,,,,-2.6392438,,Right Foot,,,"[35.5, 28.0]",,Ground Pass,,26.584394,,,Henrique Adriano Buss,25358.0,,,,,,1,From Kick Off,Francisco Jiménez Tejada,23929.0,Center Forward,2,Racing Santander,1217,['6666e896-19d6-4192-90c1-fc03a9d53e90'],2,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:02.910,Pass,,2009/2010
,,,,,,,,,,,,,,,,,2.698684,,,,,,,,,,,,,27e86201-1169-4148-8d89-4e6d18a53563,11,,"[35.5, 27.4]",69233,0,,,,,-0.079232916,,Right Foot,,,"[82.1, 23.7]",,High Pass,,46.74666,Incomplete,,Francisco Jiménez Tejada,23929.0,,,,,,1,From Kick Off,Henrique Adriano Buss,25358.0,Left Center Back,2,Racing Santander,1217,"['4cc3cf9a-a04e-46f4-9fb3-4574693300f2', '52c0de65-33ce-43fe-a1d9-1814c91b033b']",6,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:06.733,Pass,,2009/2010
,,,,,,,,,,,,,,,,,0.757147,,,,,,,,,,,,,4cc3cf9a-a04e-46f4-9fb3-4574693300f2,14,,"[38.9, 57.3]",69233,0,,,,True,-0.8243395,,,,,"[42.6, 53.3]",,High Pass,,5.448853,,,Gnégnéri Yaya Touré,3087.0,,,,,Recovery,1,Regular Play,Rafael Márquez Álvarez,5558.0,Right Center Back,3,Barcelona,217,"['27e86201-1169-4148-8d89-4e6d18a53563', '4475c2c4-87fb-4a2f-953e-a303e4e2cfe1', '7bce22d8-f827-4cb4-8bf8-e902c51e4ba6']",9,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.432,Pass,True,2009/2010
