50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d512d0c8-b321-4fb0-ad97-5e6433607e32,1,,,69237,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 19731, 'name': 'Tomáš Ujfaluši'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 26120, 'name': 'Luis Amaranto Perea Mosquera'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 26677, 'name': 'Álvaro Domínguez Soto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 26118, 'name': 'Antonio López Guerrero'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 23816, 'name': 'José Antonio Reyes Calderón'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 20669, 'name': 'Tiago Cardoso Mendes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 26502, 'name': 'Paulo Assunção da Silva'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 19765, 'name': 'Simão Pedro Fonseca Sabrosa'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 26199, 'name': 'Diego Forlán Corazo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 3237, 'name': 'Sergio Leonel Agüero del Castillo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Atlético Madrid,212,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,48c7a411-5abf-4aea-bbde-73fdc7674b89,2,,,69237,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26624, 'name': 'Jeffren Isaac Suárez Bermúdez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 25919, 'name': 'Gabriel Alejandro Milito'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,842b2542-8096-4346-b7d6-62174ec3f324,3,,,69237,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['5914aeeb-9763-4962-80be-10504de6d0fc'],0,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5914aeeb-9763-4962-80be-10504de6d0fc,4,,,69237,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['842b2542-8096-4346-b7d6-62174ec3f324'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1aa629bf-630e-461e-85d9-9cd305f89488,2029,,,69237,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,116,Barcelona,217,['85129361-9480-4488-bfcc-2b09cf544656'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,85129361-9480-4488-bfcc-2b09cf544656,2030,,,69237,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,116,Barcelona,217,['1aa629bf-630e-461e-85d9-9cd305f89488'],0,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,0.437494,,,,,,,,,,,,,f8f3356b-e76d-485e-a962-10eb4d49db3a,5,,"[60.0, 40.0]",69237,0,,,,,-1.3909428,,Right Foot,,,,"[60.4, 37.8]",,Ground Pass,,2.236068,,,,Sergio Leonel Agüero del Castillo,3237.0,,,,,,Kick Off,1,From Kick Off,Diego Forlán Corazo,26199.0,Right Center Forward,2,Atlético Madrid,212,['698e727b-a9df-4cc6-bf89-f90363ee6584'],0,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.435,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.685126,,,,,,,,,,,,,48fadcf0-17f9-4063-88a4-4d98a2e16c6a,8,,"[61.5, 32.1]",69237,0,,,,,-1.9981976,,Right Foot,,,,"[48.2, 2.9]",,Ground Pass,,32.08629,,,,Antonio López Guerrero,26118.0,,,,,,,1,From Kick Off,Sergio Leonel Agüero del Castillo,3237.0,Left Center Forward,2,Atlético Madrid,212,['6dec024e-5481-48f6-8b61-34ef4884a597'],2,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:02.829,Pass,,2009/2010
,,,,,,,,,,,,,,,,,0.98786,,,,,,,,,,,,,03756f5e-f280-48d3-a354-b3450735b99d,11,,"[50.1, 5.4]",69237,0,,,,,-0.14382756,,Left Foot,,,,"[64.6, 3.3]",,Ground Pass,,14.651279,,,,Simão Pedro Fonseca Sabrosa,19765.0,,,,,,,1,From Kick Off,Antonio López Guerrero,26118.0,Left Back,2,Atlético Madrid,212,['d38ad9f6-5741-4cef-bcd7-68e97fc5d673'],5,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:05.396,Pass,,2009/2010
,,,,,,,,,,,,,,,,,0.989497,,,,,,,,,,,,,45364bdc-a1ad-4044-ad94-ba4824923fc9,14,,"[63.2, 5.6]",69237,0,,,,,0.6084079,,Right Foot,,,,"[77.7, 15.7]",,Ground Pass,,17.67088,,,,Diego Forlán Corazo,26199.0,,,,,,,1,From Kick Off,Simão Pedro Fonseca Sabrosa,19765.0,Left Midfield,2,Atlético Madrid,212,['f5f68e72-8f39-4aba-85ea-d0ccbda956f9'],7,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:07.307,Pass,,2009/2010
