bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9374d2ce-cc63-469c-afbc-f176255cc903,1,,,69249,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 11179, 'name': 'Iker Casillas Fernández'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 20014, 'name': 'Christoph Metzelder'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 15775, 'name': 'Fabio Cannavaro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 26176, 'name': 'Iván Gabriel Heinze'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 3181, 'name': 'Lassana Diarra'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 26036, 'name': 'Fernando Rubén Gago'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8218, 'name': 'Arjen Robben'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 12}, {'player': {'id': 15607, 'name': 'Raúl González Blanco'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Real Madrid,220,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5a6147af-2d23-48a1-82fc-3e811d9d7c9c,2,,,69249,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e84c5573-ce4d-4db0-8b96-b3591a9fc31d,3,,,69249,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['8520a228-ea88-42d8-bdcf-d958b87ea825'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8520a228-ea88-42d8-bdcf-d958b87ea825,4,,,69249,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['e84c5573-ce4d-4db0-8b96-b3591a9fc31d'],0,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0749ecc4-e4ef-4348-a950-1c20b414595d,1880,,,69249,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,95,Barcelona,217,['b8b8fa33-394f-4979-8536-2c6ff3a0a1e6'],0,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b8b8fa33-394f-4979-8536-2c6ff3a0a1e6,1881,,,69249,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,95,Barcelona,217,['0749ecc4-e4ef-4348-a950-1c20b414595d'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.1399,,,,,,,,,,,,,8d3b2886-8f65-490c-840c-701bcbe05091,5,,"[61.0, 41.0]",69249,0,,,,-1.487655,,Right Foot,,,,"[61.1, 39.8]",,Ground Pass,,1.2041595,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Andrés Iniesta Luján,5216.0,Right Center Midfield,2,Barcelona,217,['1a719c48-b3e2-4b98-9544-3b8edfbb67ed'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.532,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.573517,,,,,,,,,,,,,5d511819-0a00-4b08-a479-a7c2b74de7e3,7,,"[60.9, 39.6]",69249,0,,,,2.9448695,,Left Foot,,,,"[32.3, 45.3]",,Ground Pass,,29.162476,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['fdf0099e-2ec8-46c6-98d0-084ef322b0a7'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.672,Pass,,2008/2009
,,,,,,,,,,,,,,,,2.2103,,,,,,,,,,,,,f2abe34b-e83f-4a3a-98f8-8d935a3aaec8,11,,"[32.9, 46.5]",69249,0,,,,-0.70844203,,Right Foot,,,,"[77.6, 8.2]",,High Pass,,58.864082,,Incomplete,Thierry Henry,15516.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,"['732cf8dd-f5c9-4e8f-8cad-0d3064adc93b', 'e5db77ea-7f39-4a37-9b3d-96ccbd6cb6db']",3,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.428,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.622359,,,,,,,,,,,,,e5db77ea-7f39-4a37-9b3d-96ccbd6cb6db,13,,"[43.4, 72.8]",69249,0,,,,0.35706612,,Right Foot,,,,"[62.7, 80.0]",,Ground Pass,,20.599272,,Out,Arjen Robben,8218.0,,,,,Interception,1,From Kick Off,Sergio Ramos García,5201.0,Right Back,2,Barcelona,217,"['54eb8af8-e48c-4fa4-9c7a-e0fb2bedf0e8', 'f2abe34b-e83f-4a3a-98f8-8d935a3aaec8']",5,,,,,,,,,,,,,,,,Real Madrid,220,00:00:05.639,Pass,,2008/2009
