bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9b8d39fd-240c-4212-8e60-8e4480f7d232,1,,,69250,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 18608, 'name': 'Dmytro Chygrynskiy'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,93da2f60-956b-4739-972e-5812d7ddec6b,2,,,69250,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26146, 'name': 'Dudú Aouate'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26705, 'name': 'José Miguel González Rey'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 25992, 'name': 'José Carlos de Araújo Nunes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 6778, 'name': 'Iván Ramis Barrios'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 26147, 'name': 'Ayoze Díaz Díaz'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 25948, 'name': 'Jose Luis Martí Soler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 23488, 'name': 'Mario Suárez Mata'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 26201, 'name': 'Fernando Varela Ramos'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 6997, 'name': 'Borja Valero Iglesias'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 25989, 'name': 'Antoni Lluis Adrover Colom'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 25876, 'name': 'Pierre Achille Webó Kouamo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Mallorca,1043,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ba8d4e90-7e0f-48ef-beb6-c10186d225b3,3,,,69250,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['cf2dba86-ad53-4208-bb9b-58fac1512354'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cf2dba86-ad53-4208-bb9b-58fac1512354,4,,,69250,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['ba8d4e90-7e0f-48ef-beb6-c10186d225b3'],0,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9e305ec2-553c-4743-9294-ab7873bfe64d,1507,,,69250,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,104,Mallorca,1043,['de3d138a-c596-49d0-ae3d-c51faebcc1ce'],0,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,de3d138a-c596-49d0-ae3d-c51faebcc1ce,1508,,,69250,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,104,Mallorca,1043,['9e305ec2-553c-4743-9294-ab7873bfe64d'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,0.579,,,,,,,,,,,,,,772a6812-9c09-4cea-b8c8-33e5d38ec9d0,5,,"[61.0, 40.1]",69250,0,,True,,,-2.0451963,,Right Foot,,"[59.1, 36.4]",,Ground Pass,,4.159327,,,Borja Valero Iglesias,6997.0,,,,,Kick Off,1,From Kick Off,Pierre Achille Webó Kouamo,25876.0,Center Forward,2,Mallorca,1043,['43a0e29c-6418-422c-b2ea-1de8eb0c2ffc'],1,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:01.683,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.7508,,,,,,,,,,,,,,49580dc7-660a-4d05-83c9-96b184c8f55b,7,,"[58.0, 38.9]",69250,0,,True,,,-3.1347435,,Right Foot,,"[43.4, 38.8]",,Ground Pass,,14.600343,,,Jose Luis Martí Soler,25948.0,,,,,,1,From Kick Off,Borja Valero Iglesias,6997.0,Center Attacking Midfield,2,Mallorca,1043,['5e1ff92b-d996-4a22-a880-5974d29fc408'],2,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:02.262,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.1542,,,,,,,,,,,,,,735247b9-9d59-45a3-8cdf-9f5f0a760a1c,9,,"[43.4, 38.8]",69250,0,,,,,2.43482,,Right Foot,,"[34.5, 46.4]",,Ground Pass,,11.703419,,,José Carlos de Araújo Nunes,25992.0,,,,,,1,From Kick Off,Jose Luis Martí Soler,25948.0,Right Defensive Midfield,2,Mallorca,1043,['44223dc4-4eb5-404f-a9c2-08c4aeaf03a6'],4,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:04.143,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.5079,,,,,,,,,,,,,,27bf6a83-31e8-4adc-b3ea-9866603c6af9,13,,"[34.3, 52.4]",69250,0,,,,,0.68401,,Right Foot,,"[56.5, 70.5]",,Low Pass,,28.643497,,,Fernando Varela Ramos,26201.0,,,,,,1,From Kick Off,José Carlos de Araújo Nunes,25992.0,Right Center Back,2,Mallorca,1043,"['2a4a8121-ccbe-4fa5-b33a-05587d5278ab', 'e926ef3b-fcc3-4a44-bc81-779f112cda5e']",6,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:06.513,Pass,True,2009/2010
