50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2b21bdd5-4e22-49ee-8bae-7c89dba12cce,1,,,69251,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25917, 'name': 'César Sánchez Domínguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20070, 'name': 'Luís Miguel Brito Garcia Monteiro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 26396, 'name': 'Hedwiges Maduro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6614, 'name': 'Alexis Ruano Delgado'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 20129, 'name': 'Rubén Baraja Vegas'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 20127, 'name': 'Carlos Marchena López'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 4711, 'name': 'Pablo Hernández Domínguez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 3064, 'name': 'David Josué Jiménez Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 3294, 'name': 'Juan Manuel Mata García'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Valencia,207,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f4449613-5005-4c64-9f4f-6421b9044770,2,,,69251,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,81d5ceb5-9961-4170-a702-df0238a5d2c0,3,,,69251,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['572c5bd2-7fc2-415c-9403-977bca5c7ec7'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,572c5bd2-7fc2-415c-9403-977bca5c7ec7,4,,,69251,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['81d5ceb5-9961-4170-a702-df0238a5d2c0'],0,,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5b158cd5-90e2-4daa-9c7d-1555d7a48590,1607,,,69251,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,103,Barcelona,217,['0970869a-699f-4c54-987c-1fd3496dbd35'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0970869a-699f-4c54-987c-1fd3496dbd35,1608,,,69251,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,103,Barcelona,217,['5b158cd5-90e2-4daa-9c7d-1555d7a48590'],0,,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,,0.796649,,,,,,,,,,,,,,8946fe49-5d5a-4919-8778-0e5d87158829,5,,"[61.0, 41.0]",69251,0,,True,,,1.1210368,,Right Foot,,,"[62.4, 43.9]",,Ground Pass,,3.2202485,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Samuel Eto''o Fils,19298.0,Center Forward,2,Barcelona,217,['5bddab5a-0100-4893-b237-3ab4a1a8fe3e'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.091,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.695145,,,,,,,,,,,,,,ecd3bb69-34ab-4fa6-9e37-50b3016b1ad4,7,,"[61.3, 43.8]",69251,0,,,,,-3.0282593,,Left Foot,,,"[49.0, 42.4]",,Ground Pass,,12.379418,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['1eb52c53-8f5f-42a6-95f2-f0f2f335d583'],1,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.130,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.206919,,,,,,,,,,,,,,5159a715-9a07-49db-aaf3-8aa327c733e2,10,,"[45.1, 41.7]",69251,0,,,,,2.099257,,Right Foot,,,"[35.7, 57.8]",,Ground Pass,,18.643229,,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['461a8aee-f5de-455f-ac54-ed66594ee7f8'],2,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.960,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.497337,,,,,,,,,,,,,,a3c20ef2-d4f9-442b-a8f2-c38539908d14,13,,"[34.9, 60.7]",69251,0,,,,,-1.9116671,,Right Foot,,,"[25.5, 34.2]",,Ground Pass,,28.117788,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['16a7c9fb-94b4-4f66-889e-33fded97529a'],5,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.875,Pass,,2008/2009
