ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,45cb8676-192a-429f-b4ef-6f0fa26754ba,1,,,69253,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 18608, 'name': 'Dmytro Chygrynskiy'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0d8dace4-5e52-4ec3-a9b8-52318167359b,2,,,69253,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 26707, 'name': 'Juan Pablo Carrizo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26062, 'name': 'Rubén Martín Pulido'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 26708, 'name': 'Pablo Amo Aguado'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 26215, 'name': 'Francisco Pavón Barahona'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 26429, 'name': 'Javier Paredes Arango'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6192, 'name': 'Abel Enrique Aguilar Tapia'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 26649, 'name': 'Jermaine Pennant'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 26025, 'name': 'Jorge López Montaña'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 3606, 'name': 'Ander Herrera Agüera'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 8}, {'player': {'id': 26217, 'name': 'Ángel Javier Arizmendi de Lucas'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Real Zaragoza,395,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4d6aada4-adb8-4a63-9788-5115413a4a22,3,,,69253,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['23816d98-e9f7-4182-acb4-53088f992a94'],0,,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,23816d98-e9f7-4182-acb4-53088f992a94,4,,,69253,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['4d6aada4-adb8-4a63-9788-5115413a4a22'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2b74666a-dedc-44d0-a008-e5674b19fcba,2135,,,69253,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,107,Real Zaragoza,395,['4471180b-26c3-440b-a12e-537d8fb571c2'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4471180b-26c3-440b-a12e-537d8fb571c2,2136,,,69253,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,107,Real Zaragoza,395,['2b74666a-dedc-44d0-a008-e5674b19fcba'],0,,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,0.5593,,,,,,,,,,,,,,2c8f48e9-cbd2-442b-bd55-b844aab3ed58,5,,"[60.0, 40.0]",69253,0,,,,-1.8545904,,Right Foot,,,"[59.3, 37.6]",,Ground Pass,2.5,,,,Zlatan Ibrahimović,3672.0,,,,,,Kick Off,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Wing,2,Barcelona,217,['8ee5945d-2afb-414b-a309-b940db667a41'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.717,Pass,,2009/2010
,,,,,,,,,,,,,,1.1216,,,,,,,,,,,,,,b0dbbad7-2237-489a-98be-206fdf346d72,7,,"[59.1, 36.0]",69253,0,,,,-3.131593,,Left Foot,,,"[49.1, 35.9]",,Ground Pass,10.0005,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Zlatan Ibrahimović,3672.0,Center Forward,2,Barcelona,217,['6e0617e7-cdab-4e58-b377-e3d0e99a0b5f'],1,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.277,Pass,,2009/2010
,,,,,,,,,,,,,,0.822245,,,,,,,,,,,,,,c5c0fdd4-8c94-4073-b01d-0e189a07cdf3,11,,"[47.4, 34.7]",69253,0,,,,1.2355591,,Right Foot,,,"[52.8, 50.2]",,Ground Pass,16.413713,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,"['b96da6f9-8627-43fa-9dac-330add08fe67', 'ec1e92b7-7893-470a-83c4-63a36d764156']",2,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.904,Pass,True,2009/2010
,,,,,,,,,,,,,,1.117696,,,,,,,,,,,,,,255cabc6-a982-40c0-ae49-06f8fd31ed7b,14,,"[52.8, 52.3]",69253,0,,,,2.0693643,,Left Foot,,,"[47.9, 61.3]",,Ground Pass,10.247438,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Left Center Midfield,2,Barcelona,217,"['a33b61ed-5bc1-4305-9bb8-fe9a1eeda1de', 'b96da6f9-8627-43fa-9dac-330add08fe67']",4,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.939,Pass,True,2009/2010
