50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3aed8705-9f4f-4371-948b-81921589cebe,1,,,69254,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Racing Santander,1217,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 26070, 'name': 'Antonio Rodríguez Martínez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 25889, 'name': 'Pablo Pinillos Caro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 25358, 'name': 'Henrique Adriano Buss'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 26642, 'name': 'Mogammat Nasief Morris'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 26597, 'name': 'László Sepsi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 26665, 'name': 'Manuel Jesús Arana Rodríguez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 26137, 'name': 'Óscar Serrano Rodriguez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 19577, 'name': 'Pedro Manuel Munitis Álvarez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 26182, 'name': 'Alexandre Geijo Pazos'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Racing Santander,1217,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,270f84e0-2400-4eaf-a998-6ffca1ccd536,2,,,69254,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Racing Santander,1217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,722295c6-07fd-4081-b66e-58312f22ea86,3,,,69254,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Racing Santander,1217,['405f8425-affe-4d6c-9fb6-8af5210db399'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,405f8425-affe-4d6c-9fb6-8af5210db399,4,,,69254,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Racing Santander,1217,['722295c6-07fd-4081-b66e-58312f22ea86'],0,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e518f8c1-4d03-4c68-bb20-3013868cc0df,1830,,,69254,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,87,Barcelona,217,['5fb358fd-b795-4827-9591-51182e0b94ee'],0,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5fb358fd-b795-4827-9591-51182e0b94ee,1831,,,69254,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,87,Barcelona,217,['e518f8c1-4d03-4c68-bb20-3013868cc0df'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,,0.908282,,,,,,,,,,,,b8712ac7-59d6-4916-8808-5261c50c8990,5,,"[61.0, 41.0]",69254,0,,,,,-3.126995,,Left Foot,,,"[47.3, 40.8]",,Ground Pass,,13.70146,,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['faeeb618-e766-44a7-a8e4-3e362b85b0db'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.475,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.59238,,,,,,,,,,,,c6731667-006b-4b6c-9072-abfc44e8d2a0,8,,"[47.8, 40.8]",69254,0,,,,,1.6866277,,Right Foot,,,"[44.1, 72.6]",,Ground Pass,,32.014526,,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['ccb0c54f-2279-45b1-bcda-22ae2b459e0d'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.468,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,2.046923,,,,,,,,,,,,4ab4110e-9974-4246-9828-8c4b4c4ec005,11,,"[44.1, 72.4]",69254,0,,,,,-2.1955788,,Right Foot,,,"[29.1, 51.6]",,Ground Pass,,25.644493,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['ef533538-35a5-4983-9753-37cebac06df0'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.124,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.389617,,,,,,,,,,,,9a1d61d3-b987-4d23-adfb-fd67d8f6e740,14,,"[29.3, 51.8]",69254,0,,,,,-1.5049195,,Right Foot,,,"[31.2, 23.0]",,Ground Pass,,28.862606,,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['671659e9-4577-4aa2-9d71-9f8245de26ca'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.404,Pass,,2009/2010
