bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c86b9cf9-9bec-4308-870a-175835eb2bae,1,,,,69255,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26221, 'name': 'Gustavo Adolfo Munúa Vera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4788, 'name': 'Jesús Gámez Duarte'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 26232, 'name': 'Ibán Javier Cuadrado Alonso'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 26669, 'name': 'Weligton Róbson Pena de Oliveira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 26679, 'name': 'Manuel Torres Caturla'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 25883, 'name': 'Juan Jesús Gutiérrez Robles'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 24162, 'name': 'Xavier Torres Buigues'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 26249, 'name': 'Fernando Miguel Fernández Escribano'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 26670, 'name': 'Nabil Baha'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 25859, 'name': 'Sérgio Paulo Barbosa Valente'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 26678, 'name': 'Victor Obinna Nsofor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Málaga,223,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4c7ff140-ebb5-444b-aa4b-d08c96f717c4,2,,,,69255,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18608, 'name': 'Dmytro Chygrynskiy'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Barcelona,217,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4070b215-65d8-44d0-97fa-a9f84e15b0c6,3,,,,69255,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['531710e4-0367-433e-9627-095fbe613b47'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,531710e4-0367-433e-9627-095fbe613b47,4,,,,69255,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['4070b215-65d8-44d0-97fa-a9f84e15b0c6'],0,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b42763a4-6eff-4242-a778-f079226c695e,1846,,,,69255,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Barcelona,217,['2d2c2015-1e3b-49fa-a36a-e2f95c403cd9'],0,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2d2c2015-1e3b-49fa-a36a-e2f95c403cd9,1847,,,,69255,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Barcelona,217,['b42763a4-6eff-4242-a778-f079226c695e'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,0.3499,,,,,,,,,,,,d1459f50-4a18-4ecc-a1bd-0e3be885ed0c,5,,,"[60.0, 40.0]",69255,0,,,,,1.1341692,,Left Foot,,,,"[61.4, 43.0]",,Ground Pass,,3.310589,,,,Nabil Baha,26670.0,,,,,Kick Off,1,From Kick Off,Victor Obinna Nsofor,26678.0,Center Forward,2,Málaga,223,['563bd1e5-f093-41ce-ab5e-92b863495688'],1,,,,,,,,,,,,,,,,Málaga,223,00:00:01.123,Pass,,2009/2010
,,,,,,,,,,,,,,,1.2866,,,,,,,,,,,,0d324b5e-7bc1-450d-9224-843d39585b42,8,,,"[61.0, 42.9]",69255,0,,,,,-2.586099,,Right Foot,,,,"[43.6, 32.1]",,Ground Pass,,20.479258,,,,Xavier Torres Buigues,24162.0,,,,,,1,From Kick Off,Nabil Baha,26670.0,Center Attacking Midfield,2,Málaga,223,['ff0e3057-4603-479e-afb8-48aa31170e30'],1,,,,,,,,,,,,,,,,Málaga,223,00:00:01.604,Pass,,2009/2010
,,,,,,,,,,,,,,,1.792011,,,,,,,,,,,,4bd9caf9-9bbf-43cb-826d-3999796517ce,11,,,"[48.4, 25.6]",69255,0,,,,,-1.8804992,,Right Foot,,,,"[41.2, 3.1]",,Ground Pass,,23.623928,,,,Manuel Torres Caturla,26679.0,,,,,,1,From Kick Off,Xavier Torres Buigues,24162.0,Left Defensive Midfield,2,Málaga,223,['72be9df9-1a5b-4970-ae51-78e169985b5c'],5,,,,,,,,,,,,,,,,Málaga,223,00:00:05.059,Pass,,2009/2010
,,,,,,,,,,,,,,,0.713487,,,,,,,,,,,,fae2b2e4-5f8f-4811-8da4-a1bdc14cd33c,15,,,"[38.8, 3.8]",69255,0,,,,,-0.0540015,,Left Foot,,,,"[61.0, 2.6]",,Low Pass,,22.232409,,,,Sérgio Paulo Barbosa Valente,25859.0,,,,,,1,From Kick Off,Manuel Torres Caturla,26679.0,Left Back,2,Málaga,223,['08ce180d-8d5a-4301-a5ce-9d9b2946092f'],7,,,,,,,,,,,,,,,,Málaga,223,00:00:07.548,Pass,,2009/2010
