bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2f2d113f-413f-4688-ba92-b1e4ba0d9793,1,,,69260,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Barcelona,217,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,56091e00-8af2-4e95-9965-1a93545ecc78,2,,,69260,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25917, 'name': 'César Sánchez Domínguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3095, 'name': 'Bruno Saltor Grau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 26012, 'name': 'David Navarro Pedrós'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 19454, 'name': 'Ricardo Miguel Moreira da Costa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 6350, 'name': 'Manuel Henrique Tavares Fernandes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 20128, 'name': 'David Albelda Aliqués'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 4711, 'name': 'Pablo Hernández Domínguez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 5504, 'name': 'Éver Maximiliano David Banega'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 26009, 'name': 'Roberto Soldado Rillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Valencia,207,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a79118a3-a632-484a-b746-f410901fac64,3,,,69260,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['5379e15d-ffc4-4555-81ca-106b34ce44c6'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5379e15d-ffc4-4555-81ca-106b34ce44c6,4,,,69260,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['a79118a3-a632-484a-b746-f410901fac64'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b2ab721b-42ef-43ec-ba1e-91f3f9aa6ec3,1868,,,69260,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,129,Barcelona,217,['3a036f5f-8446-46f3-8169-0a8eef4ee0c4'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,3a036f5f-8446-46f3-8169-0a8eef4ee0c4,1869,,,69260,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,129,Barcelona,217,['b2ab721b-42ef-43ec-ba1e-91f3f9aa6ec3'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,0.2333,,,,,,,,,,,27602f6f-c108-47ab-8eaf-ce0be4c2c588,5,,"[61.0, 41.0]",69260,0,,,,,1.4056476,,Right Foot,,,,"[61.4, 43.4]",,Ground Pass,,2.433105,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Kick Off,1,From Kick Off,David Villa Sánchez,12737.0,Center Forward,2,Barcelona,217,['b01be347-3438-4bc2-8a91-1ea1b1ab2bf7'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.489,Pass,,2010/2011
,,,,,,,,,,,,,,,,0.976476,,,,,,,,,,,49d0a0bf-8634-439d-8c4d-8012fd36f6bf,8,,"[60.4, 44.5]",69260,0,,,,,-2.9354713,,Right Foot,,,,"[49.4, 42.2]",,Ground Pass,,11.237883,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['ac475b36-5a7d-40cc-9c47-b53d68816710'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.802,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.342611,,,,,,,,,,,7a1d6c59-accc-4109-8375-60418fa0f222,11,,"[49.4, 42.2]",69260,0,,,,,1.6814536,,Right Foot,,,,"[48.0, 54.8]",,Ground Pass,,12.677539,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['046c0b78-fc49-4bf5-95df-aa5195ebfc85'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.691,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.404749,,,,,,,,,,,35663996-dd1d-4fcc-b33a-b6d66a5cfbab,14,,"[46.3, 50.8]",69260,0,,,,,-2.0796804,,Right Foot,,,,"[41.0, 41.3]",,Ground Pass,,10.878419,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['2c12c13c-91ed-4aaa-a32b-4ff4f26e7cdd'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.985,Pass,,2010/2011
