ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d16da7b5-2f7b-42ef-a9b3-692d80c1aea3,1,,,69262,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Barcelona,217,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a4793694-bd84-423d-ad76-ce016175a8fa,2,,,69262,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 11179, 'name': 'Iker Casillas Fernández'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 20215, 'name': 'Álvaro Arbeloa Coca'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 3181, 'name': 'Lassana Diarra'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 20133, 'name': 'Xabier Alonso Olano'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 26712, 'name': 'Ricardo Izecson dos Santos Leite'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 12}, {'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Real Madrid,220,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c8353ce9-35f7-4ef1-9684-35d0fc1bfe03,3,,,69262,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['4f4b7af5-0d5a-40bf-bf3d-2aefa035202c'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4f4b7af5-0d5a-40bf-bf3d-2aefa035202c,4,,,69262,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['c8353ce9-35f7-4ef1-9684-35d0fc1bfe03'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,039927f7-c8c2-428d-a25f-f53407ee5e14,1968,,,69262,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,121,Barcelona,217,['3f9f58e1-07d3-42d3-97c7-011901ada805'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3f9f58e1-07d3-42d3-97c7-011901ada805,1969,,,69262,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,121,Barcelona,217,['039927f7-c8c2-428d-a25f-f53407ee5e14'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,0.7902,,,,,,,,,,,,,ae7cd745-6484-4141-a39c-d3d79905a781,5,,"[61.0, 41.0]",69262,0,True,,,-1.815775,,Right Foot,,,"[60.7, 39.8]",,Ground Pass,,1.2369317,,,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,,,Kick Off,1,From Kick Off,Ricardo Izecson dos Santos Leite,26712.0,Center Attacking Midfield,2,Real Madrid,220,['3e112f57-c843-4248-a735-c2a8e4e5c3f3'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.812,Pass,,2009/2010
,,,,,,,,,,,,,,,,0.481,,,,,,,,,,,,,67e881cf-7a37-4173-9282-ac57c61316f6,7,,"[61.5, 39.0]",69262,0,,,,-2.8423464,,Right Foot,,,"[52.1, 36.1]",,Ground Pass,,9.837174,,,,Xabier Alonso Olano,20133.0,,,,,,1,From Kick Off,Cristiano Ronaldo dos Santos Aveiro,5207.0,Right Wing,2,Real Madrid,220,['fe19939f-5647-40bc-b0c2-dee184a8164f'],1,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:01.602,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.9408,,,,,,,,,,,,,fe4f3fc0-b289-42b4-9e17-84088e382c5f,10,,"[50.8, 36.1]",69262,0,,,,-1.7365099,,Right Foot,,,"[46.0, 7.4]",,Ground Pass,,29.098625,,,,Álvaro Arbeloa Coca,20215.0,,,,,,1,From Kick Off,Xabier Alonso Olano,20133.0,Left Defensive Midfield,2,Real Madrid,220,['c94c5b23-6a06-44f8-b4df-d8729ab22d7c'],2,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:02.994,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.7536,,,,,,,,,,,,,584c1505-4ca8-4eb5-8922-8356a3c4f5b6,13,,"[46.8, 10.6]",69262,0,,,,2.6082053,,Right Foot,,,"[25.8, 23.0]",,Low Pass,,24.387701,,,,Raúl Albiol i Tortajada,7030.0,,,,,,1,From Kick Off,Álvaro Arbeloa Coca,20215.0,Left Back,2,Real Madrid,220,['8925543d-68b3-4e3e-8021-1f98008aa551'],4,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:04.935,Pass,,2009/2010
