bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9d342866-9dea-4a6b-af91-2e5bf8b8dc01,1,,,,69264,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26441, 'name': 'Daniel Estrada Agirrezablaga'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 26701, 'name': 'Vadim Demidov'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6674, 'name': 'Alberto De La Bella Madureño'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 26717, 'name': 'MacDonald Mariga Wanyama'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 6669, 'name': 'David Zurutuza Veillet'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 6677, 'name': 'Imanol Agirretxe Arruti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Sociedad,210,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,36cff61e-ff5a-44f1-ae67-847ca514fed6,2,,,,69264,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 6890, 'name': 'Andreu Fontàs Prat'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 4}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,52054697-7de5-4180-944b-9a87555bd43b,3,,,,69264,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['24aaf481-296b-4b1a-8ac3-c258d2a518be'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,24aaf481-296b-4b1a-8ac3-c258d2a518be,4,,,,69264,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['52054697-7de5-4180-944b-9a87555bd43b'],0,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cbeac037-695b-402a-8b72-a0c952b8aedd,2113,,,,69264,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,110,Real Sociedad,210,['6619c614-c506-42f0-987f-349330fff721'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6619c614-c506-42f0-987f-349330fff721,2114,,,,69264,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,110,Real Sociedad,210,['cbeac037-695b-402a-8b72-a0c952b8aedd'],0,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,0.47481,,,,,,,,,,,,,af1b3c22-f9a1-4540-88ee-2f1b53c13822,5,,,"[60.0, 40.0]",69264,0,,,,1.6262949,,Right Foot,,,"[59.8, 43.6]",,Ground Pass,,3.6055512,,,,Francesc Fàbregas i Soler,3478.0,,,,,Kick Off,1,From Kick Off,Thiago Alcântara do Nascimento,5208.0,Right Center Midfield,2,Barcelona,217,['8583c213-07c0-4eed-8ccd-6668e302a914'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.385,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.057323,,,,,,,,,,,,,62ee419d-50e0-4bdf-a5dd-235d5d32f898,8,,,"[60.0, 43.3]",69264,0,,,,-2.410196,,Right Foot,,,"[48.3, 32.8]",,Ground Pass,,15.720687,,,,Seydou Kéita,20169.0,,,,,,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Center Forward,2,Barcelona,217,['5155c8a3-fa0c-434e-8909-67e53ed7a242'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.204,Pass,,2011/2012
,,,,,,,,,,,,,,,,,0.790817,,,,,,,,,,,,,cc100570-3016-4d0d-973a-a439d50e893e,11,,,"[48.8, 33.8]",69264,0,,,,1.6076218,,Left Foot,,,"[48.1, 52.8]",,Ground Pass,,19.01289,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Seydou Kéita,20169.0,Center Defensive Midfield,2,Barcelona,217,['52af0437-8906-4d5a-80d5-86159108e2a5'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.301,Pass,,2011/2012
,,,,,,,,,,,,,,,,,0.948653,,,,,,,,,,,,,8ba71508-1605-4c82-969d-ded6e12d4bb4,15,,,"[50.5, 49.0]",69264,0,,,,-1.5276133,,Right Foot,,,"[51.2, 32.8]",,Ground Pass,,16.215117,,,,Seydou Kéita,20169.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Left Center Midfield,2,Barcelona,217,"['1317f813-9b72-42a6-8be1-eab6dc8818f2', '6d9b908d-fb93-441b-b857-ed05a8f5eb8d']",5,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.748,Pass,True,2011/2012
