ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,0.0,,,,,,,,,,,ed8960fd-d3bd-40f1-afe3-725d1883f7c7,1,,,69272,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 26221, 'name': 'Gustavo Adolfo Munúa Vera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 25937, 'name': 'Javier Rodríguez Venta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 26444, 'name': 'Sergio Martínez Ballesteros'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 26131, 'name': 'Victoriano Rivas Álvaro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 26023, 'name': 'Juan Francisco García García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 26026, 'name': 'Miguel Pallardó González'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3497, 'name': 'Vicente Iborra De La Fuente'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 24162, 'name': 'Xavier Torres Buigues'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 25872, 'name': 'Valmiro Lópes Rocha'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 25927, 'name': 'Francisco Sebastián Nadal Martorell'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Levante UD,221,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,0.0,,,,,,,,,,,7b152287-6210-49c7-9e0f-3174738f95fa,2,,,69272,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 4891, 'name': 'Ibrahim Afellay'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,0.0,,,,,,,,,,,cb2e7c9d-525c-4791-b92b-53eca44fbbc8,3,,,69272,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['46257bd0-a05f-424b-aa81-ca0106ec9eed'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,0.0,,,,,,,,,,,46257bd0-a05f-424b-aa81-ca0106ec9eed,4,,,69272,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['cb2e7c9d-525c-4791-b92b-53eca44fbbc8'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,0.0,,,,,,,,,,,522c8329-51aa-40d5-a9e5-5a5ce8e40a5d,2302,,,69272,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,Levante UD,221,['67e67cd0-7332-41d2-a334-1cd0cceddd01'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,0.0,,,,,,,,,,,67e67cd0-7332-41d2-a334-1cd0cceddd01,2303,,,69272,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,Levante UD,221,['522c8329-51aa-40d5-a9e5-5a5ce8e40a5d'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,0.511496,,,,,,,,,,,874b3f8a-6c9b-4500-8738-a3ae9ba03fbc,5,,"[61.0, 41.0]",69272,0,,,,1.59936,,Right Foot,,,"[60.9, 44.5]",,Ground Pass,3.5014284,,,Xavier Hernández Creus,20131.0,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['fdec7a0e-784f-4ad6-b86a-5ed8fe5006c4'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.102,Pass,,2010/2011
,,,,,,,,,,,,,0.865095,,,,,,,,,,,6c0fabf6-b508-4948-852a-1891f0be9958,7,,"[61.3, 44.5]",69272,0,,,,-2.8543112,,Right Foot,,,"[52.5, 41.9]",,Ground Pass,9.176056,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['f5275fd2-f4db-42b1-8f10-92686d65646e'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.614,Pass,,2010/2011
,,,,,,,,,,,,,0.701963,,,,,,,,,,,ec800a70-3f14-43e2-ab43-a5ae1b934e41,10,,"[41.1, 38.0]",69272,0,,,,-0.79239106,,Right Foot,,,"[48.2, 30.8]",,Ground Pass,10.111875,,,Seydou Kéita,20169.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['733a450b-8590-431e-97bf-0b1821ef16e5'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.532,Pass,,2010/2011
,,,,,,,,,,,,,1.199279,,,,,,,,,,,fe7b96ee-e49e-472b-ab7d-b07147ee1298,13,,"[46.3, 31.2]",69272,0,,,,-1.9423141,,Left Foot,,,"[37.3, 8.1]",,Ground Pass,24.791328,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Kick Off,Seydou Kéita,20169.0,Left Center Midfield,2,Barcelona,217,['241aeb02-2b2d-44d8-aa5b-21ac0c6263fe'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.758,Pass,,2010/2011
