bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0cb141e8-752c-4dbd-a783-bcf163c7a74b,1,,,,69274,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26681, 'name': 'Marius Stankevičius'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 19454, 'name': 'Ricardo Miguel Moreira da Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 26645, 'name': 'Ángel Dealbert Ibáñez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 26728, 'name': 'Alberto Facundo Costa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 5504, 'name': 'Éver Maximiliano David Banega'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 6651, 'name': 'Joaquín Sánchez Rodríguez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 4711, 'name': 'Pablo Hernández Domínguez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 28}, {'player': {'id': 3294, 'name': 'Juan Manuel Mata García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Valencia,207,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8a1622f6-e5f4-42c6-9b06-cdfcd09f66eb,2,,,,69274,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 26005, 'name': 'José Manuel Pinto Colorado'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 16}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 21}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Barcelona,217,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e055b876-7b3e-4703-b4e5-b90f4a81950e,3,,,,69274,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['83687a66-9848-43fc-a7e4-a5b898f9d1bb'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,83687a66-9848-43fc-a7e4-a5b898f9d1bb,4,,,,69274,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['e055b876-7b3e-4703-b4e5-b90f4a81950e'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8235d102-aa99-4b99-a270-3ea562b0f058,2079,,,,69274,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,123,Barcelona,217,['f8fbf6b4-22eb-498d-b147-d0dc67c058dc'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f8fbf6b4-22eb-498d-b147-d0dc67c058dc,2080,,,,69274,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,123,Barcelona,217,['8235d102-aa99-4b99-a270-3ea562b0f058'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,0.760344,,,,,,,,,,,,,6872fabb-78b4-40a0-9f42-0c60aa86d3b4,5,,,"[60.0, 40.0]",69274,0,,,,,1.8063413,,Right Foot,,,,"[59.4, 42.5]",,Ground Pass,,2.570992,,,Joaquín Sánchez Rodríguez,6651.0,,,,,Kick Off,1,From Kick Off,Juan Manuel Mata García,3294.0,Center Forward,2,Valencia,207,['2549f6ec-48af-4d04-b7a2-1bfb5e87879b'],1,,,,,,,,,,,,,,,,,,Valencia,207,00:00:01.773,Pass,,2010/2011
,,,,,,,,,,,,,,,,,0.685838,,,,,,,,,,,,,4b4c5080-c369-4e59-a9f7-15d5a70be9ec,8,,,"[56.8, 41.9]",69274,0,,,,,-2.860755,,Right Foot,,,,"[51.6, 40.4]",,Ground Pass,,5.4120235,,,Alberto Facundo Costa,26728.0,,,,,,1,From Kick Off,Joaquín Sánchez Rodríguez,6651.0,Right Wing,2,Valencia,207,['f7747692-4d47-4048-ac6e-e62ebae92ce8'],3,,,,,,,,,,,,,,,,,,Valencia,207,00:00:03.015,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.080209,,,,,,,,,,,,,b04f7548-87dd-4266-a1b4-34118e446fa0,11,,,"[52.4, 40.4]",69274,0,,,,,2.3276308,,Left Foot,,,,"[43.9, 49.4]",,Ground Pass,,12.379418,,,Éver Maximiliano David Banega,5504.0,,,,,,1,From Kick Off,Alberto Facundo Costa,26728.0,Right Center Midfield,2,Valencia,207,['ac01ead7-df3f-4685-bb75-d86853c70256'],3,,,,,,,,,,,,,,,,,,Valencia,207,00:00:03.986,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.942332,,,,,,,,,,,,,a4d74a03-fdf6-480e-a207-57ed6461a31f,14,,,"[42.5, 49.0]",69274,0,,,,,-2.1251037,,Right Foot,,,,"[29.5, 28.0]",,Ground Pass,,24.698177,,,Ángel Dealbert Ibáñez,26645.0,,,,,,1,From Kick Off,Éver Maximiliano David Banega,5504.0,Left Center Midfield,2,Valencia,207,['11876223-e736-45c8-87fb-a3144fc41b99'],5,,,,,,,,,,,,,,,,,,Valencia,207,00:00:05.687,Pass,,2010/2011
