bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,615005f6-5256-4258-bb1b-3d09dd6597e5,1,,,69277,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Osasuna,422,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25912, 'name': 'Ricardo López Felipe'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3957, 'name': 'César Azpilicueta Tanco'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 24313, 'name': 'Miguel Flaño Bezunartea'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 25865, 'name': 'José Romero Urtasun'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 25874, 'name': 'Francisco Puñal Martínez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 26002, 'name': 'Javad Nekounam'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 26516, 'name': 'Walter Gerardo Pandiani Urquiza'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 26169, 'name': 'Javier Camuñas Gallego'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 26522, 'name': 'Carlos Reina Aranda'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Osasuna,422,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,517f35dc-bf51-4f3c-a823-a3c2e08a46bd,2,,,69277,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Osasuna,422,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 18608, 'name': 'Dmytro Chygrynskiy'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a9ca20c6-9f7e-4566-bc15-8e08293a05d7,3,,,69277,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Osasuna,422,['d140f499-6090-4ef4-bf6a-9d09c85ffed3'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d140f499-6090-4ef4-bf6a-9d09c85ffed3,4,,,69277,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Osasuna,422,['a9ca20c6-9f7e-4566-bc15-8e08293a05d7'],0,,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,598c5564-a2e6-49c4-8716-c35687a85633,1726,,,69277,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Barcelona,217,['fa835270-d01b-45ec-8b7c-10d227ec9d87'],0,,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fa835270-d01b-45ec-8b7c-10d227ec9d87,1727,,,69277,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Barcelona,217,['598c5564-a2e6-49c4-8716-c35687a85633'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,0.6325,,,,,,,,,,,,,68657d1a-f799-4717-b4e4-925df3c8276b,5,,"[61.0, 41.0]",69277,0,,True,,,-2.2419403,,Right Foot,,"[58.3, 37.6]",,Ground Pass,,4.3416586,,,,,Zlatan Ibrahimović,3672.0,,,,,,Kick Off,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Wing,2,Barcelona,217,['5b7d4114-47ee-498d-ab16-71ece601ff23'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.536,Pass,,2009/2010
,,,,,,,,,,,,,,,2.5866,,,,,,,,,,,,,cd1d1ae6-cd85-4a9c-b453-28e7774f6ee1,7,,"[57.5, 37.0]",69277,0,,,,,2.6816216,,Left Foot,,"[35.7, 47.8]",,Ground Pass,,24.328585,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Zlatan Ibrahimović,3672.0,Center Forward,2,Barcelona,217,['97b1b9a8-3686-4c7e-b6a7-f1e2574b85ab'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.603,Pass,,2009/2010
,,,,,,,,,,,,,,,1.6718,,,,,,,,,,,,,e572cb6e-d987-44bf-b6b0-9b7186b5a04f,10,,"[35.7, 47.8]",69277,0,,,,,-1.9028558,,Right Foot,,"[28.7, 27.5]",,Ground Pass,,21.473007,,,,,Dmytro Chygrynskiy,18608.0,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['2b4aea26-e82f-4422-ae11-bae675a484d5'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.459,Pass,,2009/2010
,,,,,,,,,,,,,,,1.6074,,,,,,,,,,,,,54b1298b-0fcc-42cb-bf80-936c36a07e0c,13,,"[28.7, 27.5]",69277,0,,,,,-1.3211174,,Left Foot,,"[33.8, 7.5]",,Ground Pass,,20.640009,,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,From Kick Off,Dmytro Chygrynskiy,18608.0,Left Center Back,2,Barcelona,217,['552da283-0d55-460c-9bae-c5c7e1b61a69'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.056,Pass,,2009/2010
,,,,,,,,,,,,,,,2.0832,,,,,,,,,,,,,7c94a1d7-cd9e-4f50-9503-457a20cd07c5,17,,"[32.1, 4.4]",69277,0,,,,,0.06479467,,Left Foot,,"[58.3, 6.1]",,Ground Pass,,26.255095,,,Incomplete,,Seydou Kéita,20169.0,,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,"['2bb8d875-e02b-4d16-ae2a-0692957ffbca', '882926d6-5772-4644-ab89-dd8c008b75c9', 'b770b2dd-4522-4668-aa6b-a2dafe686eed']",8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.973,Pass,True,2009/2010
