ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e8885992-3227-4c06-bc1c-3a0c82624120,1,,,69282,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 26005, 'name': 'José Manuel Pinto Colorado'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Barcelona,217,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,47ae0203-2de9-4eb6-8ebd-9af25913ba21,2,,,69282,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26031, 'name': 'Andoni Iraola Sagarna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 26736, 'name': 'Borja Ekiza Imaz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 32}, {'player': {'id': 26028, 'name': 'Fernando Amorebieta Mardaras'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 26479, 'name': 'Koikili Lertxundi Del Campo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 26087, 'name': 'Carlos Gurpegi Nausia'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 9399, 'name': 'Javier Martínez Aginaga'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 6390, 'name': 'Markel Susaeta Laskurain'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6388, 'name': 'Ander Iturraspe Derteano'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 26034, 'name': 'Igor Gabilondo del Campo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3486, 'name': 'Fernando Llorente Torres'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Athletic Club,215,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c0f605ee-e1ca-40d6-9d19-9dcccf9ca2f4,3,,,69282,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['e4d7011c-7629-4fef-969b-71817e697648'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e4d7011c-7629-4fef-969b-71817e697648,4,,,69282,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['c0f605ee-e1ca-40d6-9d19-9dcccf9ca2f4'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3955cdce-b07e-4992-82f0-4f840f3b8819,2259,,,69282,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,75,Athletic Club,215,['3bf73779-a648-4d03-8845-72167e1b6919'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3bf73779-a648-4d03-8845-72167e1b6919,2260,,,69282,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,75,Athletic Club,215,['3955cdce-b07e-4992-82f0-4f840f3b8819'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,0.949,,,,,,,,,,,,,,,3ec772b0-5a81-45b9-9f77-f357a87a8441,5,,"[60.0, 40.0]",69282,0,True,,,1.2277724,,Right Foot,,,"[61.0, 42.8]",,Ground Pass,,2.9732137,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Kick Off,1,From Kick Off,David Villa Sánchez,12737.0,Center Forward,2,Barcelona,217,['c9d5b136-0f2f-43b4-ab1c-0cbce8d5a810'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.121,Pass,,2010/2011
,,,,,,,,,,,,,,,1.28552,,,,,,,,,,,,,,,82f8ce19-26ca-4d33-922a-0fe25319cea6,7,,"[59.6, 42.0]",69282,0,,,,-2.9721797,,Right Foot,,,"[44.4, 39.4]",,Ground Pass,,15.420765,,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['93cd4641-531a-4fd3-a30b-d9ead2f42659'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.070,Pass,,2010/2011
,,,,,,,,,,,,,,,0.783834,,,,,,,,,,,,,,,0acea233-953d-4811-9d8d-7d038a5d3121,10,,"[44.4, 39.4]",69282,0,,,,-1.0516502,,Right Foot,,,"[51.6, 26.8]",,Ground Pass,,14.512064,,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,2,Barcelona,217,['d7b2bc6a-c639-4268-9d2d-2bb03e5272d6'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.159,Pass,,2010/2011
,,,,,,,,,,,,,,,0.79106,,,,,,,,,,,,,,,48633e85-991e-40e1-8827-0d945eae421f,13,,"[51.6, 26.8]",69282,0,,,,2.0724003,,Right Foot,,,"[46.5, 36.1]",,Ground Pass,,10.606602,,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['a1b99468-2320-4735-8eea-bd8effb5e3e7'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.983,Pass,,2010/2011
