bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3557d4ec-e0ac-4191-a63f-ee38d3cd228b,1,,,69283,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mallorca,1043,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26146, 'name': 'Dudú Aouate'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26737, 'name': 'Pablo Cendrós López'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 26068, 'name': 'Rubén González Rocha'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 25992, 'name': 'José Carlos de Araújo Nunes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 26147, 'name': 'Ayoze Díaz Díaz'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 26675, 'name': 'João Victor de Albuquerque Bruno'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 3}, {'player': {'id': 25948, 'name': 'Jose Luis Martí Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 13581, 'name': 'Emilio Nsue López'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 8675, 'name': 'Jonathan de Guzmán'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 6740, 'name': 'Gonzalo Castro Irizábal'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 25876, 'name': 'Pierre Achille Webó Kouamo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Mallorca,1043,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1f2d5f45-9476-42b1-b3d7-750f696b1d38,2,,,69283,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mallorca,1043,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 26005, 'name': 'José Manuel Pinto Colorado'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0bd3e421-cd2f-4356-b6fc-1c0b7be89399,3,,,69283,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mallorca,1043,['ee50115d-52ac-44c9-bd5f-73e448ace49c'],0,,,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ee50115d-52ac-44c9-bd5f-73e448ace49c,4,,,69283,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mallorca,1043,['0bd3e421-cd2f-4356-b6fc-1c0b7be89399'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,988bd08c-f8ee-496d-bde7-daa2f48fd8dc,1848,,,69283,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,113,Barcelona,217,['cec5261f-b9f9-426d-b2c0-1511983cc039'],0,,,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cec5261f-b9f9-426d-b2c0-1511983cc039,1849,,,69283,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,113,Barcelona,217,['988bd08c-f8ee-496d-bde7-daa2f48fd8dc'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,0.723877,,,,,,,,,,,,,3ca31ed9-522c-45e3-a60c-a4e7c7cfef52,5,,"[60.0, 40.0]",69283,0,,,,,1.4940244,,Right Foot,,,,"[60.2, 42.6]",,Ground Pass,,2.607681,,,,Jonathan de Guzmán,8675.0,,,,,,Kick Off,1,From Kick Off,Pierre Achille Webó Kouamo,25876.0,Center Forward,2,Mallorca,1043,['50e5492b-a170-484b-a006-eda8a88ff6e1'],0,,,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:00.615,Pass,,2010/2011
,,,,,,,,,,,,,,,,,2.540556,,,,,,,,,,,,,141d3a35-ee19-40c8-a38a-d7eae6497dd6,8,,"[59.0, 43.0]",69283,0,,,,,3.068552,,Left Foot,,,,"[30.3, 45.1]",,Ground Pass,,28.776726,,,,José Carlos de Araújo Nunes,25992.0,,,,,,,1,From Kick Off,Jonathan de Guzmán,8675.0,Center Attacking Midfield,2,Mallorca,1043,['c27c0dee-f5c7-44e5-a3d7-dff6c784c576'],1,,,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:01.379,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.791707,,,,,,,,,,,,,cbd01c32-562b-4940-a8e6-d250f0fde2f0,12,,"[32.0, 43.5]",69283,0,,,,,1.4809766,,Right Foot,,,,"[34.9, 75.7]",,Ground Pass,,32.330326,,,,Pablo Cendrós López,26737.0,,,,,,,1,From Kick Off,José Carlos de Araújo Nunes,25992.0,Left Center Back,2,Mallorca,1043,"['70dbaec3-7a40-4495-a9a2-faa978627441', 'e0235a5a-29ff-49b7-bb9f-6bf4de06ae34']",6,,,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:06.659,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,2.697657,,,,,,,,,,,,,78216356-466b-4bd3-853f-0345ae59f5e7,16,,"[39.0, 73.4]",69283,0,,,,,0.19739556,,Right Foot,,,,"[71.5, 79.9]",,High Pass,,33.143627,,Out,,,,,,,,,,1,From Kick Off,Pablo Cendrós López,26737.0,Right Back,2,Mallorca,1043,,9,,,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:09.280,Pass,,2010/2011
