50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,041c2d84-f163-412d-9976-f1ef8d11b252,1,,,,69287,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Barcelona,217,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b84226b4-5e6e-4c92-828e-780405573a38,2,,,,69287,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25870, 'name': 'Juan Jesús Calatayud Sánchez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25994, 'name': 'David Cortés Caballero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 26749, 'name': 'Abraham Paz Cruz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 26747, 'name': 'Noé Elias Pamarot'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 25900, 'name': 'Francisco Peña Romero'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 6192, 'name': 'Abel Enrique Aguilar Tapia'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 26751, 'name': 'Matías Lionel Fritzler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 26750, 'name': 'Tiago Filipe Figueiras Gomes'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 24}, {'player': {'id': 26748, 'name': 'Nelson Antonio Haedo Valdez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 21568, 'name': 'Royston Ricky Drenthe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 12}, {'player': {'id': 19311, 'name': 'David Sergio Trézéguet'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Hércules,1218,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,649529b5-831d-4b2b-b94e-81427b675056,3,,,,69287,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['c7e9febd-9249-4d48-b2ff-a8d87e387fb9'],0,,,,,,,,,,,,,,,,,Hércules,1218,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c7e9febd-9249-4d48-b2ff-a8d87e387fb9,4,,,,69287,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['649529b5-831d-4b2b-b94e-81427b675056'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b570b3c4-77de-4ba5-829e-7334c724ae53,1791,,,,69287,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,103,Hércules,1218,['63fb0b95-b7cc-4795-a2df-71df2ca72cbc'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,63fb0b95-b7cc-4795-a2df-71df2ca72cbc,1792,,,,69287,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,103,Hércules,1218,['b570b3c4-77de-4ba5-829e-7334c724ae53'],0,,,,,,,,,,,,,,,,,Hércules,1218,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,0.354829,,,,,,,,,,,,,1d68a004-0d33-4022-8997-d65e1fccc9fa,5,,,"[60.0, 40.0]",69287,0,,True,,,-2.7492526,,Right Foot,,,,"[57.1, 38.8]",,Ground Pass,,3.138471,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,David Villa Sánchez,12737.0,Center Forward,2,Barcelona,217,['b8316357-f51e-4558-a381-f500eabf5f77'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.197,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.008244,,,,,,,,,,,,,c7b11d0d-c535-4bae-9d4b-9cc3184b2f1f,7,,,"[56.0, 38.2]",69287,0,,,,,-3.0688734,,Left Foot,,,,"[40.9, 37.1]",,Ground Pass,,15.140013,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['2b5d90c0-7d1d-41bc-8ba5-579d4c39772c'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.456,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.998343,,,,,,,,,,,,,7066721c-f9b6-48d1-b3b4-0dd52ad7e157,10,,,"[42.8, 36.5]",69287,0,,,,,-1.3865737,,Right Foot,,,,"[48.8, 4.3]",,Ground Pass,,32.75424,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,2,Barcelona,217,['cbea8c39-4da4-4978-8601-a9583cc2120d'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.069,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.064929,,,,,,,,,,,,,c7f9ec45-8428-45ee-87b0-5c94b41e8bfd,13,,,"[50.1, 3.9]",69287,0,,,,,1.5707964,,Left Foot,,,,"[50.1, 11.3]",,Ground Pass,,7.4,,,Seydou Kéita,20169.0,,,,,,1,From Kick Off,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,2,Barcelona,217,['90940066-5f85-4a2d-b988-a40c6f9d2ddb'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.818,Pass,,2010/2011
