bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a477477a-9bcc-42ed-9db3-5d66958f925c,1,,,69295,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b932e2c7-9bc3-4d49-b6cc-ae6119bac191,2,,,69295,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26070, 'name': 'Antonio Rodríguez Martínez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26615, 'name': 'Francisco Jesús Pérez Malia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 26163, 'name': 'Marc Torrejón Moya'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 25358, 'name': 'Henrique Adriano Buss'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 24075, 'name': 'Christian Fernández Salas'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 26073, 'name': 'Gonzalo Colsa Albendea'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 26746, 'name': 'Kennedy Bakircioglu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 6557, 'name': 'Adrián González Morales'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 26238, 'name': 'Domingo Cisma González'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 6}, {'player': {'id': 16567, 'name': 'Markus Rosenberg'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Racing Santander,1217,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,64018d3a-541b-4f3b-b2f8-1f5f4d62b307,3,,,69295,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['bddb5127-1296-4281-947e-9e4eacb4176f'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bddb5127-1296-4281-947e-9e4eacb4176f,4,,,69295,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['64018d3a-541b-4f3b-b2f8-1f5f4d62b307'],0,,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f7c49b9c-c74f-4a3d-8f8e-7a571fb42cf5,2093,,,69295,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Racing Santander,1217,['1b75dd10-8438-4698-bdee-3db797089c6a'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1b75dd10-8438-4698-bdee-3db797089c6a,2094,,,69295,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Racing Santander,1217,['f7c49b9c-c74f-4a3d-8f8e-7a571fb42cf5'],0,,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,2.156864,,,,,,,,,,,,,1dee745a-0f44-4723-8779-38317b2dc75c,5,,"[61.0, 41.0]",69295,0,,True,,,-2.8922126,,Right Foot,,"[34.3, 34.2]",,Ground Pass,,27.552315,,,Henrique Adriano Buss,25358.0,,,,,Kick Off,1,From Kick Off,Markus Rosenberg,16567.0,Center Forward,2,Racing Santander,1217,['d91acbae-b323-452e-8973-8fc8cd729166'],2,,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:02.936,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.578882,,,,,,,,,,,,,cbbcca0d-c996-4b0a-932a-614e1817aae3,8,,"[36.6, 38.0]",69295,0,,,,,2.0913131,,Right Foot,,"[27.6, 53.7]",,Ground Pass,,18.096685,,,Marc Torrejón Moya,26163.0,,,,,,1,From Kick Off,Henrique Adriano Buss,25358.0,Left Center Back,2,Racing Santander,1217,"['a52d2f44-abd9-4883-8f6b-3a447cbc3734', 'e8965b24-d096-436c-9b74-f06981b83490']",6,,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:06.478,Pass,True,2010/2011
,,,,,,,,,,,,,,,,1.1134,,,,,,,,,,,,,95773fed-21b6-4e9a-8cd8-51f5c819d0ce,11,,"[28.4, 57.1]",69295,0,,,,,-0.05258306,,Right Foot,,"[36.0, 56.7]",,Ground Pass,,7.610519,,,Mehdi Lacen,6745.0,,,,,,1,From Kick Off,Marc Torrejón Moya,26163.0,Right Center Back,2,Racing Santander,1217,['3e6e78c8-7ba3-4dd0-9d97-a8e8b124f311'],8,,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:08.808,Pass,,2010/2011
,,,,,,,,,,,,,,,,0.962709,,,,,,,,,,,,,cb620417-53e9-4900-84bc-2369e92f5c68,14,,"[36.0, 68.0]",69295,0,,,,,0.9453113,,Right Foot,,"[43.8, 78.8]",,Ground Pass,,13.322162,,,Francisco Jesús Pérez Malia,26615.0,,,,,,1,From Kick Off,Mehdi Lacen,6745.0,Right Center Midfield,2,Racing Santander,1217,['5eac8763-1c3e-4e14-ab92-f5899e7bc0fe'],11,,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:11.344,Pass,,2010/2011
