50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a94a00e8-54a1-4ae7-97bf-9210e062f3be,1,,,,69296,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hércules,1218,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25870, 'name': 'Juan Jesús Calatayud Sánchez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25994, 'name': 'David Cortés Caballero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 26757, 'name': 'Mohamed Adama Sarr'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 26409, 'name': 'Sergio Rodríguez García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 25900, 'name': 'Francisco Peña Romero'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 26751, 'name': 'Matías Lionel Fritzler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 6192, 'name': 'Abel Enrique Aguilar Tapia'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 26744, 'name': 'Jorge López Marco'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 26748, 'name': 'Nelson Antonio Haedo Valdez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3269, 'name': 'Francisco Femenía Far'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 19311, 'name': 'David Sergio Trézéguet'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Hércules,1218,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5372be08-9950-42c4-9a02-fe7133b1971c,2,,,,69296,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hércules,1218,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,149fb505-8c0d-4330-aa08-19196ff88ea8,3,,,,69296,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hércules,1218,['52cde55e-93d7-4ab6-be95-39901ccf57a6'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,52cde55e-93d7-4ab6-be95-39901ccf57a6,4,,,,69296,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hércules,1218,['149fb505-8c0d-4330-aa08-19196ff88ea8'],0,,,,,,,,,,,,,,,,,Hércules,1218,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9ca30b05-ce33-4010-8b53-74ee5a372271,2324,,,,69296,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,95,Barcelona,217,['b7f76090-13ca-4f27-92df-32885853ebf0'],0,,,,,,,,,,,,,,,,,Hércules,1218,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b7f76090-13ca-4f27-92df-32885853ebf0,2325,,,,69296,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,95,Barcelona,217,['9ca30b05-ce33-4010-8b53-74ee5a372271'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,0.5083,,,,,,,,,,,,,cd3725da-45a3-4ac8-884f-db8625622b6b,5,,,"[61.0, 41.0]",69296,0,,,,1.3932002,,Right Foot,,,"[61.7, 44.9]",,Ground Pass,,3.9623225,,,,,David Sergio Trézéguet,19311.0,,,,,,Kick Off,1,From Kick Off,Nelson Antonio Haedo Valdez,26748.0,Center Attacking Midfield,2,Hércules,1218,['2aa97186-07f6-4bd2-8bbe-c2527188d18c'],0,,,,,,,,,,,,,,,,,Hércules,1218,00:00:00.040,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.219006,,,,,,,,,,,,,95bf54f0-1548-4f89-a2d1-c245e905c6bd,8,,,"[60.3, 44.9]",69296,0,,,,-2.6611197,,Right Foot,,,"[43.8, 36.3]",,Ground Pass,,18.60672,,,,,Matías Lionel Fritzler,26751.0,,,,,,,1,From Kick Off,David Sergio Trézéguet,19311.0,Center Forward,2,Hércules,1218,['ef33fc39-089b-49d4-aa3f-84ce10f60796'],0,,,,,,,,,,,,,,,,,Hércules,1218,00:00:00.588,Pass,,2010/2011
,,,,,,,,,,,,,,,,2.2128,,,,,,,,,,,,,a2b2620d-d5d6-423d-8e62-ea331870218d,12,,,"[40.9, 35.0]",69296,0,,,,1.6189178,,Right Foot,,,"[39.2, 70.3]",,Ground Pass,,35.34091,,,,,David Cortés Caballero,25994.0,,,,,,,1,From Kick Off,Matías Lionel Fritzler,26751.0,Right Defensive Midfield,2,Hércules,1218,"['15d16b7e-2e3a-4aff-811b-6f0d520a24b1', 'e4287572-4482-4f49-a9fc-f45d9549289a']",2,,,,,,,,,,,,,,,,,Hércules,1218,00:00:02.192,Pass,True,2010/2011
,,,,,,,,,,,,,,,,0.6603,,,,,,,,,,,,,3c4cdca5-98de-4856-a8f6-4c925c4082e6,20,,,"[90.5, 15.0]",69296,0,,,,2.243275,,Right Foot,,,"[86.2, 20.4]",,Ground Pass,,6.902898,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,David Villa Sánchez,12737.0,Left Wing,3,Barcelona,217,['82bec8ff-0cb5-4377-bf19-383a9134a0b7'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.781,Pass,,2010/2011
