ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,767a0f43-9b5a-4b41-b41e-7c298926575e,1,,,69297,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6f97c8bd-2525-4c64-ac29-371a4e3ffd6e,2,,,69297,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26120, 'name': 'Luis Amaranto Perea Mosquera'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 26118, 'name': 'Antonio López Guerrero'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 23488, 'name': 'Mario Suárez Mata'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 20669, 'name': 'Tiago Cardoso Mendes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 23816, 'name': 'José Antonio Reyes Calderón'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 25145, 'name': 'Diego Ribas da Cunha'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 3445, 'name': 'Radamel Falcao García Zárate'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Atlético Madrid,212,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e87364f5-52c7-43fe-a780-d7a6ace7e81d,3,,,69297,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['593aca05-1744-4219-a5ee-93516df7f01a'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,593aca05-1744-4219-a5ee-93516df7f01a,4,,,69297,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['e87364f5-52c7-43fe-a780-d7a6ace7e81d'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7cdd2c58-74a2-4a02-8198-d1562655269d,2461,,,69297,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Barcelona,217,['f5968e4f-527d-4bc0-a290-193148adf930'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f5968e4f-527d-4bc0-a290-193148adf930,2462,,,69297,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Barcelona,217,['7cdd2c58-74a2-4a02-8198-d1562655269d'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,5688834a-b158-4b00-9a27-1e1070cd1b51,5,,"[60.0, 40.0]",69297,0,True,,,0.74837804,,Right Foot,,,,"[64.2, 43.9]",,Ground Pass,,5.731492,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Right Center Midfield,2,Barcelona,217,['24ad4962-4a14-4716-8c78-eea004fe9e7a'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.016,Pass,,2011/2012
,,,,,,,,,,,,,,1.3766,,,,,,,,,,,,,9b0a900e-a142-4ac5-a391-361520fa7587,7,,"[63.8, 43.6]",69297,0,True,,,-2.979657,,Left Foot,,,,"[43.6, 40.3]",,Ground Pass,,20.46778,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['706ecdce-c6f3-47cb-84ea-618ca2c63a49'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.455,Pass,,2011/2012
,,,,,,,,,,,,,,1.523524,,,,,,,,,,,,,72848435-36b4-44e8-b803-f53fade5e99d,9,,"[43.6, 40.3]",69297,0,,,,1.9422486,,Left Foot,,,,"[36.9, 57.5]",,Ground Pass,,18.458874,,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Left Center Back,2,Barcelona,217,['58bff309-b4d5-4f80-8f7a-c329e3e7b8e6'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.732,Pass,,2011/2012
,,,,,,,,,,,,,,0.987529,,,,,,,,,,,,,47477dbf-314c-4437-832e-d7584bd87cad,12,,"[36.9, 57.5]",69297,0,,,,-1.9826037,,Right Foot,,,,"[29.3, 40.1]",,Ground Pass,,18.987364,,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['b7b4242b-1715-4571-8ddc-2aa4a781f9ae'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.484,Pass,,2011/2012
