ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7aa12d2a-aad3-4d6a-8999-ae76ab0400f2,1,,,69300,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 25919, 'name': 'Gabriel Alejandro Milito'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f54ef8b4-5069-4b27-a349-c42d4ced553c,2,,,69300,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 26484, 'name': 'Antonio Baltasar Doblas Santana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26715, 'name': 'Maurizio Lanzaro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 26655, 'name': 'Jirí Jarošík'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 21}, {'player': {'id': 26761, 'name': 'Paulo César Da Silva Barrios'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 26022, 'name': 'Carlos Andrés Diogo Enseñat'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 23651, 'name': 'Ivan Obradović'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 24}, {'player': {'id': 10815, 'name': 'Ádám Pintér'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 26760, 'name': ""Guirane N''Daw""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3606, 'name': 'Ander Herrera Agüera'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 26762, 'name': 'Nicolás Santiago Bertolo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 26083, 'name': 'Florent Sinama-Pongolle'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Real Zaragoza,395,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,96966ec5-7bed-4ba6-98db-5e058e4fd628,3,,,69300,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['c72d0f49-c3ad-4c1d-bab5-bebd89e9fde2'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c72d0f49-c3ad-4c1d-bab5-bebd89e9fde2,4,,,69300,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['96966ec5-7bed-4ba6-98db-5e058e4fd628'],0,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8f860c0e-1eab-485a-b1c0-952adfff9056,1946,,,69300,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,82,Barcelona,217,['9904cf69-0238-4ae7-acce-16d3a35b1075'],0,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9904cf69-0238-4ae7-acce-16d3a35b1075,1947,,,69300,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,82,Barcelona,217,['8f860c0e-1eab-485a-b1c0-952adfff9056'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,0.3171,,,,,,,,,,,,,bb870fd6-a371-4e12-83f1-3f380e8c2832,5,,"[61.0, 40.1]",69300,0,,,,,1.6506263,,Right Foot,,,,"[60.8, 42.6]",Ground Pass,,2.5079873,,,,Nicolás Santiago Bertolo,26762.0,,,,,Kick Off,1,From Kick Off,Florent Sinama-Pongolle,26083.0,Left Center Forward,2,Real Zaragoza,395,['002efeb1-2c8b-439a-9110-a335e510f55f'],1,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:01.299,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.2495,,,,,,,,,,,,,5e8003de-7070-45e9-8ed3-c4e03af330c0,8,,"[61.2, 42.5]",69300,0,,,,,3.0256107,,Right Foot,,,,"[50.9, 43.7]",Ground Pass,,10.369667,,,,Ander Herrera Agüera,3606.0,,,,,,1,From Kick Off,Nicolás Santiago Bertolo,26762.0,Right Center Forward,2,Real Zaragoza,395,['02c5021b-b97b-4fda-a52f-7c5bf0713e91'],1,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:01.696,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.6222,,,,,,,,,,,,,beea2bca-1758-4ad2-b998-5aba9285b353,11,,"[50.9, 42.9]",69300,0,,,,,-0.8414724,,Right Foot,,,,"[73.6, 17.5]",High Pass,,34.06538,,Incomplete,,,,,,,,,1,From Kick Off,Ander Herrera Agüera,3606.0,Center Attacking Midfield,2,Real Zaragoza,395,['8c3a4141-8b63-4b32-9eb3-c02399ff827e'],2,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:02.985,Pass,,2010/2011
,,,,,,,,,,,,,,,,,0.7839,,,,,,,,,,,,,8c3a4141-8b63-4b32-9eb3-c02399ff827e,12,,"[46.5, 62.6]",69300,0,,,,,-0.088007376,,Right Foot,,,,"[53.3, 62.0]",Ground Pass,,6.8264194,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Recovery,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,"['450317a9-fd11-468e-b3d0-0db1cf24f6c3', 'beea2bca-1758-4ad2-b998-5aba9285b353']",4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.608,Pass,,2010/2011
