ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,17b9e669-0467-495f-a840-c833e5c1e38f,1,,,69302,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,24109190-1773-477b-8bd0-eba1d1711888,2,,,69302,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8724, 'name': 'Carlos Martínez Díez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 26764, 'name': 'Jon Ansotegi Gorostola'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 16622, 'name': 'Mikel González de Martín Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6674, 'name': 'Alberto De La Bella Madureño'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 26060, 'name': 'Diego Rivas Gutiérrez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 12191, 'name': 'Gorka Elustondo Urkola'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 26449, 'name': 'Mikel Aranburu Eizagirre'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 26191, 'name': 'Joseba Llorente Etxarri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Real Sociedad,210,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,95cd2d5c-ebc6-4645-8ab6-5d60ff1f662b,3,,,69302,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['ffbb1543-628a-4466-abb2-bbe2874dc928'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ffbb1543-628a-4466-abb2-bbe2874dc928,4,,,69302,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['95cd2d5c-ebc6-4645-8ab6-5d60ff1f662b'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8c742a70-ea4c-473b-a3fb-ae7514964599,2225,,,69302,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Barcelona,217,['bcaa1c93-af5c-4562-9d45-6dbecb894a19'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bcaa1c93-af5c-4562-9d45-6dbecb894a19,2226,,,69302,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Barcelona,217,['8c742a70-ea4c-473b-a3fb-ae7514964599'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,0.836724,,,,,,,,,,,,ce778c89-4a98-4adf-8a65-8d809ea644f8,5,,"[61.0, 41.0]",69302,0,,,,-0.7140907,,Right Foot,,,,"[62.5, 39.7]",,Ground Pass,,1.9849433,,,,Gorka Elustondo Urkola,12191.0,,,,,,Kick Off,1,From Kick Off,Joseba Llorente Etxarri,26191.0,Center Forward,2,Real Sociedad,210,['1556db18-f545-4fdd-8af8-311fc8091af0'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.247,Pass,,2010/2011
,,,,,,,,,,,,,,,1.492782,,,,,,,,,,,,c0b09a1d-3b2b-4866-b773-2d6f2155c042,8,,"[61.6, 39.7]",69302,0,,,,-2.5895975,,Right Foot,,,,"[45.2, 29.6]",,Ground Pass,,19.260582,,,,Alberto De La Bella Madureño,6674.0,,,,,,,1,From Kick Off,Gorka Elustondo Urkola,12191.0,Right Center Midfield,2,Real Sociedad,210,['980663b9-bb4a-4d51-adfb-50d97adfd771'],1,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:01.164,Pass,,2010/2011
,,,,,,,,,,,,,,,2.8378,,,,,,,,,,,,6b925ece-94b4-4821-82ce-fc95d87b12c0,11,,"[45.0, 31.0]",69302,0,,,,0.7853982,,Left Foot,,,,"[86.4, 72.4]",,High Pass,,58.548443,,,,Xabier Prieto Argarate,6690.0,,,True,,,,1,From Kick Off,Alberto De La Bella Madureño,6674.0,Left Back,2,Real Sociedad,210,['3256e44a-56b8-4be2-9e58-dabc8777e6ab'],3,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:03.734,Pass,,2010/2011
,,,,,,,,,,,,,,,1.5107,,,,,,,,,,,,6333d6e7-3e47-401f-a95c-567907f5dfb6,13,,"[86.4, 72.4]",69302,0,,,True,-1.0888581,,,,,,"[93.2, 59.4]",,High Pass,,14.67106,,Incomplete,,Gorka Elustondo Urkola,12191.0,,,,,,,1,From Kick Off,Xabier Prieto Argarate,6690.0,Right Midfield,2,Real Sociedad,210,"['13647faf-d053-4384-89b4-56b26581ad31', '348546da-be24-4fab-803a-ada1442d4bb5', 'ece303ea-d918-4a68-9101-7ce8f1844e29']",6,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:06.571,Pass,True,2010/2011
