ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7ecab631-02e0-4de6-b75e-fcf0d99e7ab1,1,,,69306,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Almería,403,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6922, 'name': 'Míchel Macedo Rocha Machado'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 26439, 'name': 'Carlos García Badías'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 26434, 'name': 'Santiago Wilmer Acasiete Ariadela'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 26440, 'name': 'Juan Manuel Ortiz Palazón'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 26651, 'name': 'Hernán Darío Bernardello'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 26648, 'name': ""Modeste M''bami""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 26766, 'name': 'Fabián Andrés Vargas Rivera'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 26432, 'name': 'Miguel Ángel García Pérez Roldán'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 6763, 'name': 'Pablo Daniel Piatti'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 26647, 'name': 'Henok Goitom'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 23}]}",Almería,403,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e4c79a09-77f5-4555-96ac-4ed66d30e7f4,2,,,69306,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Almería,403,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6890, 'name': 'Andreu Fontàs Prat'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,14148265-f062-4ed9-9f6c-d9054a396549,3,,,69306,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Almería,403,['b70e1295-ad93-4a8d-bf1d-a238ea462cde'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b70e1295-ad93-4a8d-bf1d-a238ea462cde,4,,,69306,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Almería,403,['14148265-f062-4ed9-9f6c-d9054a396549'],0,,,,,,,,,,,,,,,,,,Almería,403,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4383ff08-400c-406f-8182-2eebb8dcc4f1,1938,,,69306,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Barcelona,217,['5db91b58-c208-4f5b-b315-834a7bc34c7a'],0,,,,,,,,,,,,,,,,,,Almería,403,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5db91b58-c208-4f5b-b315-834a7bc34c7a,1939,,,69306,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Barcelona,217,['4383ff08-400c-406f-8182-2eebb8dcc4f1'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,0.557,,,,,,,,,,,,,dd79dcc1-8597-4086-8156-1e6de009f45b,5,,"[60.0, 40.0]",69306,0,,,,,0.06885649,,Right Foot,,,,"[62.9, 40.2]",,Ground Pass,,2.9068885,,,,Pablo Daniel Piatti,6763.0,,,,,,Kick Off,1,From Kick Off,Henok Goitom,26647.0,Left Center Forward,2,Almería,403,['3b252434-a73d-4db5-af88-ff8f160ee861'],1,,,,,,,,,,,,,,,,,,Almería,403,00:00:01.093,Pass,,2010/2011
,,,,,,,,,,,,,,1.3458,,,,,,,,,,,,,d5f2f635-5986-43e9-9cfa-d78edad5d03f,7,,"[62.0, 41.0]",69306,0,,,,,2.8443127,,Left Foot,,,,"[44.7, 46.3]",,Ground Pass,,18.093645,,,,Hernán Darío Bernardello,26651.0,,,,,,,1,From Kick Off,Pablo Daniel Piatti,6763.0,Right Center Forward,2,Almería,403,['91c850fa-e364-4b14-b098-51855588d776'],1,,,,,,,,,,,,,,,,,,Almería,403,00:00:01.650,Pass,,2010/2011
,,,,,,,,,,,,,,1.5686,,,,,,,,,,,,,7d84e2cc-9d4d-4b2e-aa07-36f78812c646,10,,"[40.6, 46.3]",69306,0,,,,,-1.8333031,,Right Foot,,,,"[32.7, 16.9]",,Ground Pass,,30.442898,,,,Fabián Andrés Vargas Rivera,26766.0,,,,,,,1,From Kick Off,Hernán Darío Bernardello,26651.0,Center Defensive Midfield,2,Almería,403,['8a3a44d8-c914-4254-ba28-aa8f8b01c5a2'],4,,,,,,,,,,,,,,,,,,Almería,403,00:00:04.509,Pass,,2010/2011
,,,,,,,,,,,,,,1.450068,,,,,,,,,,,,,a65f3bce-6b38-4b7f-aadb-0b530035129f,14,,"[33.4, 16.5]",69306,0,,,,,2.5079596,,Right Foot,,,,"[23.6, 23.7]",,Ground Pass,,12.160592,,,,Santiago Wilmer Acasiete Ariadela,26434.0,,,,,,,1,From Kick Off,Fabián Andrés Vargas Rivera,26766.0,Left Center Midfield,2,Almería,403,['8e29f076-7e77-4919-9b27-126466a059ee'],7,,,,,,,,,,,,,,,,,,Almería,403,00:00:07.182,Pass,,2010/2011
