50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,9c71c15f-6321-4e9e-b89e-625c0ba07479,1,,,69307,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Osasuna,422,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25912, 'name': 'Ricardo López Felipe'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26589, 'name': 'Nélson Augusto Tomar Marcos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 25969, 'name': 'Sergio Fernández González'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 24313, 'name': 'Miguel Flaño Bezunartea'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 26002, 'name': 'Javad Nekounam'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 25874, 'name': 'Francisco Puñal Martínez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 26435, 'name': 'Fernando Soriano Marco'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 5238, 'name': 'Masoud Shojaei Soleimani'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 26169, 'name': 'Javier Camuñas Gallego'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Osasuna,422,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,582f4fcf-c64b-49e3-8cfb-2a3106132bc2,2,,,69307,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Osasuna,422,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,425b1b1a-b69a-4f0d-b540-8b8f293d1079,3,,,69307,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Osasuna,422,['92f2f5c6-b5f1-459e-b801-a0b68068ab12'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,92f2f5c6-b5f1-459e-b801-a0b68068ab12,4,,,69307,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Osasuna,422,['425b1b1a-b69a-4f0d-b540-8b8f293d1079'],0,,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,04b9eddb-9af8-4cbe-8f36-ba3a2a48811a,1958,,,69307,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,Barcelona,217,['5f6712fd-b4f5-43bf-9940-377efa39799f'],0,,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,5f6712fd-b4f5-43bf-9940-377efa39799f,1959,,,69307,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,Barcelona,217,['04b9eddb-9af8-4cbe-8f36-ba3a2a48811a'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,0.520823,,,,,,,,,,,,,,,,4ce2c358-7799-4039-8b56-893c87b7cb9b,5,,"[60.0, 40.0]",69307,0,,,,,-2.0344439,,Left Foot,,,"[58.4, 36.8]",,Ground Pass,,3.5777087,,,,,Javier Camuñas Gallego,26169.0,,,,,Kick Off,1,From Kick Off,Fernando Soriano Marco,26435.0,Center Attacking Midfield,2,Osasuna,422,['c0dc1a2c-8aad-48a9-8fd5-ff2fa7f74247'],0,,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.357,Pass,,2010/2011
,,,,,,,,,,,,,,,,,0.917452,,,,,,,,,,,,,,,,cdf3bc29-787f-4ca0-9577-5ee0e76dd605,8,,"[58.1, 36.5]",69307,0,,,,,2.612643,,Left Foot,,,"[43.9, 44.8]",,Ground Pass,,16.447796,,,,,Francisco Puñal Martínez,25874.0,,,,,,1,From Kick Off,Javier Camuñas Gallego,26169.0,Center Forward,2,Osasuna,422,['b9a64aca-fb16-4127-9175-ba2e73af81ad'],0,,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.918,Pass,,2010/2011
,,,,,,,,,,,,,,,,,2.846074,,,,,,,,,,,,,,,,3de4c799-382c-4a9d-87f1-1f0614b2aa32,11,,"[48.7, 45.7]",69307,0,,,,,-0.60218203,,Right Foot,,,"[89.0, 18.0]",,High Pass,,48.901737,,,,,Masoud Shojaei Soleimani,5238.0,,,,,,1,From Kick Off,Francisco Puñal Martínez,25874.0,Left Defensive Midfield,2,Osasuna,422,['2d2e885d-ad7c-4962-a7ba-82563dd83690'],3,,,,,,,,,,,,,,,,,Osasuna,422,00:00:03.977,Pass,,2010/2011
,,,,,,,,,,,,,,,,,0.8544,,,,,,,,,,,,,,,,c53b18fb-811e-44b5-8a47-3e19e4f3f676,18,,"[50.8, 71.2]",69307,0,,,,,-1.9631364,,Right Foot,,,"[44.8, 56.7]",,Ground Pass,,15.692355,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['58c0bca0-53ca-4b44-a60b-eea280d1378f'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.356,Pass,,2010/2011
