bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,509c7c10-3c67-4fe4-8951-db39e91a3408,1,,,69312,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 24040, 'name': 'Cristian Darío Álvarez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 26667, 'name': 'Raúl Rodríguez Navarro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 6652, 'name': 'Jordi Amat Maas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5573, 'name': 'Héctor Alfredo Moreno Herrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 6886, 'name': 'Dídac Vilá Rosselló'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 26480, 'name': ""Christian Koffi Romaric N''Dri""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 24744, 'name': 'Juan Daniel Forlín'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 26775, 'name': 'Thievy Guivane Bifouma Koulossa'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 39}, {'player': {'id': 26211, 'name': 'Joan Verdú Fernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 10922, 'name': 'Vladimír Weiss'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6767, 'name': 'Sergio García De La Fuente'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Espanyol,214,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e380059a-c453-4a1d-a160-ce1e1242cbc5,2,,,69312,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 4}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,de72422c-f732-4d80-b95a-317f943cd9b3,3,,,69312,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['6b51df63-0726-44b4-8ad9-aa304f96a8d6'],0,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6b51df63-0726-44b4-8ad9-aa304f96a8d6,4,,,69312,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['de72422c-f732-4d80-b95a-317f943cd9b3'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c3f26dec-d357-45ec-9eaf-e6522f57c46a,2130,,,69312,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,109,Barcelona,217,['bcc3ed5e-3993-4cc9-8028-cf563ab69cd6'],0,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bcc3ed5e-3993-4cc9-8028-cf563ab69cd6,2131,,,69312,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,109,Barcelona,217,['c3f26dec-d357-45ec-9eaf-e6522f57c46a'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,1.026827,,,,,,,,,,,,2116d0f7-1de4-45b8-af98-02a64c1cf112,5,,"[61.0, 41.0]",69312,0,,,,,1.6030432,,Right Foot,,,"[60.9, 44.1]",,Ground Pass,,3.1016126,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Left Wing,2,Barcelona,217,['81a23923-69bd-4770-927d-7c21f55c54df'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.167,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.401942,,,,,,,,,,,,7e12ac54-0f58-45bc-bc47-70891a39b83c,8,,"[61.2, 44.0]",69312,0,,,,,-2.881438,,Right Foot,,,"[47.3, 40.3]",,Ground Pass,,14.384019,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['852d83a3-d9f8-4d22-a33b-414d03e0ef2b'],1,,,,,,,,,,,,,,,Barcelona,217,00:00:01.309,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.902649,,,,,,,,,,,,b0977a1b-1fd7-4dc0-b9bc-c02817124f48,11,,"[47.7, 40.3]",69312,0,,,,,1.3977861,,Right Foot,,,"[49.5, 50.6]",,Ground Pass,,10.456099,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['ce4a7941-d594-4206-8e2e-78ace7cbfd64'],2,,,,,,,,,,,,,,,Barcelona,217,00:00:02.751,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.07588,,,,,,,,,,,,d2123c82-1396-45f5-9ec9-2cad1e5cb4eb,14,,"[49.5, 50.6]",69312,0,,,,,-2.0659297,,Right Foot,,,"[44.1, 40.6]",,Ground Pass,,11.364858,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Left Center Midfield,2,Barcelona,217,['a2511403-e374-42df-a732-4389967a22eb'],5,,,,,,,,,,,,,,,Barcelona,217,00:00:05.653,Pass,,2011/2012
