ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,90e0a3fd-7ca2-4607-b20e-ced27a63fa50,1,,,69319,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 23815, 'name': 'Casto Espinosa Barriga'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26170, 'name': 'Francisco Javier Chica Torres'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 26784, 'name': 'Paulo Afonso Santos Júnior'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 11543, 'name': 'José Antonio Dorado Ramírez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 25892, 'name': 'Ignacio Pérez Santamaría'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 23804, 'name': 'Jonathan Pereira Rodríguez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 18407, 'name': 'José Alberto Cañas Ruiz Herrera'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 7063, 'name': 'Jefferson Antonio Montero Vite'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 16558, 'name': 'Alejandro Pozuelo Melero'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 35}, {'player': {'id': 6832, 'name': 'Rubén Castro Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 24}]}",Real Betis,218,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e0c8e6da-f371-4450-ba46-884845da6c5d,2,,,69319,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 4891, 'name': 'Ibrahim Afellay'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ed6aab61-2424-49ff-aaca-12f06b6cdb4f,3,,,69319,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,['a48a2ccc-3aad-462e-8d17-bc210fe5b51b'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a48a2ccc-3aad-462e-8d17-bc210fe5b51b,4,,,69319,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,['ed6aab61-2424-49ff-aaca-12f06b6cdb4f'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4a55530d-f2b2-41f9-9281-0d24d3e29d8f,2003,,,69319,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,112,Real Betis,218,['991bf9cc-da8a-433c-a27a-a7d3336f4940'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,991bf9cc-da8a-433c-a27a-a7d3336f4940,2004,,,69319,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,112,Real Betis,218,['4a55530d-f2b2-41f9-9281-0d24d3e29d8f'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,0.502939,,,,,,,,,,,,,,f84ce00c-e8c1-4cea-b23b-21c1c51135c7,5,,"[61.0, 41.0]",69319,0,,,,-1.3370532,,Right Foot,,,"[61.5, 38.9]",,Ground Pass,,2.1587033,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Kick Off,1,From Kick Off,Ibrahim Afellay,4891.0,Left Wing,2,Barcelona,217,['58c3717b-eebd-45c4-ae9d-afc0bebf69d8'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.149,Pass,,2011/2012
,,,,,,,,,,,,,,1.2599,,,,,,,,,,,,,,e7d98dcd-c968-4a8c-8d08-a1941203091c,8,,"[60.9, 38.7]",69319,0,,,,3.1415927,,Right Foot,,,"[47.5, 38.7]",,Ground Pass,,13.4,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['ec36139c-b844-444b-bef1-968cb53a2277'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.852,Pass,,2011/2012
,,,,,,,,,,,,,,1.32,,,,,,,,,,,,,,9a3db2a4-0683-4928-b204-6f9a1147942b,11,,"[47.0, 39.3]",69319,0,,,,2.3993332,,Left Foot,,,"[32.5, 52.6]",,Ground Pass,,19.675873,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['0878369c-cb5a-40a9-90ac-6bfdda06a90b'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.551,Pass,,2011/2012
,,,,,,,,,,,,,,1.64,,,,,,,,,,,,,,18ef4369-e5a7-460b-bed5-055f833dc318,15,,"[32.8, 52.5]",69319,0,,,,1.0866238,,Right Foot,,,"[39.9, 66.0]",,Ground Pass,,15.253197,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,"['710a1e93-c8ec-4763-85db-261b48fbd81a', 'dffe3663-9e4f-4e24-bd5a-28b474f5fd5c']",4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.751,Pass,True,2011/2012
