50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ad89f943-7c17-4c68-986c-e8d6d8365216,1,,,,69322,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Racing Santander,1217,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26786, 'name': 'Mario Fernández Cuesta'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26615, 'name': 'Francisco Jesús Pérez Malia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6573, 'name': 'Bernardo José Espinosa Zúñiga'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 26238, 'name': 'Domingo Cisma González'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 26073, 'name': 'Gonzalo Colsa Albendea'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 26787, 'name': 'Marcos Gullón Ferrera'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 26665, 'name': 'Manuel Jesús Arana Rodríguez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 19577, 'name': 'Pedro Manuel Munitis Álvarez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 7125, 'name': 'Khouma El Hadji Babacar'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Racing Santander,1217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,040b690b-5d08-4330-9761-8aa47324da8d,2,,,,69322,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Racing Santander,1217,,0,,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 14}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 26776, 'name': 'Juan Isaac Cuenca López'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 23}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 17}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,df97270e-7b5e-4f29-ad41-dc37a0d1933e,3,,,,69322,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Racing Santander,1217,['1d7d90d2-23f4-4fa8-bcd9-5804f4f55868'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1d7d90d2-23f4-4fa8-bcd9-5804f4f55868,4,,,,69322,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Racing Santander,1217,['df97270e-7b5e-4f29-ad41-dc37a0d1933e'],0,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,cbc299f8-41b7-4ee7-bd79-a9f185fd4122,2036,,,,69322,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Barcelona,217,['e4d5de37-332d-425a-afd9-03eec916bb90'],0,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e4d5de37-332d-425a-afd9-03eec916bb90,2037,,,,69322,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Barcelona,217,['cbc299f8-41b7-4ee7-bd79-a9f185fd4122'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,0.4015,,,,,,,,,,,,,,,388f1e38-ea0b-4e37-977d-de20dc2f2d92,5,,,"[60.0, 40.0]",69322,0,True,,,1.3439975,,Right Foot,,,"[60.6, 42.6]",,Ground Pass,,2.6683328,,,,Khouma El Hadji Babacar,7125.0,,,,,,Kick Off,1,From Kick Off,Papa Kouly Diop,6867.0,Center Attacking Midfield,2,Racing Santander,1217,['cb81cc09-6c6f-49cf-b215-a7c50024962b'],0,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:00.857,Pass,,2011/2012
,,,,,,,,,,,,,,,,,2.2021,,,,,,,,,,,,,,,c4117233-c095-4e49-985f-b3fbf7ea560d,7,,,"[61.2, 42.0]",69322,0,True,,,-2.6987753,,Left Foot,,,"[41.8, 32.8]",,Ground Pass,,21.470911,,,,Marcos Gullón Ferrera,26787.0,,,,,,,1,From Kick Off,Khouma El Hadji Babacar,7125.0,Center Forward,2,Racing Santander,1217,['005d6fd4-5635-4294-b17b-649723a1b518'],1,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:01.322,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.4482,,,,,,,,,,,,,,,d19df687-622f-4d89-8e2d-a300b563505d,9,,,"[35.5, 33.6]",69322,0,,,,1.944617,,Right Foot,,,"[28.4, 51.7]",,Low Pass,,19.442736,,,,Álvaro González Soberón,6762.0,,,,,,,1,From Kick Off,Marcos Gullón Ferrera,26787.0,Left Defensive Midfield,2,Racing Santander,1217,['f683d3be-71df-4962-9e4c-5c1851179660'],4,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:04.914,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.6447,,,,,,,,,,,,,,,28c6eb72-6b29-4c21-beec-2ffa59339809,13,,,"[27.7, 55.3]",69322,0,,,,0.16697016,,Right Foot,,,"[63.3, 61.3]",,Low Pass,,36.102077,,Incomplete,,Manuel Jesús Arana Rodríguez,26665.0,,,,,,,1,From Kick Off,Álvaro González Soberón,6762.0,Right Center Back,2,Racing Santander,1217,"['2cfffc45-adad-4c5f-8cfa-5ee8d5ea2ee2', 'c3394fb7-5db6-433c-80e9-50da5e65c050', 'd675f21f-52fc-4978-a9f3-7884dc4a1073']",7,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:07.900,Pass,True,2011/2012
