ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,823355af-8a7c-4384-b86e-c739c2e515f4,1,,,69325,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mallorca,1043,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 26146, 'name': 'Dudú Aouate'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26653, 'name': 'José Manuel Flores Moreno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 25992, 'name': 'José Carlos de Araújo Nunes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 6778, 'name': 'Iván Ramis Barrios'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 26789, 'name': 'Pablo Domingo Cáceres Rodríguez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 25948, 'name': 'Jose Luis Martí Soler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 19431, 'name': 'Fernando Damián Tissone'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 26671, 'name': 'Michaël Pereira'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 6740, 'name': 'Gonzalo Castro Irizábal'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 24053, 'name': 'Álvaro Giménez Candela'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 30}, {'player': {'id': 23791, 'name': 'Víctor Casadesús Castaño'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",Mallorca,1043,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,82d8e5ec-06ab-4b9e-949a-3350300733d6,2,,,69325,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mallorca,1043,,0,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 17}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 8}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,18234da8-d75b-457f-8105-fd6b27d41ec1,3,,,69325,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mallorca,1043,['20ad62f0-86da-46b5-ba25-aed95235d8fa'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,20ad62f0-86da-46b5-ba25-aed95235d8fa,4,,,69325,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mallorca,1043,['18234da8-d75b-457f-8105-fd6b27d41ec1'],0,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1e3e72a6-daba-472c-ba7c-4f0c5fc0388c,1834,,,69325,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Barcelona,217,['ffe344cd-c91b-4b4c-bb5e-07cc12c571a9'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ffe344cd-c91b-4b4c-bb5e-07cc12c571a9,1835,,,69325,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Barcelona,217,['1e3e72a6-daba-472c-ba7c-4f0c5fc0388c'],0,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,0.364122,,,,,,,,,,,,,d4992aca-8e00-4aae-9c20-19000629959c,5,,"[60.0, 40.0]",69325,0,,,,,-1.8925469,,Right Foot,,,,"[59.4, 38.2]",Ground Pass,,1.8973666,,,,,Víctor Casadesús Castaño,23791.0,,,,,Kick Off,1,From Kick Off,Álvaro Giménez Candela,24053.0,Right Center Forward,2,Mallorca,1043,['a326407e-0443-42a8-b7bf-0e6c59855705'],0,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:00.823,Pass,,2011/2012
,,,,,,,,,,,,,,2.0744,,,,,,,,,,,,,864deecf-9b20-4899-be27-fc00a4b21a9f,8,,"[62.6, 35.4]",69325,0,,,,,-1.4400585,,Right Foot,,,,"[66.4, 6.5]",Ground Pass,,29.148756,,,,,Gonzalo Castro Irizábal,6740.0,,,,,,1,From Kick Off,Víctor Casadesús Castaño,23791.0,Left Center Forward,2,Mallorca,1043,['f5ab8dbc-e4f8-4dae-8c3e-e9866c90489d'],1,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:01.806,Pass,,2011/2012
,,,,,,,,,,,,,,5.7372,,,,,,,,,,,,,bbda3bab-5ee0-4753-8d36-5ab2574262fe,12,,"[83.6, 3.6]",69325,0,,,,,1.2123489,,Left Foot,,,,"[109.0, 71.4]",High Pass,,72.40166,,,,,Michaël Pereira,26671.0,,True,,,,1,From Kick Off,Gonzalo Castro Irizábal,6740.0,Left Midfield,2,Mallorca,1043,"['0ef4c86d-4974-424e-85e0-fa861471da53', 'ce30edbd-50a8-47cd-ab5f-98971bcc570a']",7,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:07.418,Pass,True,2011/2012
,,,,,,,,,,,,,,0.1437,,,,,,,,,,,,,de9d5071-66ed-4ea0-9680-07a529fa6d8f,16,,"[111.3, 72.8]",69325,0,,,,,-1.3315648,,Right Foot,,,,"[112.3, 68.7]",Low Pass,,4.2201896,,,Incomplete,,,,,,,,,1,From Kick Off,Michaël Pereira,26671.0,Right Midfield,2,Mallorca,1043,"['5f718f7f-f78d-4eef-8f15-2387669ed521', '82485233-7d5e-4e6a-ba3c-af6c0a12a3be']",19,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:19.169,Pass,True,2011/2012
