50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4b507e34-f89c-4a96-aab6-e976b6e06e8a,1,,,,69326,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 25946, 'name': 'Andrés Palop Cervera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6675, 'name': 'Antonio Manuel Luna Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 26791, 'name': 'Emir Spahić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 26018, 'name': 'Julien Escudé'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 6913, 'name': 'Fernando Navarro i Corbacho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6821, 'name': 'Jesús Navas González'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 16453, 'name': 'Gary Alexis Medel Soto'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 23816, 'name': 'José Antonio Reyes Calderón'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 25960, 'name': 'Frédéric Oumar Kanouté'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 12}, {'player': {'id': 24507, 'name': 'Manuel del Moral Fernández'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Sevilla,213,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f5517fc0-7c21-4206-bfc3-d63e7bdc7f01,2,,,,69326,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,db69702c-1cb4-45e5-b95c-4df11772fb99,3,,,,69326,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['4cdc6466-2153-4dbe-a4ee-67509a81543d'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4cdc6466-2153-4dbe-a4ee-67509a81543d,4,,,,69326,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['db69702c-1cb4-45e5-b95c-4df11772fb99'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5e7bd6c5-0311-4dba-8085-98dc2641964b,2133,,,,69326,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,118,Barcelona,217,['fd6e1626-c587-47df-beeb-02bef2c30c2a'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fd6e1626-c587-47df-beeb-02bef2c30c2a,2134,,,,69326,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,118,Barcelona,217,['5e7bd6c5-0311-4dba-8085-98dc2641964b'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,0.5813,,,,,,,,,,,,38d58581-3e7b-4bf3-ba3f-eb7d6b45aebf,5,,,"[60.0, 40.0]",69326,0,,,,-0.4636476,,Right Foot,,,"[60.6, 39.7]",,Ground Pass,,0.6708204,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Right Center Midfield,2,Barcelona,217,['670355bd-01a0-4e9e-87f9-64f48ea061c6'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.932,Pass,,2011/2012
,,,,,,,,,,,,,,,1.1775,,,,,,,,,,,,8a891463-991d-42d7-8a26-111e33aeddc0,8,,,"[60.4, 40.7]",69326,0,,,,-2.8486803,,Right Foot,,,"[47.8, 36.9]",,Low Pass,,13.160547,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['d4e615ce-ea25-4fe6-b916-e16aecefacc4'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.541,Pass,,2011/2012
,,,,,,,,,,,,,,,1.6016,,,,,,,,,,,,54b53e85-2b24-49fa-a9e9-d068e7421c8a,11,,,"[47.8, 36.9]",69326,0,,,,1.7041985,,Left Foot,,,"[44.7, 60.0]",,Ground Pass,,23.307081,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['e09fcfd0-d6c5-49cd-bc00-27afb8773cc0'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.808,Pass,,2011/2012
,,,,,,,,,,,,,,,1.3285,,,,,,,,,,,,ee6b7bd7-8177-4dc9-ad84-0aafa9794d66,14,,,"[44.7, 60.0]",69326,0,,,,-1.2793396,,Right Foot,,,"[48.9, 46.0]",,Ground Pass,,14.616429,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['f93145b8-c203-4bf7-8dc7-81227d91e702'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.960,Pass,,2011/2012
