bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_success_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9beebf28-f9d9-47d5-8910-158c94af1741,1,,,69328,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6593, 'name': 'Martín Montoya Torralbo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 35}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0872b60f-d028-465a-bd0a-023c0b8494e4,2,,,69328,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20070, 'name': 'Luís Miguel Brito Garcia Monteiro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 3253, 'name': 'Adil Rami'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 26728, 'name': 'Alberto Facundo Costa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 20128, 'name': 'David Albelda Aliqués'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 18724, 'name': 'Sofiane Feghouli'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 17083, 'name': 'Jonas Gonçalves Oliveira'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 6763, 'name': 'Pablo Daniel Piatti'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 26009, 'name': 'Roberto Soldado Rillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Valencia,207,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,16a6f36b-c9c4-4694-8339-fbbfc40f19d5,3,,,69328,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['d848ed54-eb34-4550-9f13-689fc8425fa8'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d848ed54-eb34-4550-9f13-689fc8425fa8,4,,,69328,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['16a6f36b-c9c4-4694-8339-fbbfc40f19d5'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d4e4582a-1ddd-4d90-8c8b-d29f7d7a3606,1933,,,69328,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,Valencia,207,['dac45420-b584-4477-9714-60ed150a9e48'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dac45420-b584-4477-9714-60ed150a9e48,1934,,,69328,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,Valencia,207,['d4e4582a-1ddd-4d90-8c8b-d29f7d7a3606'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,,0.374411,,,,,,,,,,,,,,138e5c28-c3a0-4d89-a3b1-30308b35cbed,5,,"[61.0, 41.0]",69328,0,,,,,1.2220253,,Right Foot,,,"[62.6, 45.4]",,Ground Pass,,4.68188,,,,Roberto Soldado Rillo,26009.0,,,,,,Kick Off,1,From Kick Off,Jonas Gonçalves Oliveira,17083.0,Center Attacking Midfield,2,Valencia,207,['15ba5f38-a970-45f4-a577-3b3144a08010'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.041,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,0.990525,,,,,,,,,,,,,,c20a0f58-184b-4f51-a1a9-d25b72f67acf,8,,"[61.3, 44.1]",69328,0,,,,,-2.7660697,,Right Foot,,,"[50.9, 40.0]",,Ground Pass,,11.178998,,,,Alberto Facundo Costa,26728.0,,,,,,,1,From Kick Off,Roberto Soldado Rillo,26009.0,Center Forward,2,Valencia,207,['1c67b81e-b25d-4f5f-8a1d-09c4f1813051'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.455,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,1.825287,,,,,,,,,,,,,,bebcfb86-cb82-44fe-9ef4-f5ce330241db,11,,"[50.3, 40.0]",69328,0,,,,,-2.5899377,,Left Foot,,,"[29.5, 27.2]",,Ground Pass,,24.42294,,,,Víctor Ruíz Torre,6752.0,,,,,,,1,From Kick Off,Alberto Facundo Costa,26728.0,Right Center Midfield,2,Valencia,207,['f4027032-a074-490c-8b18-82275ee3cc87'],2,,,,,,,,,,,,,,,,,,Valencia,207,00:00:02.966,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,1.025683,,,,,,,,,,,,,,175cfc4f-361b-4e5f-8be6-e33411fcd047,14,,"[31.3, 27.7]",69328,0,,,,,1.597406,,Left Foot,,,"[30.6, 54.0]",,Ground Pass,,26.309315,,,,Adil Rami,3253.0,,,,,,,1,From Kick Off,Víctor Ruíz Torre,6752.0,Left Center Back,2,Valencia,207,['0ab4ed53-2fe9-4242-b5d3-68e379195825'],5,,,,,,,,,,,,,,,,,,Valencia,207,00:00:05.767,Pass,,2011/2012
