bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3226243d-22f6-487a-9135-6c8a5b58715d,1,,,69329,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,205adcc7-e039-4455-8899-844c5c192df5,2,,,69329,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26753, 'name': 'Javier Varas Herrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 5248, 'name': 'José Martín Cáceres Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 6349, 'name': 'Federico Julián Fazio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 26018, 'name': 'Julien Escudé'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 6913, 'name': 'Fernando Navarro i Corbacho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 16453, 'name': 'Gary Alexis Medel Soto'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6688, 'name': 'José Ángel Gómez Campaña'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 6821, 'name': 'Jesús Navas González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 26790, 'name': 'Piotr Trochowski'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 26611, 'name': 'Emiliano Daniel Armenteros'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 24507, 'name': 'Manuel del Moral Fernández'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Sevilla,213,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4860fe2f-791d-4ba9-b137-41d1367f46e5,3,,,69329,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['157a7590-3977-4878-a832-2dcd34cf68c8'],0,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,157a7590-3977-4878-a832-2dcd34cf68c8,4,,,69329,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['4860fe2f-791d-4ba9-b137-41d1367f46e5'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,f913d368-e9c0-43fc-ad2e-306b4593da84,2105,,,69329,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,103,Sevilla,213,['4fea1df3-b2a4-400d-9568-c1f55cf4c337'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4fea1df3-b2a4-400d-9568-c1f55cf4c337,2106,,,69329,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,103,Sevilla,213,['f913d368-e9c0-43fc-ad2e-306b4593da84'],0,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,0.737267,,,,,,,,,,,,,,,,,f6004003-f5da-4a99-9599-d0cf9f3fb20d,5,,"[60.0, 40.0]",69329,0,,,,0.9723774,,Right Foot,,,,"[61.5, 42.2]",Ground Pass,,2.6627054,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Kick Off,1,From Kick Off,David Villa Sánchez,12737.0,Right Wing,2,Barcelona,217,['b0f57b8f-8e20-4765-86b7-f11fb939b8e1'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.792,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.530496,,,,,,,,,,,,,,,,,082fe1d4-1907-4879-b575-424c9cf42c3a,7,,"[61.0, 42.4]",69329,0,,,,-2.7129712,,Left Foot,,,,"[45.9, 35.5]",Ground Pass,,16.601807,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['0aa5d8d8-c8ee-4905-8a29-c282d335ecaf'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.529,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.921952,,,,,,,,,,,,,,,,,561abd14-cd2b-431d-8366-02e19e0a1e12,10,,"[44.4, 34.0]",69329,0,,,,-1.8541043,,Right Foot,,,,"[39.8, 18.2]",Ground Pass,,16.456001,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Left Center Midfield,2,Barcelona,217,['50f29ab6-9789-42a7-a2d5-6c9aad450481'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.517,Pass,,2011/2012
,,,,,,,,,,,,,,,,2.002425,,,,,,,,,,,,,,,,,8b7a0fdc-61f0-4373-a761-a7068e5d6856,14,,"[40.2, 19.3]",69329,0,,,,1.8629698,,Left Foot,,,,"[32.5, 44.9]",Low Pass,,26.732939,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,2,Barcelona,217,['f1e43541-a1b4-45fc-b9b2-46b872cd6aa0'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.631,Pass,,2011/2012
