ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,39903899-98c7-47c0-81e3-96fd5ee3cc2b,1,,,69331,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 26776, 'name': 'Juan Isaac Cuenca López'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6e3c25b8-4f28-4302-8659-7bc9989db22e,2,,,69331,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6571, 'name': 'Roberto Jiménez Gago'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16268, 'name': 'Efraín Juárez Váldez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 26715, 'name': 'Maurizio Lanzaro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 26798, 'name': 'David Mateos Ramajo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 26429, 'name': 'Javier Paredes Arango'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 20264, 'name': 'Fernando José da Silva Freitas Meira'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 25922, 'name': 'Leonardo Daniel Ponzio'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 26796, 'name': 'Pablo Edson Barrera Acosta'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 23916, 'name': 'Luis García Fernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 6559, 'name': 'Juan Carlos Pérez López'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 20011, 'name': 'Hélder Manuel Marques Postiga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Zaragoza,395,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e2a97432-638b-404c-9623-480840c7a376,3,,,69331,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['a753eb68-77d8-4521-9e6e-fe578170d5b4'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a753eb68-77d8-4521-9e6e-fe578170d5b4,4,,,69331,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['e2a97432-638b-404c-9623-480840c7a376'],0,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6498e6ed-4387-4f13-8968-ca29c0a81fc2,1807,,,69331,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,93,Real Zaragoza,395,['18fa0185-e19c-4112-b8d3-08a7fafbe7d5'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,18fa0185-e19c-4112-b8d3-08a7fafbe7d5,1808,,,69331,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,93,Real Zaragoza,395,['6498e6ed-4387-4f13-8968-ca29c0a81fc2'],0,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,0.729,,,,,,,,,,,,,1cfacd39-1698-42de-bcde-b82227c07d09,5,,"[61.0, 41.0]",69331,0,,,,,1.82812,,Right Foot,,,,"[60.0, 44.8]",,Ground Pass,,3.9293766,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,2,Barcelona,217,['d646978d-b63d-4ba3-9288-bc8b8ec059f2'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.744,Pass,,2011/2012
,,,,,,,,,,,,,,1.1393,,,,,,,,,,,,,58e11bbd-f4e4-4b5d-a8ee-d5df3d295030,7,,"[60.0, 44.6]",69331,0,,,,,-2.3561945,,Right Foot,,,,"[50.9, 35.5]",,Ground Pass,,12.869344,,,,Seydou Kéita,20169.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['fb5c5e5e-910c-4318-881e-c9a82a19ba43'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.473,Pass,,2011/2012
,,,,,,,,,,,,,,1.6194,,,,,,,,,,,,,4c2a5ebc-7c8f-411d-bb47-bec0289b8b91,10,,"[49.4, 39.1]",69331,0,,,,,2.3598576,,Left Foot,,,,"[35.7, 52.7]",,Ground Pass,,19.304144,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Seydou Kéita,20169.0,Center Defensive Midfield,2,Barcelona,217,['00190865-4cdb-4e67-94a8-31c63ffcd77e'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.047,Pass,,2011/2012
,,,,,,,,,,,,,,1.557225,,,,,,,,,,,,,7812e299-18c7-46c2-9375-7d30ac6209e0,13,,"[35.2, 53.1]",69331,0,,,,,-1.6205065,,Right Foot,,,,"[34.2, 33.0]",,Ground Pass,,20.12486,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['d30fb941-5499-4527-b472-90efdcc33f90'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.495,Pass,,2011/2012
