50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,55eafd48-6c43-4ad2-922c-0f8cecb5cc21,1,,,69332,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,26c9b9f1-9df8-46ed-82cb-1f0ce4401138,2,,,69332,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26438, 'name': 'David Cobeño Iglesias'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26803, 'name': 'Pedro Roberto Silva Botelho'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 26800, 'name': 'Mikel Labaka Zurriarain'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6869, 'name': 'Alejandro Arribas Garrido'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 26801, 'name': 'Jordi Figueras Montel'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 25920, 'name': 'Jose María Movilla Cubero'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 26802, 'name': 'Miguel Ángel Sánchez Muñoz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 26804, 'name': 'Miguel Pérez Cuesta'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 26612, 'name': 'José Manuel Casado Bizcocho'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 3}, {'player': {'id': 23761, 'name': 'Alhassane Bangoura'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Rayo Vallecano,360,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6ca072af-a2ba-4e9f-becf-8b1239e1b2ff,3,,,69332,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['b39b2ec1-e20e-4855-9af6-30cde94b752d'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b39b2ec1-e20e-4855-9af6-30cde94b752d,4,,,69332,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['6ca072af-a2ba-4e9f-becf-8b1239e1b2ff'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8bc7aeac-be0b-428c-80e9-06a856ac0433,1674,,,69332,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,113,Barcelona,217,['c7afe832-cffd-42c2-90c8-c2d1f2ff20f4'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c7afe832-cffd-42c2-90c8-c2d1f2ff20f4,1675,,,69332,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,113,Barcelona,217,['8bc7aeac-be0b-428c-80e9-06a856ac0433'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,0.471268,,,,,,,,,,,,,,c18e84d5-92c6-434b-b133-ab18a9c11268,5,,"[61.0, 41.0]",69332,0,,,,,-1.5707964,,Left Foot,,,"[61.0, 38.1]",,Ground Pass,,2.9,,,,Miguel Pérez Cuesta,26804.0,,,,,Kick Off,1,From Kick Off,Alhassane Bangoura,23761.0,Center Forward,2,Rayo Vallecano,360,['6e703999-66fd-4a18-8f36-19a41343b36d'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.484,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.2084,,,,,,,,,,,,,,f36e0e0f-77ff-4d29-b215-7086ec75ebfc,8,,"[61.2, 38.1]",69332,0,,,,,1.6352232,,Right Foot,,,"[61.0, 41.2]",,Ground Pass,,3.1064448,,,,Alhassane Bangoura,23761.0,,,,,,1,From Kick Off,Miguel Pérez Cuesta,26804.0,Center Attacking Midfield,2,Rayo Vallecano,360,['bc7ffb5a-2583-47c3-850d-a0e54809dd35'],1,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:01.210,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.890238,,,,,,,,,,,,,,3ffedf68-3c8c-4398-bab9-f66eb6c58452,11,,"[61.0, 41.2]",69332,0,,,,,-3.0940096,,Right Foot,,,"[46.3, 40.5]",,Ground Pass,,14.716658,,,,Javier Fuego Martínez,6751.0,,,,,,1,From Kick Off,Alhassane Bangoura,23761.0,Center Forward,2,Rayo Vallecano,360,['6afb877d-971b-4e4d-b2fe-08c1d9bc3ad0'],1,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:01.498,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.205272,,,,,,,,,,,,,,7f1d3840-c001-4d06-b804-78161fa9668c,15,,"[48.9, 41.4]",69332,0,,,,,1.5372518,,Right Foot,,,"[49.9, 71.2]",,Ground Pass,,29.816774,,,,Pedro Roberto Silva Botelho,26803.0,,,,,,1,From Kick Off,Javier Fuego Martínez,6751.0,Left Defensive Midfield,2,Rayo Vallecano,360,"['2606f948-af6e-431c-ad1a-884078d880da', 'b8130d24-34ca-483d-9c46-7754ef70eda4']",4,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:04.402,Pass,True,2011/2012
