50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8897c92f-d30f-4bcf-aeef-9b193208f129,1,,,69333,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 26776, 'name': 'Juan Isaac Cuenca López'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 23}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 9}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,84267653-177f-484a-9be0-ae664e96adef,2,,,69333,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 26221, 'name': 'Gustavo Adolfo Munúa Vera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25937, 'name': 'Javier Rodríguez Venta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 26444, 'name': 'Sergio Martínez Ballesteros'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 26398, 'name': 'Asier del Horno Cosgaya'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 26023, 'name': 'Juan Francisco García García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 24162, 'name': 'Xavier Torres Buigues'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6787, 'name': 'Pedro López Muñoz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 25998, 'name': 'Francisco Javier Farinós Zapata'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3497, 'name': 'Vicente Iborra De La Fuente'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 25872, 'name': 'Valmiro Lópes Rocha'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 26696, 'name': 'Arouna Koné'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 2}]}",Levante UD,221,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7b646c3e-9fd0-49ec-9d30-fc6791ad5dc9,3,,,69333,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['0509661c-f2aa-4d91-9dc5-2a157e76edba'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0509661c-f2aa-4d91-9dc5-2a157e76edba,4,,,69333,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['7b646c3e-9fd0-49ec-9d30-fc6791ad5dc9'],0,,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,209fc78e-061e-4fa6-b200-7cc0f6287836,1916,,,69333,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,92,Levante UD,221,['3f487296-07cf-4f4f-a4a5-15d9a189bd80'],0,,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3f487296-07cf-4f4f-a4a5-15d9a189bd80,1917,,,69333,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,92,Levante UD,221,['209fc78e-061e-4fa6-b200-7cc0f6287836'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,0.242815,,,,,,,,,,,,59d6c894-3394-472c-8798-9e5cc5b1da63,5,,"[61.0, 41.0]",69333,0,,True,,,1.3909428,,Right Foot,,,"[61.2, 42.1]",,Ground Pass,,1.118034,,,Arouna Koné,26696.0,,,,,Kick Off,1,From Kick Off,Vicente Iborra De La Fuente,3497.0,Left Center Midfield,2,Levante UD,221,['89fdcca4-eb14-48ff-8d5e-8344172e028e'],0,,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.259,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.168898,,,,,,,,,,,,fa534e04-d860-42b5-a5e2-1363d3107b6b,7,,"[61.1, 43.4]",69333,0,,,,,-2.5274332,,Right Foot,,,"[45.5, 32.4]",,Ground Pass,,19.088217,,,Xavier Torres Buigues,24162.0,,,,,,1,From Kick Off,Arouna Koné,26696.0,Center Forward,2,Levante UD,221,['80c4816d-e810-4ffa-bd27-1d85696607e4'],0,,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.810,Pass,,2011/2012
,,,,,,,,,,,,,,,,,5.480663,,,,,,,,,,,,c5b92943-152b-4cd9-b344-083c718200cd,10,,"[47.7, 34.6]",69333,0,,,,,-0.4469633,,Right Foot,,,"[117.8, 1.0]",,High Pass,,77.73654,Out,,,,,,,,,1,From Kick Off,Xavier Torres Buigues,24162.0,Center Defensive Midfield,2,Levante UD,221,,3,,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:03.218,Pass,,2011/2012
,,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,4b348592-55a3-42f4-8c29-f04a24c04bb7,11,,"[3.2, 80.0]",69333,0,,,,,-0.5989113,,,,,"[9.5, 75.7]",,Low Pass,,7.6275816,,,Xavier Hernández Creus,20131.0,,,,,Throw-in,1,From Throw In,Javier Alejandro Mascherano,5506.0,Right Center Back,3,Barcelona,217,['bdc49c68-a3d2-4e8f-9320-275439478625'],15,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.676,Pass,,2011/2012
