50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2f4129c3-ca11-4396-a350-22a261f6ae39,1,,,69334,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 11179, 'name': 'Iker Casillas Fernández'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19047, 'name': 'Fábio Alexandre da Silva Coentrão'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 3181, 'name': 'Lassana Diarra'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 20133, 'name': 'Xabier Alonso Olano'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Madrid,220,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a57c9336-1cca-4b95-ae8e-3131007abef3,2,,,69334,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 4}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bcbb3e06-b85e-4135-ad0c-2d6e7f0978ae,3,,,69334,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['bc92dc29-2b38-4074-861e-93e926d4e301'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bc92dc29-2b38-4074-861e-93e926d4e301,4,,,69334,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['bcbb3e06-b85e-4135-ad0c-2d6e7f0978ae'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,40f8ea6f-f00f-470e-97c0-d7d91b58f898,1980,,,69334,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,105,Barcelona,217,['a419f8e3-cde2-4706-a044-2650562be771'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a419f8e3-cde2-4706-a044-2650562be771,1981,,,69334,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,105,Barcelona,217,['40f8ea6f-f00f-470e-97c0-d7d91b58f898'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,,,0.283723,,,,,,,,,,,,,374f57da-a4ea-4a55-95e2-ed36cca10c73,5,,"[61.0, 41.0]",69334,0,,,,1.8045396,,Right Foot,,,"[60.5, 43.1]",,Ground Pass,,2.1587033,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Alexis Alejandro Sánchez Sánchez,3385.0,Left Wing,2,Barcelona,217,['1faaf209-37ef-45ac-b5b9-a31b6c245903'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.868,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,,1.558362,,,,,,,,,,,,,b244cfb5-2ec1-49ab-aec9-ecac764a6698,8,,"[60.5, 43.1]",69334,0,,,,-2.6556647,,Right Foot,,,"[46.3, 35.6]",,Ground Pass,,16.058954,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['8bcd28ee-b573-4f35-b833-53fbc3aac4c7'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.165,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,,1.162733,,,,,,,,,,,,,fd0b6f12-3744-41c5-b925-1e9c64a124bf,11,,"[41.9, 35.1]",69334,0,,,,1.947378,,Right Foot,,,"[33.2, 57.1]",,Ground Pass,,23.657768,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['a7164e7f-00a3-4db7-b80b-24191d8da5e6'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.036,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,,0.97236,,,,,,,,,,,,,2d863148-c063-446b-9fb3-48b609a9623c,14,,"[33.2, 57.1]",69334,0,,,,-1.8123118,,Right Foot,,,"[26.5, 29.9]",,Ground Pass,,28.013033,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['3ae7c76b-e075-4c0d-97ea-28e0be64672e'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.544,Pass,,2011/2012
