bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,26219a67-30e2-4644-abe0-b298d88d1236,1,,,,69338,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6768, 'name': 'Diego López Rodríguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 25984, 'name': 'Ángel Domingo López Ruano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 7034, 'name': 'Mateo Pablo Musacchio'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 26721, 'name': 'Joan Oriol i Gràcia'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 22819, 'name': 'Bruno Soriano Llido'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 20135, 'name': 'Marcos Antonio Senna da Silva'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 25921, 'name': 'Rubén Gracia Calmache'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 6997, 'name': 'Borja Valero Iglesias'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 24068, 'name': 'José Luis Moreno Barroso'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 41}, {'player': {'id': 25426, 'name': 'Marco Gastón Ruben Rodríguez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Villarreal,222,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d5d954ac-1589-4d69-a91a-9da1f8dc17b2,2,,,,69338,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 21}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5cb6b224-7801-4354-802f-3f6c0bdd2f67,3,,,,69338,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['2f407b0c-43ea-48c7-b0da-ef153d9f3f86'],0,,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2f407b0c-43ea-48c7-b0da-ef153d9f3f86,4,,,,69338,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['5cb6b224-7801-4354-802f-3f6c0bdd2f67'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8c8f63eb-c3f7-4b49-8cec-0e11ec8f7a72,1952,,,,69338,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,117,Villarreal,222,['603bdff0-c727-47d5-a1ef-b1316d98fd13'],0,,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,603bdff0-c727-47d5-a1ef-b1316d98fd13,1953,,,,69338,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,117,Villarreal,222,['8c8f63eb-c3f7-4b49-8cec-0e11ec8f7a72'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,0.5935,,,,,,,,,,,,,14fd9ee7-bbd3-4b4a-8889-b44ffc058f3f,5,,,"[60.0, 40.0]",69338,0,True,,,1.2120256,,Right Foot,,,,"[60.6, 41.6]",Ground Pass,,1.7088008,,,,Francesc Fàbregas i Soler,3478.0,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['216c9cea-7fad-4683-b23b-c07a11b07cbf'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.680,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.484651,,,,,,,,,,,,,1643f16e-246e-4821-bf5a-da6110afe786,7,,,"[60.6, 41.6]",69338,0,,,,3.1415927,,Left Foot,,,,"[45.5, 41.6]",Ground Pass,,15.1,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,2,Barcelona,217,['067e03a9-79b1-4eed-82f3-f3a06e7750b3'],1,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.273,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.254574,,,,,,,,,,,,,3ec6047c-401b-41a3-ba09-aa475a4c1add,10,,,"[45.5, 41.6]",69338,0,,,,1.5791644,,Right Foot,,,,"[45.3, 65.5]",Ground Pass,,23.900837,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Center Midfield,2,Barcelona,217,['64307496-1c92-4c5e-b0e7-995c3b5e051e'],3,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.683,Pass,,2011/2012
,,,,,,,,,,,,,,,,4.8504,,,,,,,,,,,,,7c3b49e5-936e-4eb9-bb62-5722370fa20d,14,,,"[49.0, 68.2]",69338,0,,,,0.08078333,,Right Foot,,,,"[115.7, 73.6]",High Pass,,66.918236,,Incomplete,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,"['8517717a-2dfb-4d5e-b2dc-24362bf58180', 'b5f3ad41-3031-4fa3-a694-ba8460757965', 'd6e3f32e-7b2e-4364-9986-a3c415b36d20']",7,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.670,Pass,True,2011/2012
