ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,95252216-0533-4952-a227-9fa4b298ccd1,1,,,69340,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 26005, 'name': 'José Manuel Pinto Colorado'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 26776, 'name': 'Juan Isaac Cuenca López'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,461fad9e-b712-405b-8ce5-4f2f99f9056e,2,,,69340,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 4788, 'name': 'Jesús Gámez Duarte'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6904, 'name': 'Sergio Sánchez Ortega'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 19288, 'name': 'Martín Gastón Demichelis'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 10798, 'name': 'Eliseu Pereira dos Santos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 8234, 'name': 'Ignacio Camacho Barnola'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6873, 'name': 'Francisco Portillo Soler'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 27}, {'player': {'id': 26809, 'name': 'Diego Mario Buonanotte Rende'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 25859, 'name': 'Sérgio Paulo Barbosa Valente'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 4041, 'name': 'José Salomón Rondón Giménez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Málaga,223,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bf0a7276-f7a2-4b83-b87e-d7a27f39ed3e,3,,,69340,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['82a822af-7a52-4514-b1c7-c833db4b52e9'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,82a822af-7a52-4514-b1c7-c833db4b52e9,4,,,69340,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['bf0a7276-f7a2-4b83-b87e-d7a27f39ed3e'],0,,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9c7ef765-906d-4df7-bd11-39410c13c823,2064,,,69340,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,89,Barcelona,217,['74961386-375d-4dc7-b11f-577107f8ea1b'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,74961386-375d-4dc7-b11f-577107f8ea1b,2065,,,69340,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,89,Barcelona,217,['9c7ef765-906d-4df7-bd11-39410c13c823'],0,,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,0.3066,,,,,,,,,,,,,,5d3dfdb0-580a-46e7-9b75-6310179085f6,5,,"[61.0, 41.0]",69340,0,,,,,-1.6092389,,Right Foot,,,,"[60.9, 38.4]",,Ground Pass,,2.6019223,,,Diego Mario Buonanotte Rende,26809.0,,,,,Kick Off,1,From Kick Off,José Salomón Rondón Giménez,4041.0,Center Forward,2,Málaga,223,['2458f05a-c119-4d21-9b7f-8e6a8e9ef3b6'],1,,,,,,,,,,,,,,,,,,Málaga,223,00:00:01.354,Pass,,2011/2012
,,,,,,,,,,,,,,0.908038,,,,,,,,,,,,,,37548415-4223-45eb-a0c7-00f6380f5bed,8,,"[60.3, 42.0]",69340,0,,,,,-3.0916343,,Left Foot,,,,"[50.3, 41.5]",,Ground Pass,,10.012492,,,Santiago Cazorla González,11386.0,,,,,,1,From Kick Off,Diego Mario Buonanotte Rende,26809.0,Right Center Midfield,2,Málaga,223,['668833e0-4aff-4e51-938c-2310122764bd'],1,,,,,,,,,,,,,,,,,,Málaga,223,00:00:01.781,Pass,,2011/2012
,,,,,,,,,,,,,,1.584218,,,,,,,,,,,,,,4ef51c16-e3dc-4b88-8f2c-6f4a99deff7a,11,,"[50.1, 43.8]",69340,0,,,,,1.744911,,Right Foot,,,,"[44.7, 74.5]",,Ground Pass,,31.1713,,,Jesús Gámez Duarte,4788.0,,,,,,1,From Kick Off,Santiago Cazorla González,11386.0,Left Center Midfield,2,Málaga,223,['1f3fb75b-3a83-4b4b-9133-f972751b8ff8'],5,,,,,,,,,,,,,,,,,,Málaga,223,00:00:05.049,Pass,,2011/2012
,,,,,,,,,,,,,,2.881509,,,,,,,,,,,,,,54ae987a-3ec4-449e-8beb-c26aa46dd2cb,14,,"[44.7, 74.5]",69340,0,,,,,0.20401798,,Right Foot,,,,"[70.8, 79.9]",,Ground Pass,,26.652767,Out,,Francisco Portillo Soler,6873.0,,,,,,1,From Kick Off,Jesús Gámez Duarte,4788.0,Right Back,2,Málaga,223,['e905dbe3-fa2f-4987-a4be-2e535a5405f7'],7,,,,,,,,,,,,,,,,,,Málaga,223,00:00:07.193,Pass,,2011/2012
