50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,9ee0f516-d2b8-4976-83e7-8ffed2d42ecb,1,,,70219,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Zaragoza,395,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6571, 'name': 'Roberto Jiménez Gago'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26837, 'name': 'Pablo Sebastián Valeira Álvarez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 26761, 'name': 'Paulo César Da Silva Barrios'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 26429, 'name': 'Javier Paredes Arango'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 23942, 'name': 'Abraham Minero Fernández'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 11161, 'name': 'Rúben Micael Freitas da Ressurreição'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 10815, 'name': 'Ádám Pintér'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 7701, 'name': 'Franco Zuculini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 26020, 'name': 'Ángel Lafita Castillo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 23651, 'name': 'Ivan Obradović'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 24}, {'player': {'id': 26522, 'name': 'Carlos Reina Aranda'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Real Zaragoza,395,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,c2078fe7-69cc-43ed-ad38-c177cc8f3dc9,2,,,70219,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Zaragoza,395,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,bae7f9e9-5875-4a4c-bf97-abf957c6c664,3,,,70219,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Zaragoza,395,['043f3ca4-44d9-4fea-b32d-51321cbf7c5c'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,043f3ca4-44d9-4fea-b32d-51321cbf7c5c,4,,,70219,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Zaragoza,395,['bae7f9e9-5875-4a4c-bf97-abf957c6c664'],0,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,ec85001b-d78e-407e-ae0d-48e686c89bcc,1677,,,70219,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,Barcelona,217,['d1558ce5-5141-48e2-9098-b12efc0c897e'],0,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,d1558ce5-5141-48e2-9098-b12efc0c897e,1678,,,70219,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,Barcelona,217,['ec85001b-d78e-407e-ae0d-48e686c89bcc'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,1.318016,,,,,,,,,,,,,,,,2a3f773f-98e5-4bb1-8067-a68609b961dc,5,,"[60.0, 40.0]",70219,0,,,,,-3.068278,,Right Foot,,,,"[42.3, 38.7]",,Ground Pass,,17.747677,,,,Javier Paredes Arango,26429.0,,,,,,Kick Off,1,From Kick Off,Rúben Micael Freitas da Ressurreição,11161.0,Right Defensive Midfield,2,Real Zaragoza,395,['51b97365-dac2-4fa4-a6c2-b48769880df5'],1,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:01.620,Pass,,2011/2012
,,,,,,,,,,,,,,,,3.0391,,,,,,,,,,,,,,,,bd187b17-1a3f-4413-9772-3195255b0bb6,8,,"[40.1, 37.1]",70219,0,,,,,0.5336266,,Left Foot,,,,"[81.4, 61.5]",,High Pass,,47.96926,,Incomplete,,,,,,,,,,1,From Kick Off,Javier Paredes Arango,26429.0,Left Center Back,2,Real Zaragoza,395,['4052edbf-94fc-4d8f-a7e1-e08244199610'],4,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:04.865,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.7652,,,,,,,,,,,,,,,,0a22e34a-d359-4ed2-85c1-8c103805dbaa,11,,"[67.8, 54.2]",70219,0,,,,,0.75762755,,Right Foot,,,,"[71.5, 57.7]",,Ground Pass,,5.0931325,,,,Franco Zuculini,7701.0,,,,,,Recovery,1,From Kick Off,Rúben Micael Freitas da Ressurreição,11161.0,Right Defensive Midfield,2,Real Zaragoza,395,['b342781e-06ee-4d1f-aed4-448e851182bb'],9,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:09.202,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.633071,,,,,,,,,,,,,,,,621c9d26-d431-4041-b198-fef7b115b91d,14,,"[71.5, 57.7]",70219,0,,,,,-2.306236,,Right Foot,,,,"[65.8, 51.4]",,Ground Pass,,8.495881,,,,Ángel Lafita Castillo,26020.0,,,,,,,1,From Kick Off,Franco Zuculini,7701.0,Right Wing,2,Real Zaragoza,395,"['303bd3cc-e020-49ca-8653-39d722577fc5', 'f7906c35-81a8-4958-81fe-5abd5121e079']",9,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:09.968,Pass,True,2011/2012
