bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,38be9185-792f-43ce-ab86-722a0df77817,1,,,70256,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,,0,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 26753, 'name': 'Javier Varas Herrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 26701, 'name': 'Vadim Demidov'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 27054, 'name': 'Roberto Lago Soto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 27056, 'name': 'Ignacio Insa Bohigues'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 25986, 'name': 'Borja Oubiña Meléndez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 19668, 'name': 'Augusto Matías Fernández'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 24}, {'player': {'id': 20088, 'name': 'Danijel Pranjić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 27055, 'name': 'Chu-Young Park'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Celta Vigo,209,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,570d6481-d0c1-438c-a658-e0b6e143e676,2,,,70256,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 26005, 'name': 'José Manuel Pinto Colorado'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7068, 'name': 'Marc Bartra Aregall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6593, 'name': 'Martín Montoya Torralbo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 27053, 'name': 'Alexandre Dimitri Song-Billong'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 6658, 'name': 'Cristian Tello Herrera'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 37}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,635c47e3-28c6-444b-841a-e02c4799bbcf,3,,,70256,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,['88614f5b-f75c-4f5b-a6ad-5ad771d43a74'],0,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,88614f5b-f75c-4f5b-a6ad-5ad771d43a74,4,,,70256,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,['635c47e3-28c6-444b-841a-e02c4799bbcf'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c7cdbebf-c219-4674-bf93-3a62239c72c9,1638,,,70256,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,85,Celta Vigo,209,['80526785-0b11-4122-ae90-6686d8a54d49'],0,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,80526785-0b11-4122-ae90-6686d8a54d49,1639,,,70256,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,85,Celta Vigo,209,['c7cdbebf-c219-4674-bf93-3a62239c72c9'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,,0.6574,,,,,,,,,,,,,8e94bb8d-8265-4ad0-9c24-96b033220c95,5,,"[60.0, 40.0]",70256,0,,,,1.9614034,,Left Foot,,,,"[59.3, 41.7]",,Ground Pass,,1.8384776,,,,Francesc Fàbregas i Soler,3478.0,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['6ec28477-9a3a-4c1e-ad72-ed218e3bad36'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.817,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,1.208968,,,,,,,,,,,,,e789f075-4459-4dc7-b192-fef84a8ba5a8,8,,"[59.8, 41.5]",70256,0,,,,-2.454775,,Right Foot,,,,"[49.8, 33.3]",,Ground Pass,,12.932131,,,,Alexandre Dimitri Song-Billong,27053.0,,,,,,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,2,Barcelona,217,['f2716151-6878-478e-8c6c-0d07be8f17ed'],1,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.514,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,1.642996,,,,,,,,,,,,,708304a1-469d-465f-94c8-4eb4791f2883,11,,"[47.6, 31.9]",70256,0,,,,2.0422564,,Right Foot,,,,"[34.6, 57.4]",,Ground Pass,,28.622543,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Alexandre Dimitri Song-Billong,27053.0,Center Defensive Midfield,2,Barcelona,217,['d32d3e13-f569-47b2-8e6f-41b80c191b3f'],3,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.947,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,0.889048,,,,,,,,,,,,,358240e6-c9ee-4aaf-8876-1c6fff2fcc2a,14,,"[35.3, 54.8]",70256,0,,,,-0.17404523,,Right Foot,,,,"[44.4, 53.2]",,Ground Pass,,9.239589,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['d833b0ee-f889-412a-914d-6c280549ad1a'],6,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.549,Pass,,2012/2013
