bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,02d349af-5cb0-45ad-bf15-dbb6df014432,1,,,70262,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Osasuna,422,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8697, 'name': 'Andrés Eduardo Fernández Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26807, 'name': 'Marc Bertrán Vilanova'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6869, 'name': 'Alejandro Arribas Garrido'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 24313, 'name': 'Miguel Flaño Bezunartea'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 25896, 'name': 'Damià Abella Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 25874, 'name': 'Francisco Puñal Martínez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 27089, 'name': 'Raoul Cédric Loé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 26723, 'name': 'Álvaro Cejudo Carmona'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 26189, 'name': 'Sisinio González Martínez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 16718, 'name': 'Roland Conde Lamah'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 26191, 'name': 'Joseba Llorente Etxarri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Osasuna,422,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7cf15226-a07a-46db-b771-1b5773cf20cb,2,,,70262,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Osasuna,422,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 6658, 'name': 'Cristian Tello Herrera'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 37}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ccf77ad7-266f-4c07-a512-4b873e56e34f,3,,,70262,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Osasuna,422,['2894e173-d371-4e10-8bfc-34cc01e5e063'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2894e173-d371-4e10-8bfc-34cc01e5e063,4,,,70262,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Osasuna,422,['ccf77ad7-266f-4c07-a512-4b873e56e34f'],0,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bcb9746a-569d-46ef-80ea-8d9f183b8b8d,1685,,,70262,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,118,Osasuna,422,['05699c3b-5737-44b0-9f79-c73e1636ed9f'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,05699c3b-5737-44b0-9f79-c73e1636ed9f,1686,,,70262,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,118,Osasuna,422,['bcb9746a-569d-46ef-80ea-8d9f183b8b8d'],0,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,0.822741,,,,,,,,,,,,,4252bc43-48ec-4b0d-9773-b955b807ab35,5,,"[60.0, 40.0]",70262,0,,,,,1.5707964,,Right Foot,,,"[60.0, 42.2]",,Ground Pass,,2.2,,,Sisinio González Martínez,26189.0,,,,,Kick Off,1,From Kick Off,Joseba Llorente Etxarri,26191.0,Center Forward,2,Osasuna,422,['ea30d8dd-3494-4e8b-a143-36cf0b24128c'],1,,,,,,,,,,,,,,,,Osasuna,422,00:00:01.122,Pass,,2012/2013
,,,,,,,,,,,,,,,1.1466,,,,,,,,,,,,,3812284d-6b8d-4a83-892a-fc09f0227cd9,7,,"[59.5, 39.3]",70262,0,,,,,-3.1151087,,Right Foot,,,"[44.4, 38.9]",,Ground Pass,,15.105297,,,Francisco Puñal Martínez,25874.0,,,,,,1,From Kick Off,Sisinio González Martínez,26189.0,Center Attacking Midfield,2,Osasuna,422,['581fdd7c-6856-4ed5-9087-b835ae7b01c0'],1,,,,,,,,,,,,,,,,Osasuna,422,00:00:01.945,Pass,,2012/2013
,,,,,,,,,,,,,,,6.524711,,,,,,,,,,,,,a2efadd3-608c-41de-9f84-c1c2ce5204b9,10,,"[44.6, 38.3]",70262,0,,,,,-0.5247354,,Right Foot,,,"[109.9, 0.5]",,High Pass,,75.45151,Out,,,,,,,,,1,From Kick Off,Francisco Puñal Martínez,25874.0,Right Defensive Midfield,2,Osasuna,422,,4,,,,,,,,,,,,,,,,Osasuna,422,00:00:04.447,Pass,,2012/2013
,,,,,,,,,,,,,,,1.246058,,,,,,,,,,,,,666e5d91-2bad-4c09-bb74-66558df6f881,13,,"[6.4, 80.0]",70262,0,,,,,-0.7853982,,,,,"[12.1, 74.3]",,Low Pass,,8.061017,,,Sergio Busquets i Burgos,5203.0,,,,,Throw-in,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['0ae98047-7130-4b83-b4d3-c29a857322ee'],21,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.375,Pass,,2012/2013
