ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5904ba2d-24b4-4fe2-9bc0-922159ae7354,1,,,,70273,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6593, 'name': 'Martín Montoya Torralbo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6616, 'name': 'Munir El Haddadi Mohamed'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 31}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,19f417f5-777b-4eaa-aa91-d6525b933109,2,,,,70273,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 10}, {'player': {'id': 26087, 'name': 'Carlos Gurpegi Nausia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6388, 'name': 'Ander Iturraspe Derteano'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6656, 'name': 'Mikel Rico Moreno'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 6390, 'name': 'Markel Susaeta Laskurain'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 6842, 'name': 'Iker Muniain Goñi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 6394, 'name': 'Aritz Aduriz Zubeldia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Athletic Club,215,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,38e767c6-5394-40d0-b55c-95eb6251b66b,3,,,,70273,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['5d8cfe35-bcc1-41a7-97e8-4b03cc5e05e6'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5d8cfe35-bcc1-41a7-97e8-4b03cc5e05e6,4,,,,70273,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['38e767c6-5394-40d0-b55c-95eb6251b66b'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bb4eebb4-b8c3-47db-8429-f8d30e7a9ec1,2075,,,,70273,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,111,Barcelona,217,['f69154ea-fb3e-4964-846c-96c126aba751'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f69154ea-fb3e-4964-846c-96c126aba751,2076,,,,70273,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,111,Barcelona,217,['bb4eebb4-b8c3-47db-8429-f8d30e7a9ec1'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,0.813479,,,,,,,,,,,,,,01b87ab6-ce62-49ef-a512-8062fcce9a90,5,,,"[61.0, 41.0]",70273,0,,,,,1.2360595,,Right Foot,,,,"[61.8, 43.3]",,Ground Pass,2.4351592,,,,Ivan Rakitić,5470.0,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['799484ba-0626-4d75-a405-186f10bdac43'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.782,Pass,,2014/2015
,,,,,,,,,,,,,,0.931983,,,,,,,,,,,,,,a57d135a-8351-4928-867a-ed0eb6de6e88,8,,,"[60.0, 42.7]",70273,0,,,,,-3.050933,,Right Foot,,,,"[49.0, 41.7]",,Ground Pass,11.045361,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['6a26f050-4370-40de-a0da-915bd595b459'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.655,Pass,,2014/2015
,,,,,,,,,,,,,,1.255308,,,,,,,,,,,,,,351fbff9-15f5-4ef5-88fb-ecf9a6fdbc25,11,,,"[48.9, 43.5]",70273,0,,,,,-2.2943265,,Right Foot,,,,"[33.0, 25.5]",,Ground Pass,24.016869,,,,Jérémy Mathieu,10609.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['3b9f47b7-1cb3-4a4f-bc7c-d96f4a006f00'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.014,Pass,,2014/2015
,,,,,,,,,,,,,,1.730963,,,,,,,,,,,,,,39f9c032-0760-467f-a98a-a429d869900c,14,,,"[33.0, 25.5]",70273,0,,,,,1.6765101,,Left Foot,,,,"[29.7, 56.6]",,Ground Pass,31.27459,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Jérémy Mathieu,10609.0,Left Center Back,2,Barcelona,217,['f6a4dd44-d7ce-4529-a097-798e85242f2f'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.964,Pass,,2014/2015
