50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,43d53f8c-6f0f-4b87-9ef7-8fdda598784f,1,,,70282,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 20138, 'name': 'João Pedro da Silva Pereira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 3253, 'name': 'Adil Rami'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 19454, 'name': 'Ricardo Miguel Moreira da Costa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 27146, 'name': 'Aly Cissokho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 5504, 'name': 'Éver Maximiliano David Banega'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 15651, 'name': 'Juan Bernat Velasco'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 28}, {'player': {'id': 26728, 'name': 'Alberto Facundo Costa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 5563, 'name': 'José Andrés Guardado Hernández'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 26009, 'name': 'Roberto Soldado Rillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Valencia,207,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,10aa166a-c40e-4566-a564-e40074e0d7da,2,,,70282,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,a9ef8e77-e089-41f2-b485-9c6293a13150,3,,,70282,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['1a6444b5-80a1-4c76-87c5-26508e8a641f'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1a6444b5-80a1-4c76-87c5-26508e8a641f,4,,,70282,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['a9ef8e77-e089-41f2-b485-9c6293a13150'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,bf2c87cd-2010-475e-98d1-9645a2af1e07,2166,,,70282,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,104,Valencia,207,['7639837f-4c33-4f72-9080-ce810b71024f'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,7639837f-4c33-4f72-9080-ce810b71024f,2167,,,70282,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,104,Valencia,207,['bf2c87cd-2010-475e-98d1-9645a2af1e07'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,0.4679,,,,,,,,,,,,,,,,99fe3e3b-e564-4f24-bacf-a8d65c89d067,5,,"[61.0, 41.0]",70282,0,,,,1.9379702,,Right Foot,,,"[60.0, 43.6]",Ground Pass,,2.7856777,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Kick Off,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,2,Barcelona,217,['87b0db92-76da-48c0-aaa0-c9e1b7b46a7e'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.405,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.1052,,,,,,,,,,,,,,,,3fad284a-d042-4a9d-b472-ce59828acdad,7,,"[60.2, 42.8]",70282,0,,,,-2.8771043,,Right Foot,,,"[50.6, 40.2]",Ground Pass,,9.945853,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['b2e3ee87-061e-49ba-9ae1-d34ccba71f26'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.873,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.8332,,,,,,,,,,,,,,,,9a93d622-1e9b-4920-a2ee-50f1d50363af,10,,"[50.6, 40.2]",70282,0,,,,1.375776,,Right Foot,,,"[52.2, 48.3]",Ground Pass,,8.256513,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['c188c853-5a24-4913-9289-89ed73588a28'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.116,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.65459,,,,,,,,,,,,,,,,657beb9a-a1c1-4b44-b9f1-684272d177bd,13,,"[49.8, 48.3]",70282,0,,,,-2.2223294,,Right Foot,,,"[34.7, 28.5]",Ground Pass,,24.900803,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['0931c4bd-fa18-485c-a36d-3cfb3d27bf78'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.861,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.7276,,,,,,,,,,,,,,,,6dacc5a4-8088-482c-bc03-894748277065,18,,"[50.1, 18.6]",70282,0,,,,-0.15115605,,Right Foot,,,"[65.2, 16.3]",High Pass,,15.274161,,Incomplete,,Francesc Fàbregas i Soler,3478.0,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,"['1aed410b-81e3-41a9-9da1-8e63a8ed8e0f', '4c47c9d0-3d53-44a2-ac7f-765f4c6f0306', '57071135-ace0-4f19-a93c-702dfa725481']",8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.973,Pass,True,2012/2013
