ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,663b2c13-914c-4971-830a-c03265cf659a,1,,,70283,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 6593, 'name': 'Martín Montoya Torralbo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,211a4f22-5e82-4b6a-8731-c704ae8c4179,2,,,70283,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6706, 'name': 'Francisco Casilla Cortés'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26667, 'name': 'Raúl Rodríguez Navarro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 6777, 'name': 'Sidnei Rechel da Silva Júnior'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5573, 'name': 'Héctor Alfredo Moreno Herrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 4741, 'name': 'Juan Rafael Fuentes Hernández'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 6754, 'name': 'David López Silva'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 27148, 'name': 'Abraham González Casanova'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 26775, 'name': 'Thievy Guivane Bifouma Koulossa'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 10731, 'name': 'Gabriel Andrei Torje'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 6767, 'name': 'Sergio García De La Fuente'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Espanyol,214,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,93366884-a08a-4b7a-8990-a8595a9bd152,3,,,70283,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['d9aa10a4-d7d9-4c59-8c38-ab15ccb9021c'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d9aa10a4-d7d9-4c59-8c38-ab15ccb9021c,4,,,70283,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['93366884-a08a-4b7a-8990-a8595a9bd152'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,52961ff2-e98c-44db-a7cf-f4b2b87f1d7d,1894,,,70283,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,100,Barcelona,217,['7e2d8020-34ba-46cf-b1f7-fae308f8b1a6'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7e2d8020-34ba-46cf-b1f7-fae308f8b1a6,1895,,,70283,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,100,Barcelona,217,['52961ff2-e98c-44db-a7cf-f4b2b87f1d7d'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,0.550375,,,,,,,,,,,,,39aaebf4-b82f-4b0b-bd00-351b6e4d474b,5,,"[61.0, 41.0]",70283,0,,,,,-2.0344439,,Right Foot,,,"[59.7, 38.4]",,Ground Pass,2.9068885,,,,Sergio García De La Fuente,6767.0,,,,,Kick Off,1,From Kick Off,Abraham González Casanova,27148.0,Right Center Midfield,2,Espanyol,214,['57cec7b1-75eb-4162-9f33-6de769653f61'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.080,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.8766,,,,,,,,,,,,,7150accf-a74e-47bd-94b5-c8b814a8e259,8,,"[66.9, 47.2]",70283,0,,,,,1.2711552,,Right Foot,,,"[74.5, 71.8]",,Ground Pass,25.747232,,,,Thievy Guivane Bifouma Koulossa,26775.0,,,,,,1,From Kick Off,Sergio García De La Fuente,6767.0,Center Forward,2,Espanyol,214,['811e0a28-8154-494b-a68e-1e96f64355e7'],3,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:03.414,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.9328,,,,,,,,,,,,,01f06454-1bc9-457e-96e8-dfa8c9d05495,14,,"[85.0, 80.0]",70283,0,,,,,-1.4330602,,,,,"[86.4, 69.9]",,Low Pass,10.1965685,,,,Abraham González Casanova,27148.0,,,,,Throw-in,1,From Throw In,Raúl Rodríguez Navarro,26667.0,Right Back,3,Espanyol,214,['aaa0489e-8d3b-46cd-a950-cc9f36dd0887'],27,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:27.675,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.963,,,,,,,,,,,,,94558296-7f24-4edb-bf7a-c1df4b9b3bd4,16,,"[86.4, 69.9]",70283,0,,,,,-0.52436954,,Right Foot,,,"[104.9, 59.2]",,High Pass,21.371477,,Incomplete,,,,,,,,,1,From Throw In,Abraham González Casanova,27148.0,Right Center Midfield,3,Espanyol,214,['65a7a7ac-9e53-4d47-b211-0371b80f7e96'],28,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:28.608,Pass,,2013/2014
