50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,82c2d5d3-7a80-4dd5-b9ae-90ccce6b0e77,1,,,70284,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 12626, 'name': 'Emiliano Adrián Insúa Zapata'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 20669, 'name': 'Tiago Cardoso Mendes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 6735, 'name': 'Adrián López Álvarez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 11094, 'name': 'Arda Turan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3445, 'name': 'Radamel Falcao García Zárate'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Atlético Madrid,212,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8daca731-c419-408a-a43c-123a5299dd71,2,,,70284,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 26005, 'name': 'José Manuel Pinto Colorado'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 27053, 'name': 'Alexandre Dimitri Song-Billong'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 6658, 'name': 'Cristian Tello Herrera'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 37}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c9f85043-78f2-4670-8fb4-ed326b9f9daf,3,,,70284,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Atlético Madrid,212,['26c04e58-78c2-4086-a79f-c9dc02fcfd3f'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,26c04e58-78c2-4086-a79f-c9dc02fcfd3f,4,,,70284,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Atlético Madrid,212,['c9f85043-78f2-4670-8fb4-ed326b9f9daf'],0,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f207d71e-17c2-42e8-b8da-905ff899f316,2313,,,70284,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,,105,Barcelona,217,['60a791bc-ddde-4958-bb26-6d57d3b47fda'],0,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,60a791bc-ddde-4958-bb26-6d57d3b47fda,2314,,,70284,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,,105,Barcelona,217,['f207d71e-17c2-42e8-b8da-905ff899f316'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,0.836523,,,,,,,,,,,,,,87aa7ed5-9d07-4bcd-b3fd-c73a3cff1023,5,,"[60.0, 40.0]",70284,0,,,,0.5819051,,Right Foot,,,"[63.8, 42.5]",,Ground Pass,,4.548626,,,,,Arda Turan,11094.0,,,,,,Kick Off,1,From Kick Off,Radamel Falcao García Zárate,3445.0,,Center Forward,2,Atlético Madrid,212,['0644ec22-b810-4bcf-ab0d-3276d0a8eaa2'],0,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.510,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.473489,,,,,,,,,,,,,,8bc38400-228b-42cc-b863-796c1ae229c1,9,,"[65.6, 58.0]",70284,0,,,,2.1836839,,Right Foot,,,"[54.7, 73.5]",,Ground Pass,,18.94888,,,,,Juan Francisco Torres Belén,6375.0,,,,,,,1,From Kick Off,Arda Turan,11094.0,,Left Wing,2,Atlético Madrid,212,['63fe9638-2ffd-4a35-a6f4-daf372ce2fd3'],4,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:04.932,Pass,,2012/2013
,,,,,,,,,,,,,,,,0.695542,,,,,,,,,,,,,,6344967a-08b0-4d7a-8bf2-a69e16dec8ae,12,,"[57.9, 74.1]",70284,0,,,,-0.011975476,,Right Foot,,,"[74.6, 73.9]",,Ground Pass,,16.701197,,,,,Adrián López Álvarez,6735.0,,,,,,,1,From Kick Off,Juan Francisco Torres Belén,6375.0,,Right Back,2,Atlético Madrid,212,['82e44bfe-6fe3-4efa-89b0-722428ccce1f'],7,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:07.379,Pass,,2012/2013
,,,,,,,,,,,,,,,,0.9626,,,,,,,,,,,,,,fe7b8810-de15-4dbb-ab90-67a5f683edcc,16,,"[74.8, 76.3]",70284,0,,,,-1.9286137,,Left Foot,,,"[70.5, 64.8]",,Ground Pass,,12.277622,,,,,Juan Francisco Torres Belén,6375.0,,,,,,,1,From Kick Off,Adrián López Álvarez,6735.0,,Right Wing,2,Atlético Madrid,212,"['37f9ae82-cad8-4e9e-82b9-187fd6df53c7', '5adb6822-becf-45bf-b6fc-026eaed72bba']",8,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:08.115,Pass,True,2012/2013
