bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4569fbc6-cc6d-4cb7-8dbd-6d9b574c86a3,1,,,70286,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 27053, 'name': 'Alexandre Dimitri Song-Billong'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,41b939c2-6024-4401-8038-cf6e67533a5f,2,,,70286,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20138, 'name': 'João Pedro da Silva Pereira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 3253, 'name': 'Adil Rami'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 27146, 'name': 'Aly Cissokho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 26728, 'name': 'Alberto Facundo Costa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 20128, 'name': 'David Albelda Aliqués'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 18724, 'name': 'Sofiane Feghouli'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 17083, 'name': 'Jonas Gonçalves Oliveira'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 5563, 'name': 'José Andrés Guardado Hernández'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 26009, 'name': 'Roberto Soldado Rillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Valencia,207,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,af4c850a-3f53-4fd2-991f-cc38fb766c45,3,,,70286,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['edab07df-c6f3-4d37-a095-183a4267ee87'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,edab07df-c6f3-4d37-a095-183a4267ee87,4,,,70286,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['af4c850a-3f53-4fd2-991f-cc38fb766c45'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,True,6d75621b-ce4e-4bde-be3c-852046cbfda2,2133,,,70286,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,97,Barcelona,217,['5a819544-334c-4022-ba7a-29c9d4758796'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,True,5a819544-334c-4022-ba7a-29c9d4758796,2134,,,70286,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,97,Barcelona,217,['6d75621b-ce4e-4bde-be3c-852046cbfda2'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,,0.2162,,,,,,,,,,,,,1a2c2d48-3d16-4d5b-8d7c-7bbc571ba953,5,,"[61.0, 41.0]",70286,0,True,,,1.7178746,,Right Foot,,,"[60.6, 43.7]",,Ground Pass,,2.7294688,,,,,Roberto Soldado Rillo,26009.0,,,,,,Kick Off,1,From Kick Off,Jonas Gonçalves Oliveira,17083.0,Center Attacking Midfield,2,Valencia,207,['806e44c7-ffdd-4946-92a7-a4585c22ab69'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.216,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,0.7507,,,,,,,,,,,,,5318981e-505c-4edd-96bb-e6d70d8aa659,7,,"[60.2, 43.7]",70286,0,,,,-2.5456746,,Right Foot,,,"[51.5, 37.8]",,Ground Pass,,10.511898,,,,,Alberto Facundo Costa,26728.0,,,,,,,1,From Kick Off,Roberto Soldado Rillo,26009.0,Center Forward,2,Valencia,207,['653fd3d2-2994-41c3-9edc-01b84790e574'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.738,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,1.7379,,,,,,,,,,,,,12f8899c-712d-4f80-8bf6-3dd820a31af6,11,,"[53.4, 43.9]",70286,0,,,,1.9938036,,Left Foot,,,"[41.2, 71.0]",,Ground Pass,,29.719522,,,,,João Pedro da Silva Pereira,20138.0,,,,,,,1,From Kick Off,Alberto Facundo Costa,26728.0,Right Center Midfield,2,Valencia,207,"['dd8324fb-bd10-410a-a8ce-e8535d6ecfdf', 'df275f79-fe00-4bd6-86d1-e1b5e5613f3b']",2,,,,,,,,,,,,,,,,,,Valencia,207,00:00:02.924,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,,1.738,,,,,,,,,,,,,fb9ad6b6-dc34-48e5-87ae-2432005552e7,15,,"[36.2, 71.4]",70286,0,,,,-2.2967744,,Right Foot,,,"[19.6, 52.7]",,Ground Pass,,25.005,,,,,Adil Rami,3253.0,,,,,,,1,From Kick Off,João Pedro da Silva Pereira,20138.0,Right Back,2,Valencia,207,"['4e87576f-7f10-4120-9f32-24c0799d4360', 'e99a9462-6786-43ce-b53d-a946ebd771e1']",5,,,,,,,,,,,,,,,,,,Valencia,207,00:00:05.581,Pass,True,2012/2013
