50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a2255a94-a184-4a76-b6f5-1b1eff707de4,1,,,70293,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 4}]}",Barcelona,217,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9427882e-d6c5-4a83-a349-6cac586f0915,2,,,70293,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6768, 'name': 'Diego López Rodríguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Real Madrid,220,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,19c3ad0e-6d11-4a66-b838-51b8f1ecd014,3,,,70293,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['d79589bc-e4b6-42b2-8746-1b0c305f4d04'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d79589bc-e4b6-42b2-8746-1b0c305f4d04,4,,,70293,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['19c3ad0e-6d11-4a66-b838-51b8f1ecd014'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c975e121-3b53-4f36-b017-0f62578b68fa,1822,,,70293,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,94,Barcelona,217,['732db9b7-a702-49c1-941b-f928c72a7a1b'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,732db9b7-a702-49c1-941b-f928c72a7a1b,1823,,,70293,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,94,Barcelona,217,['c975e121-3b53-4f36-b017-0f62578b68fa'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,,,,3.183612,,,,,,,,,,,,,4efada6e-3cba-4e67-8385-98b4a1b388e2,5,,"[61.0, 41.0]",70293,0,,,,,-0.98279375,,Right Foot,,,"[61.4, 40.4]",,Ground Pass,,0.7211103,,,,Daniel Carvajal Ramos,5721.0,,,,,,Kick Off,1,From Kick Off,Luka Modrić,5463.0,Left Center Midfield,2,Real Madrid,220,['d2b0759e-ab36-4110-b491-081d6addf57a'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.731,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,2.7986,,,,,,,,,,,,,d2d1fdac-2741-4ac1-9fa0-8c973f14e2ca,9,,"[35.9, 59.3]",70293,0,,,,,-0.910019,,Right Foot,,,"[76.4, 7.2]",,High Pass,,65.989845,,,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,True,,,,1,From Kick Off,Daniel Carvajal Ramos,5721.0,Right Back,2,Real Madrid,220,['d3f5e63b-5af7-433a-a2f5-3c6055b738d2'],3,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:03.994,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,0.8641,,,,,,,,,,,,,f8453252-8aa5-47dc-b930-49146c84cf7d,12,,"[76.4, 7.2]",70293,0,,,,,1.0303768,,Right Foot,,,"[82.4, 17.2]",,High Pass,,11.661903,,,,Gareth Frank Bale,6399.0,,,,,,,1,From Kick Off,Cristiano Ronaldo dos Santos Aveiro,5207.0,Left Wing,2,Real Madrid,220,['16f01dc5-9d84-4796-96e5-e9d2b2edb851'],6,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:06.873,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,1.1787,,,,,,,,,,,,,6d74dcf9-bdca-4d22-bc86-df5ab7994723,15,,"[82.4, 17.2]",70293,0,,,,,-1.2730961,,Left Foot,,,"[85.1, 8.4]",,Ground Pass,,9.20489,,Incomplete,,,,,,,,,,1,From Kick Off,Gareth Frank Bale,6399.0,Center Forward,2,Real Madrid,220,['11c9d580-5310-43d4-9a67-ad801d0c2d73'],7,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:07.777,Pass,,2013/2014
