ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4d8995da-ed13-43c3-b055-572a9654f820,1,,,70297,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 27053, 'name': 'Alexandre Dimitri Song-Billong'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,42c6ccc6-1094-4b50-a861-3ebac5786b18,2,,,70297,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 26686, 'name': 'Jordi Codina Rodríguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6878, 'name': 'Miguel Torres Gómez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 26107, 'name': 'Alberto Lopo García'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 6614, 'name': 'Alexis Ruano Delgado'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 6718, 'name': 'Sergio Escudero Palomo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 11294, 'name': 'Borja Fernández Fernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 26252, 'name': 'Diego Castro Giménez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 24580, 'name': 'Jaime Gavilán Martínez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 23933, 'name': 'Abdelaziz Barrada'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 28}, {'player': {'id': 26652, 'name': 'Adrián Colunga Pérez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Getafe,216,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5bc17f56-5927-448d-9d5d-7285f5495de3,3,,,70297,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['38e4cdb4-b731-44aa-8e1f-3aff6be316de'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,38e4cdb4-b731-44aa-8e1f-3aff6be316de,4,,,70297,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['5bc17f56-5927-448d-9d5d-7285f5495de3'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a624d154-a38a-4b80-b775-7d784d71a985,2098,,,70297,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Barcelona,217,['0d02b620-9b6f-400e-a393-914d68050831'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0d02b620-9b6f-400e-a393-914d68050831,2099,,,70297,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Barcelona,217,['a624d154-a38a-4b80-b775-7d784d71a985'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,0.6225,,,,,,,,,,,,,3b0d108d-2a9e-4f1d-822d-b60156048149,5,,"[60.0, 40.0]",70297,0,,,,3.018924,,Left Foot,,,,"[52.7, 40.9]",,Ground Pass,,7.3552704,,,,Borja Fernández Fernández,11294.0,,,,,Kick Off,1,From Kick Off,Adrián Colunga Pérez,26652.0,Center Forward,2,Getafe,216,['727c3d22-1ab6-4463-9576-29a2caa05197'],1,,,,,,,,,,,,,,,,,Getafe,216,00:00:01.670,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.6621,,,,,,,,,,,,,fc9999c8-6f6a-490f-bf10-29f2a43da857,8,,"[52.2, 40.4]",70297,0,,,,-2.5856571,,Right Foot,,,,"[35.3, 29.9]",,Ground Pass,,19.89623,,,,Alexis Ruano Delgado,6614.0,,,,,,1,From Kick Off,Borja Fernández Fernández,11294.0,Right Defensive Midfield,2,Getafe,216,['ed12f4a6-f435-4aea-9d31-bfcdda547703'],3,,,,,,,,,,,,,,,,,Getafe,216,00:00:03.282,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.7305,,,,,,,,,,,,,c4f8f4ec-f50d-4b07-9746-591679b3bd01,11,,"[28.8, 32.6]",70297,0,,,,1.7714492,,Left Foot,,,,"[25.2, 50.3]",,Ground Pass,,18.062391,,,,Alberto Lopo García,26107.0,,,,,,1,From Kick Off,Alexis Ruano Delgado,6614.0,Left Center Back,2,Getafe,216,['9dd2168a-20e5-409e-be60-6b553916e661'],6,,,,,,,,,,,,,,,,,Getafe,216,00:00:06.202,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.8436,,,,,,,,,,,,,74a3b7dd-6dd3-45f8-ad6b-55832d9bca84,14,,"[25.4, 56.9]",70297,0,,,,-2.516484,,Right Foot,,,,"[6.0, 42.9]",,Ground Pass,,23.924046,,,,Jordi Codina Rodríguez,26686.0,,,,,,1,From Kick Off,Alberto Lopo García,26107.0,Right Center Back,2,Getafe,216,['fee41d7f-2ecd-4ccf-8d60-67d0e84b08a3'],8,,,,,,,,,,,,,,,,,Getafe,216,00:00:08.947,Pass,,2012/2013
