50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4ebc85ec-8543-4754-8cd5-230e82a8fc47,1,,,70305,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 26005, 'name': 'José Manuel Pinto Colorado'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 27053, 'name': 'Alexandre Dimitri Song-Billong'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 6658, 'name': 'Cristian Tello Herrera'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 37}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Barcelona,217,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4063b61a-287e-47c9-a2b7-8f93f194a46c,2,,,70305,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26029, 'name': 'Daniel Aranzubia Aguado'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26209, 'name': 'Manuel Pablo García Díaz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8440, 'name': 'Aythami Artiles Oliva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 21399, 'name': 'Pablo Ínsua Blanco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 23364, 'name': 'Sílvio Manuel Azevedo Ferreira Sá Pereira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 26502, 'name': 'Paulo Assunção da Silva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 6192, 'name': 'Abel Enrique Aguilar Tapia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 6868, 'name': 'Bruno Alexandre Vilela Gama'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 15602, 'name': 'Juan Carlos Valerón Santana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 10325, 'name': 'Luís Miguel Afonso Fernandes'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 20137, 'name': 'Nélson Miguel Castro Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",RC Deportivo La Coruña,219,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,be55e211-f028-4a6d-a1e5-cdff242ac504,3,,,70305,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['1378cee1-84bc-4c82-a562-00122e28d3ad'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1378cee1-84bc-4c82-a562-00122e28d3ad,4,,,70305,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['be55e211-f028-4a6d-a1e5-cdff242ac504'],0,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,37538f83-f952-4cb3-b9d0-d85f19807beb,2318,,,70305,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,89,Barcelona,217,['ffb01adf-d694-47b2-9879-776fe3df30b5'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ffb01adf-d694-47b2-9879-776fe3df30b5,2319,,,70305,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,89,Barcelona,217,['37538f83-f952-4cb3-b9d0-d85f19807beb'],0,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,0.39652,,,,,,,,,,,,,,020cc9f4-04e4-427f-88a1-276c13b09a7f,5,,"[61.0, 41.0]",70305,0,,True,,,1.2341216,,Right Foot,,,"[61.7, 43.0]",,Ground Pass,,2.118962,,Juan Carlos Valerón Santana,15602.0,,,,,Kick Off,1,From Kick Off,Nélson Miguel Castro Oliveira,20137.0,Center Forward,2,RC Deportivo La Coruña,219,['df121b7e-398b-48ac-b738-76ee12b4926b'],0,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.604,Pass,,2012/2013
,,,,,,,,,,,,,,,,,2.120208,,,,,,,,,,,,,,a87817ee-b212-415f-87f8-5ef3a79363d2,7,,"[61.7, 41.9]",70305,0,,,,,2.9307652,,Right Foot,,,"[36.0, 47.4]",,Ground Pass,,26.281933,,Pablo Ínsua Blanco,21399.0,,,,,,1,From Kick Off,Juan Carlos Valerón Santana,15602.0,Center Attacking Midfield,2,RC Deportivo La Coruña,219,['bf44bbe8-46ef-4f74-932f-7de49817727f'],1,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:01.249,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.5888,,,,,,,,,,,,,,54bde5c9-ccf9-4475-98de-f9c18f663090,11,,"[40.4, 49.2]",70305,0,,,,,-0.3270981,,Right Foot,,,"[74.0, 37.8]",,Low Pass,,35.481262,,Nélson Miguel Castro Oliveira,20137.0,,,,,,1,From Kick Off,Pablo Ínsua Blanco,21399.0,Left Center Back,2,RC Deportivo La Coruña,219,['674c4787-f1f4-435a-9e02-daad2a429e39'],5,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:05.877,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.1256,,,,,,,,,,,,,,a9f2936e-07eb-4f72-a6d3-39ed7fcf0158,14,,"[73.2, 38.9]",70305,0,,,,,1.4582307,,Right Foot,,,"[74.5, 50.4]",,High Pass,,11.573245,,Bruno Alexandre Vilela Gama,6868.0,,,,,,1,From Kick Off,Nélson Miguel Castro Oliveira,20137.0,Center Forward,2,RC Deportivo La Coruña,219,['48fd9606-8928-4377-a0e6-ea740a9a87db'],7,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:07.565,Pass,,2012/2013
