ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,60a1bbed-58d1-4831-9cce-f6b892c38561,1,,,70309,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6593, 'name': 'Martín Montoya Torralbo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 27053, 'name': 'Alexandre Dimitri Song-Billong'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,439a5838-a3b2-4678-9d66-d31f94068ba8,2,,,70309,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 6571, 'name': 'Roberto Jiménez Gago'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 27199, 'name': 'Raúl Goni Bayo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 10815, 'name': 'Ádám Pintér'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 26429, 'name': 'Javier Paredes Arango'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 25920, 'name': 'Jose María Movilla Cubero'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 2}, {'player': {'id': 26234, 'name': 'Antonio Galdeano Benítez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 7701, 'name': 'Franco Zuculini'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 24578, 'name': 'Francisco Montañés Claverías'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 15893, 'name': 'Víctor Rodríguez Romero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 32}, {'player': {'id': 26522, 'name': 'Carlos Reina Aranda'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Real Zaragoza,395,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c65784d0-04c8-4c8d-81d8-535da3296d0e,3,,,70309,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['5954703e-4026-47b6-844a-e41c563f6bb5'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5954703e-4026-47b6-844a-e41c563f6bb5,4,,,70309,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['c65784d0-04c8-4c8d-81d8-535da3296d0e'],0,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7defd08c-a715-47d2-b4c6-5f02c090ff9a,2230,,,70309,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Real Zaragoza,395,['fb7dd0f4-cc27-455a-9d76-51d518fa11da'],0,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fb7dd0f4-cc27-455a-9d76-51d518fa11da,2231,,,70309,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Real Zaragoza,395,['7defd08c-a715-47d2-b4c6-5f02c090ff9a'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,45b846d8-4431-496b-9053-bd10cad630cc,5,,"[61.0, 41.0]",70309,0,,,,1.4801364,,Right Foot,,,,"[61.2, 43.2]",,Ground Pass,,2.209072,,,,Carlos Reina Aranda,26522.0,,,,,,Kick Off,1,From Kick Off,Víctor Rodríguez Romero,15893.0,Center Attacking Midfield,2,Real Zaragoza,395,['170e9494-7a10-4e62-a903-0544b60acfde'],1,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:01.083,Pass,,2012/2013
,,,,,,,,,,,,,,1.500643,,,,,,,,,,,,,,2774420a-6e42-4c59-964f-6144cc9ca5b3,7,,"[61.0, 43.2]",70309,0,,,,-2.5061848,,Right Foot,,,,"[43.1, 30.0]",,Ground Pass,,22.240728,,,,Álvaro González Soberón,6762.0,,,,,,,1,From Kick Off,Carlos Reina Aranda,26522.0,Center Forward,2,Real Zaragoza,395,['c4e11c46-0499-40ef-a2bf-9826058dd0c8'],1,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:01.483,Pass,,2012/2013
,,,,,,,,,,,,,,5.0803,,,,,,,,,,,,,,1ee30afe-8bcb-43e5-a239-a560016cc891,10,,"[43.6, 39.7]",70309,0,,,,0.3758238,,Right Foot,,,,"[110.0, 65.9]",,High Pass,,71.38207,,Incomplete,,,,,,,,,,1,From Kick Off,Álvaro González Soberón,6762.0,Left Center Back,2,Real Zaragoza,395,['a5a7e219-10c7-4c13-a378-5b6e33d5e245'],4,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:04.623,Pass,,2012/2013
,,,,,,,,,,,,,,1.0817,,,,,,,,,,,,,,1a4c96d0-bb44-4741-8c07-aea02d449789,13,,"[84.9, 80.0]",70309,0,,,,-0.9151007,,,,,,"[91.9, 70.9]",,High Pass,,11.480854,,,,Víctor Rodríguez Romero,15893.0,,,,,,Throw-in,1,From Throw In,Raúl Goni Bayo,27199.0,Right Back,3,Real Zaragoza,395,"['04d68fdc-080b-474d-a022-8dcd4cc1cefc', 'a8b462a6-dde4-4372-bfb8-d0f320b2e636']",23,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:23.073,Pass,True,2012/2013
