50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a345a5e5-36c9-4387-b006-82d9b54b1764,1,,,9575,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3726, 'name': 'Gerard Deulofeu Lázaro'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,0.004,,,,,,,,,,,,8e0587cd-9765-43cb-bcb5-3171b19a0047,2,,,9575,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6654, 'name': 'Antonio Adán Garrido'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6835, 'name': 'Alin Dorinel Toșca'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5563, 'name': 'José Andrés Guardado Hernández'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 20062, 'name': 'Juan José Narváez Solarte'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 29}, {'player': {'id': 6659, 'name': 'Víctor Camarasa Ferrando'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 18867, 'name': 'Matías Nahuel Leiva Esquivel'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 6651, 'name': 'Joaquín Sánchez Rodríguez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6657, 'name': 'Sergio León Limones'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Real Betis,218,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b3acda9c-ef58-4f5a-8f69-6e9518c252a2,3,,,9575,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['f1ef2294-a78f-48c0-9430-4b3c16f8f340'],0,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f1ef2294-a78f-48c0-9430-4b3c16f8f340,4,,,9575,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['b3acda9c-ef58-4f5a-8f69-6e9518c252a2'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e561a4fb-7373-420a-a10f-bc8a4e9ec0ef,2085,,,9575,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,84,Real Betis,218,['8d1be0f6-5273-4e04-8519-c93efca5dcb5'],0,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8d1be0f6-5273-4e04-8519-c93efca5dcb5,2086,,,9575,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,84,Real Betis,218,['e561a4fb-7373-420a-a10f-bc8a4e9ec0ef'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,0.982,,,,,,,,,,,,1b0d9669-1d65-419e-aad8-196f5da79ad2,5,,"[61.0, 41.0]",9575,0,,,,3.0584514,,Right Foot,,,"[49.0, 42.0]",,Ground Pass,,12.0415945,,,Sergio Busquets i Burgos,5203.0,,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['e2d835f7-03bd-4673-9b44-934794c1caa6'],1,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.794,Pass,,2017/2018
,,,,,,,,,,,,,,,1.063,,,,,,,,,,,,393a1bbd-5689-40d9-b850-9311bfe3ed64,8,,"[49.0, 44.0]",9575,0,,,,1.5707964,,Left Foot,,,"[49.0, 54.0]",,Ground Pass,,10.0,,,Ivan Rakitić,5470.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Center Midfield,2,Barcelona,217,['4a8eba1d-97d6-4443-bc9b-013a50740c59'],3,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.801,Pass,,2017/2018
,,,,,,,,,,,,,,,1.149,,,,,,,,,,,,8febae86-5407-4bdf-a22e-afc5838eb9f2,11,,"[54.0, 60.0]",9575,0,,,,1.3258177,,Right Foot,,,"[58.0, 76.0]",,Ground Pass,,16.492422,,,Nélson Cabral Semedo,6374.0,,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Left Center Midfield,2,Barcelona,217,['748b212b-79b9-441f-acfb-6af21293257c'],6,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.249,Pass,,2017/2018
,,,,,,,,,,,,,,,1.862,,,,,,,,,,,,3993466c-5610-4981-9e88-3e4aeb67a1d2,14,,"[56.0, 77.0]",9575,0,,,,-2.55359,,Right Foot,,,"[38.0, 65.0]",,Ground Pass,,21.633308,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Nélson Cabral Semedo,6374.0,Right Back,2,Barcelona,217,['1444fd14-34c1-4157-9295-34dcd401c582'],9,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.134,Pass,,2017/2018
