50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cb3b383b-7006-4bd0-9340-22601cf60fd0,1,,,9581,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Deportivo Alavés,206,,0,,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 6629, 'name': 'Fernando Pacheco Flores'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6856, 'name': 'Carlos Martín Vigaray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6614, 'name': 'Alexis Ruano Delgado'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6636, 'name': 'Rodrigo Ely'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 6737, 'name': 'Alfonso Pedraza Sag'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 6628, 'name': 'Óscar David Romero Villamayor'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 6626, 'name': 'Mubarak Wakaso'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 6632, 'name': 'Manuel Alejandro García Sánchez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 6617, 'name': 'Ibai Gómez Pérez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 6613, 'name': 'Rubén Sobrino Pozuelo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Deportivo Alavés,206,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fc3011a7-e89f-4914-a28a-6d61371984f8,2,,,9581,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Deportivo Alavés,206,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6400, 'name': 'Aleix Vidal Parreu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 3726, 'name': 'Gerard Deulofeu Lázaro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3b303c67-d5f3-4563-b682-4ff2f4547127,3,,,9581,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Deportivo Alavés,206,['b37c9b9b-a75a-44f7-8cae-1fe3669b4a03'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b37c9b9b-a75a-44f7-8cae-1fe3669b4a03,4,,,9581,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Deportivo Alavés,206,['3b303c67-d5f3-4563-b682-4ff2f4547127'],0,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b77d0298-6f99-400f-9b11-2851360cbada,1866,,,9581,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,79,Deportivo Alavés,206,['97399c49-3201-4b96-b600-a9d390562182'],0,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,97399c49-3201-4b96-b600-a9d390562182,1867,,,9581,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,79,Deportivo Alavés,206,['b77d0298-6f99-400f-9b11-2851360cbada'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,1.261155,,,,,,,,,,,,,,f2e27d16-2a29-45e2-b0e9-db81663bc762,5,,"[61.0, 40.1]",9581,0,,,,-2.7862976,,Right Foot,,,,"[38.9, 31.9]",,Ground Pass,,23.57223,,,,Rodrigo Ely,6636.0,,,,,,Kick Off,1,From Kick Off,Ibai Gómez Pérez,6617.0,Left Midfield,2,Deportivo Alavés,206,['06b49484-23aa-436a-9fb5-b1e744f99597'],2,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:02.296,Pass,,2017/2018
,,,,,,,,,,,,,,,,2.951204,,,,,,,,,,,,,,7b278a40-07e1-4aa6-8e6f-5d251ba01b93,8,,"[42.7, 36.4]",9581,0,,,,0.4758079,,Right Foot,,,,"[85.2, 58.3]",,High Pass,,47.81067,,,,Rubén Sobrino Pozuelo,6613.0,,,,,,,1,From Kick Off,Rodrigo Ely,6636.0,Left Center Back,2,Deportivo Alavés,206,['2fd94573-1039-42c5-8753-0b394ae7b6c9'],5,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:05.479,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.001417,,,,,,,,,,,,,,48921186-37d4-4a91-8378-20bd9a775791,10,,"[85.0, 58.9]",9581,0,,,,1.5707964,,Other,,,,"[85.0, 61.6]",,Low Pass,,2.7,,Incomplete,,Carlos Martín Vigaray,6856.0,,,,,,,1,From Kick Off,Rubén Sobrino Pozuelo,6613.0,Center Forward,2,Deportivo Alavés,206,"['5e7793f1-0aa5-461e-8f68-8d016b758b7d', 'b1b1f49d-88b1-48e5-95b5-ab00469edb14']",8,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:08.430,Pass,,2017/2018
,,,,,,,,,,True,,,,,,0.906255,,,,,,,,,,,,,,5e7793f1-0aa5-461e-8f68-8d016b758b7d,12,,"[35.1, 18.5]",9581,0,,,,-0.2165503,,Other,,,,"[40.1, 17.4]",,Low Pass,,5.1195703,,,,Gerard Deulofeu Lázaro,3726.0,,,,,,Interception,1,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,3,Barcelona,217,"['48921186-37d4-4a91-8378-20bd9a775791', 'bdcf8ec9-46f9-41ef-849b-c7eb1335dbae']",8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.432,Pass,,2017/2018
