bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,62fcd4a2-94ed-42f0-9c4e-d994ae217440,1,,,9592,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 3726, 'name': 'Gerard Deulofeu Lázaro'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dcd47e2f-6a76-499e-abee-413417bd067e,2,,,9592,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 6754, 'name': 'David López Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 6790, 'name': 'Mario Hermoso Canseco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 6757, 'name': 'Aarón Martín Caricol'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6763, 'name': 'Pablo Daniel Piatti'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 3236, 'name': 'Sergi Darder Moll'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 25}, {'player': {'id': 6761, 'name': 'Leonardo Carrilho Baptistão'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Espanyol,214,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1d6e44c2-fb77-479e-bb98-851952e9b3f9,3,,,9592,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['d8eaa47d-d089-45a6-b3b4-a59ab8f65a6a'],0,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d8eaa47d-d089-45a6-b3b4-a59ab8f65a6a,4,,,9592,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['1d6e44c2-fb77-479e-bb98-851952e9b3f9'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1687baff-1813-4239-960b-16967c71aa72,1851,,,9592,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Espanyol,214,['8ba23810-ae26-4fcc-98eb-05a8a2d6b2fd'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8ba23810-ae26-4fcc-98eb-05a8a2d6b2fd,1852,,,9592,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Espanyol,214,['1687baff-1813-4239-960b-16967c71aa72'],0,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.806,,,,,,,,,,,,,547584c5-1b05-46ce-b61a-cd124d20b385,5,,"[61.0, 41.0]",9592,0,,,,,3.1415927,,Right Foot,,,,"[48.0, 41.0]",,Ground Pass,,13.0,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Left Center Forward,2,Barcelona,217,['40265cdf-29b5-4e8a-8e9d-1d53a750ff51'],7,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.279,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.849,,,,,,,,,,,,,83451339-352f-4a47-8a06-4cc1c50f7a68,8,,"[50.0, 47.0]",9592,0,,,,,1.380808,,Right Foot,,,,"[55.0, 73.0]",,Ground Pass,,26.476404,,,,Nélson Cabral Semedo,6374.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,2,Barcelona,217,['46ebe1de-d50c-4d02-abe1-3e87a547500a'],9,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.307,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.036,,,,,,,,,,,,,b3f1e7a8-3ba5-4c78-98f1-43213b8e79e1,11,,"[60.0, 73.0]",9592,0,,,,,-2.2142975,,Right Foot,,,,"[51.0, 61.0]",,Ground Pass,,15.0,,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Nélson Cabral Semedo,6374.0,Right Back,2,Barcelona,217,['586e79b0-0265-4de0-a894-b6e32457995c'],13,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.002,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.237,,,,,,,,,,,,,a27e0cab-c593-4212-9d1e-682569ca867d,14,,"[51.0, 61.0]",9592,0,,,,,-2.1025205,,Right Foot,,,,"[41.0, 44.0]",,Ground Pass,,19.723083,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Defensive Midfield,2,Barcelona,217,['336c89dd-c301-4eaa-a75d-75c9d96c9a40'],15,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.060,Pass,,2017/2018
