bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,28d50aec-9bf1-42fa-bdcf-f1bf396eac53,1,,,9602,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 6634, 'name': 'Djené Dakonam Ortega'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 6861, 'name': 'Juan Torres Ruiz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 6619, 'name': 'Vitorino Gabriel Pacheco Antunes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6633, 'name': 'Markel Bergara Larrañaga'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6863, 'name': 'Mauro Wilney Arambarri Rosa'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 5724, 'name': 'Fayçal Fajr'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 5693, 'name': 'Gaku Shibasaki'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 6621, 'name': 'Amath Ndiaye'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 6630, 'name': 'Jorge Molina Vidal'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Getafe,216,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c7db0435-fa3c-408f-b616-7fda415add8f,2,,,9602,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,eadfb812-7455-4b47-9f6d-4513271b5fb9,3,,,9602,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,['6b1a5c82-8cde-4b84-8c77-f6675346dfa6'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6b1a5c82-8cde-4b84-8c77-f6675346dfa6,4,,,9602,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,['eadfb812-7455-4b47-9f6d-4513271b5fb9'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d20abefb-0857-40cd-b83d-3d7df6b9730f,1939,,,9602,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,87,Getafe,216,['1e1440c1-827d-4876-8861-5f29d9b4e2a0'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1e1440c1-827d-4876-8861-5f29d9b4e2a0,1940,,,9602,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,87,Getafe,216,['d20abefb-0857-40cd-b83d-3d7df6b9730f'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.655811,,,,,,,,,,,,bd7466ad-07aa-40dc-a9ee-c7a8b99dcbac,5,,"[60.0, 40.0]",9602,0,,True,,,-2.8602002,,Left Foot,,,,"[47.2, 36.3]",,Ground Pass,,13.3240385,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['c55f2984-80af-4c85-a700-aa87e4653188'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.467,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.297012,,,,,,,,,,,,fca34524-82bb-490f-b966-91d2d922ba7d,7,,"[47.4, 36.3]",9602,0,,,,,1.4083072,,Left Foot,,,,"[50.4, 54.6]",,Ground Pass,,18.544271,,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['35e11572-11f9-4b72-975f-138a74c346af'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.444,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.851569,,,,,,,,,,,,5bbc9e93-3de7-4667-90ba-ba9b9ba80793,10,,"[50.4, 54.1]",9602,0,,,,,-1.1575791,,Right Foot,,,,"[56.1, 41.1]",,Ground Pass,,14.194717,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['dfdcee60-40ba-4a1b-bcd1-aae5b07971f3'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.581,Pass,,2017/2018
,,,,,,,,,,,,,,,,,2.188738,,,,,,,,,,,,00652680-186e-43a1-8e04-0d639cefc9c6,14,,"[57.9, 38.7]",9602,0,,,,,-2.1458685,,Left Foot,,,,"[47.4, 22.5]",,Ground Pass,,19.305182,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['4453db6f-25da-41ac-baad-896f22541af5'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.210,Pass,,2017/2018
