bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,443c8f2d-32c4-4023-a35b-327699ee888f,1,,,9636,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6400, 'name': 'Aleix Vidal Parreu'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5862507d-2926-485a-b3d8-c1d4dafa7756,2,,,9636,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6931, 'name': 'Leandro Chichizola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6922, 'name': 'Míchel Macedo Rocha Machado'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 7692, 'name': 'Mauricio Lemos Merladet'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 8204, 'name': 'Borja Herrera González'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6920, 'name': 'Alberto Aquilani'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 4265, 'name': 'Oussama Tannane'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 10755, 'name': 'Jonathan Viera Ramos'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 24}, {'player': {'id': 6930, 'name': 'Jonathan Calleri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Las Palmas,208,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,18e147c6-9ed7-4ee8-8af2-27a580fc5917,3,,,9636,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Barcelona,217,['610a9051-a577-4967-b39a-67a9db9b506d'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,610a9051-a577-4967-b39a-67a9db9b506d,4,,,9636,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Barcelona,217,['18e147c6-9ed7-4ee8-8af2-27a580fc5917'],0,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8a38947d-85f4-4ae7-992f-d9561226700d,2077,,,9636,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,,92,Barcelona,217,['b20b71fd-85cd-4dde-8ac6-f9b6b68f878a'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b20b71fd-85cd-4dde-8ac6-f9b6b68f878a,2078,,,9636,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,,92,Barcelona,217,['8a38947d-85f4-4ae7-992f-d9561226700d'],0,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.793152,,,,,,,,,,,,,,7e4ac729-eebb-4a45-bd05-aeefa7a78267,5,,"[61.0, 40.1]",9636,0,,,,,2.840317,,Right Foot,,,,"[43.3, 45.6]",,Ground Pass,,18.534832,,,Mauricio Lemos Merladet,7692.0,,,,,Kick Off,1,From Kick Off,Jonathan Calleri,6930.0,,Center Forward,2,Las Palmas,208,['f36646c7-a2d1-430c-9120-1ce0f7707eab'],0,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.604,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.853257,,,,,,,,,,,,,,e0dabd06-ddb5-4645-a62c-354054c57d6b,8,,"[43.9, 45.4]",9636,0,,,,,-1.146136,,Right Foot,,,,"[49.1, 33.9]",,Ground Pass,,12.621015,,,Joaquín Navarro Jiménez,6923.0,,,,,,1,From Kick Off,Mauricio Lemos Merladet,7692.0,,Right Center Back,2,Las Palmas,208,['d00f3e45-f824-457d-9241-b9b6b059c006'],1,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:01.752,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.745599,,,,,,,,,,,,,,544dfbab-4832-490a-953b-a8712ba75571,11,,"[49.1, 32.5]",9636,0,,,,,0.6112542,,Right Foot,,,,"[87.2, 59.2]",,High Pass,,46.52419,Incomplete,,Jonathan Calleri,6930.0,,,,,,1,From Kick Off,Joaquín Navarro Jiménez,6923.0,,Left Center Back,2,Las Palmas,208,"['6e991617-4679-42c0-a059-cf774127cda9', '79efd9b4-5e37-46f3-897a-0225ce0b1cb5']",3,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:03.237,Pass,,2017/2018
,,,,,,,,,,,,,,,,,3.835639,,,,,,,,,,,,,,6e991617-4679-42c0-a059-cf774127cda9,14,,"[32.9, 20.9]",9636,0,,,,True,-0.52195704,,,,,,"[63.5, 3.3]",,High Pass,,35.300426,,,Luis Alberto Suárez Díaz,5246.0,,,,,Recovery,1,From Kick Off,Sergio Busquets i Burgos,5203.0,,Left Defensive Midfield,2,Las Palmas,208,"['018f53d0-368d-4776-acf9-4df35a1e58f5', '16f13ce3-5116-457e-8000-719df7ee855c', '544dfbab-4832-490a-953b-a8712ba75571']",4,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.983,Pass,True,2017/2018
