bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d7263940-a2fb-48fb-b53a-a8d9e60cce1a,1,,,9661,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6395, 'name': 'Kepa Arrizabalaga Revuelta'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6386, 'name': 'Eneko Bóveda Altube'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6397, 'name': 'Unai Núñez Gestoso'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6392, 'name': 'Íñigo Lekue Martínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6388, 'name': 'Ander Iturraspe Derteano'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6389, 'name': 'Mikel San José Domínguez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6393, 'name': 'Iñaki Williams Arthuer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 6391, 'name': 'Raúl García Escudero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 6387, 'name': 'Iñigo Córdoba Kerejeta'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 28}, {'player': {'id': 6394, 'name': 'Aritz Aduriz Zubeldia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Athletic Club,215,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8b4bb140-a638-4e5a-8054-5a79ab186dc2,2,,,9661,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 4}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,84030050-1a0c-4a93-a84a-5b2a4d3d30c0,3,,,9661,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['fe204dc8-4a9b-49a9-9c1e-182cd23047da'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fe204dc8-4a9b-49a9-9c1e-182cd23047da,4,,,9661,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['84030050-1a0c-4a93-a84a-5b2a4d3d30c0'],0,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1f682188-5015-4a52-af3f-38fe564e54fa,1795,,,9661,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,116,Athletic Club,215,['e8c38e42-89fc-49a9-ab71-065961a62d37'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e8c38e42-89fc-49a9-ab71-065961a62d37,1796,,,9661,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,116,Athletic Club,215,['1f682188-5015-4a52-af3f-38fe564e54fa'],0,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.931011,,,,,,,,,,,,,a791fd0e-e72e-43f0-a732-0f8fb5136437,5,,"[61.0, 40.1]",9661,0,,,,3.0833254,,Right Foot,,,,"[49.0, 40.8]",,Ground Pass,,12.020399,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Left Center Forward,2,Barcelona,217,['c4ce5307-a47e-4f81-96ed-691dfb5f6a6b'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.656,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.866475,,,,,,,,,,,,,bb573636-ef91-4bfc-b0e2-56ef7b2d254e,9,,"[52.2, 44.2]",9661,0,,,,0.7050031,,Right Foot,,,,"[63.6, 53.9]",,Ground Pass,,14.9683,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,2,Barcelona,217,"['2bab59e3-682f-41b7-af76-6b760ebecf91', 'cd96b084-2342-4427-a55b-0f81920c2626']",3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.478,Pass,True,2017/2018
,,,,,,,,,,,,,,,,,0.687527,,,,,,,,,,,,,36716fb9-6837-42d1-a121-7f98064f1706,13,,"[62.2, 54.2]",9661,0,,,,2.9286542,,Left Foot,,,,"[54.8, 55.8]",,Ground Pass,,7.570997,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,2,Barcelona,217,"['24da427c-be9f-4783-bcc7-74f8f3be9983', '8af545c7-d1bc-44b3-bf01-566be2c567a2']",5,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.132,Pass,True,2017/2018
,,,,,,,,,,,,,,,,,0.609553,,,,,,,,,,,,,15bd12dc-221f-4e41-ace9-f4fd56bb08eb,15,,"[54.3, 55.2]",9661,0,,,,-1.2106032,,Right Foot,,,,"[57.2, 47.5]",,Ground Pass,,8.228001,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Midfield,2,Barcelona,217,['6e1c2bcb-f1b0-4dc9-91fb-5a24100fef70'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.819,Pass,,2017/2018
