50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,444b36fc-7b98-489f-8e75-083c57e87425,1,,,9717,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 6755, 'name': 'Sergio Asenjo Andrés'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6772, 'name': 'Mario Gaspar Pérez Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6828, 'name': 'Jaume Vicent Costa Jordá'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 6753, 'name': 'Daniel Raba Antolín'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 28}, {'player': {'id': 6771, 'name': 'Manuel Trigueros Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 6857, 'name': 'Rúben Afonso Borges Semedo'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6765, 'name': 'Rodrigo Hernández Cascante'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 6759, 'name': 'Roberto Soriano'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 6862, 'name': 'Cédric Bakambu'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Villarreal,222,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f03bfc61-de70-4769-bc0d-54cda8a1dce1,2,,,9717,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 4}, {'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3aad6d43-ca76-4389-9ac5-b8c710652330,3,,,9717,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['596e7990-98ae-4748-930d-5c83b1e5cac9'],0,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,596e7990-98ae-4748-930d-5c83b1e5cac9,4,,,9717,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['3aad6d43-ca76-4389-9ac5-b8c710652330'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d99c9a7f-21a7-4646-91cf-ba1dfa1f5140,2106,,,9717,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,121,Villarreal,222,['6991125f-a259-4c83-8d32-3bb61b1a7a3a'],0,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6991125f-a259-4c83-8d32-3bb61b1a7a3a,2107,,,9717,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,121,Villarreal,222,['d99c9a7f-21a7-4646-91cf-ba1dfa1f5140'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,,,0.967209,,,,,,,,,,,,,7d8b382c-aebe-40c1-9138-ada8df6b731f,5,,"[60.0, 40.0]",9717,0,,,,2.3641307,,Left Foot,,,"[47.3, 52.5]",,Ground Pass,,17.819653,,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Left Center Forward,2,Barcelona,217,['422e3088-5925-47d0-81eb-e964264479ca'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.592,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,1.267334,,,,,,,,,,,,,4215c0ca-9ae5-4d23-9e50-c95e378f7ee7,8,,"[47.6, 52.2]",9717,0,,,,1.5087643,,Right Foot,,,"[48.6, 68.3]",,Ground Pass,,16.131025,,,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,2,Barcelona,217,['59921248-5d3b-4e1f-a303-d4ebaa4370d7'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.836,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,0.597178,,,,,,,,,,,,,e4d3ba46-4194-4426-8fb1-40fc8dea73b9,11,,"[48.6, 68.3]",9717,0,,,,-1.3089111,,Left Foot,,,"[51.2, 58.6]",,Ground Pass,,10.04241,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Midfield,2,Barcelona,217,['e9999521-0a16-4b53-8fb1-09c4d71f3a68'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.493,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,1.431094,,,,,,,,,,,,,74b37540-a508-4635-9261-ba33972c96c7,13,,"[51.2, 58.6]",9717,0,,,,-2.9349093,,Right Foot,,,"[32.6, 54.7]",,Ground Pass,,19.004473,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,2,Barcelona,217,['f8405738-b452-444a-9e1e-3a1c66156799'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.090,Pass,,2017/2018
