ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d9851940-acf3-4ffe-9f9c-aa5af09d5986,1,,,9726,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6d8521c9-cedf-4fe5-afbd-fa241215e1b4,2,,,9726,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6730, 'name': 'Rubén Iván Martínez Andrade'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6738, 'name': 'Juan Francisco Moreno Fuertes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 6777, 'name': 'Sidnei Rechel da Silva Júnior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 6913, 'name': 'Fernando Navarro i Corbacho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6729, 'name': 'Guilherme dos Santos Torres'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 5582, 'name': 'Celso Borges Mora'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6800, 'name': 'Carles Gil de Pareja Vicent'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 6779, 'name': 'Emre Çolak'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 6735, 'name': 'Adrián López Álvarez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 6732, 'name': 'Lucas Pérez Martínez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",RC Deportivo La Coruña,219,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,42a63d20-682e-4a7e-850c-d8205d8f70ad,3,,,9726,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['d14dc9fc-de10-4b23-bc86-4621aaae74a6'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d14dc9fc-de10-4b23-bc86-4621aaae74a6,4,,,9726,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['42a63d20-682e-4a7e-850c-d8205d8f70ad'],0,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,472eb262-8dfd-4fff-878e-c0502687552a,2051,,,9726,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Barcelona,217,['cc1ee7bd-e476-479a-8be4-663c3573e2f2'],0,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cc1ee7bd-e476-479a-8be4-663c3573e2f2,2052,,,9726,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Barcelona,217,['472eb262-8dfd-4fff-878e-c0502687552a'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,1.119547,,,,,,,,,,,,,,b280b7ac-ca50-4bc3-8e32-6c787ec34fa1,5,,"[60.0, 40.0]",9726,0,,,,3.0787385,,Right Foot,,,,"[45.7, 40.9]",,Ground Pass,,14.328294,,,,Ivan Rakitić,5470.0,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,2,Barcelona,217,['3edc6957-abd1-492e-be6f-aa07756b8b09'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.203,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.046462,,,,,,,,,,,,,,66aca92d-0426-4957-adbc-ae8a7bc31d67,8,,"[45.6, 38.8]",9726,0,,,,-1.3501492,,Right Foot,,,,"[48.0, 28.1]",,Ground Pass,,10.965857,,,,José Paulo Bezzera Maciel Júnior,5542.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Defensive Midfield,2,Barcelona,217,['6fb0c211-7393-463d-9ab7-0219235a01ca'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.363,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.085523,,,,,,,,,,,,,,eb684ce0-64d7-439d-8c57-bbaffd74ab7c,11,,"[45.7, 31.2]",9726,0,,,,-1.6300875,,Right Foot,,,,"[44.4, 9.3]",,Ground Pass,,21.93855,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,José Paulo Bezzera Maciel Júnior,5542.0,Left Defensive Midfield,2,Barcelona,217,['48a65830-d3f2-4b5e-833d-727c85f4ce38'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.025,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.721522,,,,,,,,,,,,,,ccfc8098-d4fa-4d58-a737-c330c2274baf,14,,"[44.4, 9.3]",9726,0,,,,2.1025205,,Left Foot,,,,"[37.4, 21.2]",,Ground Pass,,13.806158,,,,Thomas Vermaelen,6332.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['d4efc5e9-640f-42f8-b478-129cd06fdb3d'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.270,Pass,,2017/2018
