ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dc496399-8586-4b22-a423-6e15b4e8886f,1,,,9742,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e867c0d8-ab53-4ec5-923c-a7920b99df72,2,,,9742,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 6692, 'name': 'Oier Olazábal Paredes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6806, 'name': 'Shaquell Moore'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 6809, 'name': 'Erick Cathriel Cabaco Almada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 6682, 'name': 'Sergio Postigo Redondo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 6675, 'name': 'Antonio Manuel Luna Rodríguez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 6687, 'name': 'Saša Lukić'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 6691, 'name': 'David Remeseiro Salgueiro'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6683, 'name': 'Cheick Doukouré'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 6780, 'name': 'Iván López Álvarez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 6678, 'name': 'Emmanuel Okyere Boateng'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Levante UD,221,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,85e7ff04-17c1-445b-a8d9-8694b2f50480,3,,,9742,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['3918da06-fca1-456c-8c90-78c5caa88acc'],0,,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3918da06-fca1-456c-8c90-78c5caa88acc,4,,,9742,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['85e7ff04-17c1-445b-a8d9-8694b2f50480'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fa16a19c-b6a0-4dc8-a3ab-da7b3c4b7158,1802,,,9742,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,89,Levante UD,221,['a3cbf308-0d74-4732-b0d9-ea726d075514'],0,,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a3cbf308-0d74-4732-b0d9-ea726d075514,1803,,,9742,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,89,Levante UD,221,['fa16a19c-b6a0-4dc8-a3ab-da7b3c4b7158'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,1.271772,,,,,,,,,,,,8cbc3e3c-81c2-4dcd-8200-8a2cf0d921cc,5,,"[60.0, 40.0]",9742,0,,,,,-3.1274092,,Right Foot,,,,"[45.9, 39.8]",,Ground Pass,,14.1014185,,,Ivan Rakitić,5470.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Left Center Forward,2,Barcelona,217,['d5abb4f8-b84a-400a-b38a-5c8fc3e974db'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.350,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.373206,,,,,,,,,,,,4ce4fad2-20a0-478d-bb16-0b504778ceb3,8,,"[45.2, 33.6]",9742,0,,,,,-1.6564233,,Right Foot,,,,"[43.2, 10.3]",,Ground Pass,,23.38568,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Left Defensive Midfield,2,Barcelona,217,['d324ce47-44f2-421a-9c4f-70be0b321d3f'],2,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.822,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.03629,,,,,,,,,,,,65cadffd-9c40-485a-aae0-804852132f6e,11,,"[43.2, 10.3]",9742,0,,,,,1.7401001,,Left Foot,,,,"[41.2, 22.0]",,Ground Pass,,11.869709,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['95edb8ab-b96f-4674-b6d8-cca907342c36'],5,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.317,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.385603,,,,,,,,,,,,da9ea37b-1ff6-4567-a8f1-afae17a02451,14,,"[40.8, 30.6]",9742,0,,,,,1.4031539,,Right Foot,,,,"[44.1, 50.1]",,Ground Pass,,19.77726,,,José Paulo Bezzera Maciel Júnior,5542.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Left Defensive Midfield,2,Barcelona,217,['cab2f4e4-8c2b-463b-b94f-4787adff63cc'],7,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.757,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.247832,,,,,,,,,,,,50a0dd43-a7f5-4079-adb5-82b28c4cbbdd,17,,"[49.7, 56.6]",9742,0,,,,,1.5766442,,Right Foot,,,,"[49.6, 73.7]",,Ground Pass,,17.100292,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,José Paulo Bezzera Maciel Júnior,5542.0,Right Defensive Midfield,2,Barcelona,217,['1b4a7dac-aab8-475e-9ce9-784aa95c0dc4'],10,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.469,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.519393,,,,,,,,,,,,ab87a1df-b62d-4443-a7c2-db1f72a4b53b,21,,"[47.9, 73.1]",9742,0,,,,,-2.2244322,,Right Foot,,,,"[33.5, 54.3]",,Ground Pass,,23.681215,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,"['6414ffe7-4189-48f5-8894-0517f2dc31d1', 'af9dfdc9-9a1e-44fe-be13-d3b3d682ebad']",13,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.267,Pass,True,2017/2018
,,,,,,,,,,,,,,,,1.118102,,,,,,,,,,,,93563dc9-86f4-4203-8dc2-df92422d0545,24,,"[35.3, 51.4]",9742,0,,,,,-0.9861215,,Right Foot,,,,"[44.5, 37.5]",,Ground Pass,,16.668833,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['d35937e0-cc99-4427-8562-c57aede10954'],16,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.114,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.281636,,,,,,,,,,,,d20d01c3-2938-4312-8a74-4485fcfb71c3,27,,"[48.9, 31.5]",9742,0,,,,,-1.3764311,,Right Foot,,,,"[51.4, 18.8]",,Ground Pass,,12.943725,,,Thomas Vermaelen,6332.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Left Defensive Midfield,2,Barcelona,217,['ef8e098a-aaf6-4cdd-a43c-969f43b63cf0'],19,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.504,Pass,,2017/2018
