50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,856acc25-375f-4f88-af70-5b9688aad48d,1,,,,9754,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6689, 'name': 'Álvaro Odriozola Arzallus'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 6713, 'name': 'Diego Javier Llorente Ríos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6693, 'name': 'Raúl Rodríguez Navas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 6885, 'name': 'Kévin Manuel Rodrigues'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 6673, 'name': 'Sergio Canales Madrazo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6669, 'name': 'David Zurutuza Veillet'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 6695, 'name': 'Juan Miguel Jiménez López'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 6721, 'name': 'Willian José da Silva'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'jersey_number': 12}]}",Real Sociedad,210,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,285b6ce8-ddd3-4cb4-96a3-2b1fbfd80dfc,2,,,,9754,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,,,"{'formation': 4222, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,788a3c37-ee15-4a07-a7d1-838c175f3e30,3,,,,9754,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['9693537f-8240-4bcd-822d-7378e1ec16b2'],0,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9693537f-8240-4bcd-822d-7378e1ec16b2,4,,,,9754,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['788a3c37-ee15-4a07-a7d1-838c175f3e30'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4ecad5c1-519b-40c2-987c-f37b18ea898a,1952,,,,9754,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,95,Real Sociedad,210,['ef9b6855-0612-409d-a0a4-e8e67535ebd7'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ef9b6855-0612-409d-a0a4-e8e67535ebd7,1953,,,,9754,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,95,Real Sociedad,210,['4ecad5c1-519b-40c2-987c-f37b18ea898a'],0,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,1.097,,,,,,,,,,,,,e1de8551-019b-4417-8ec7-ffb8bbf61f24,5,,,"[61.0, 41.0]",9754,0,,,3.1415927,,Left Foot,,,,"[49.0, 41.0]",,Ground Pass,,12.0,,,,Asier Illarramendi Andonegi,6671.0,,,,,Kick Off,1,From Kick Off,Xabier Prieto Argarate,6690.0,Center Attacking Midfield,2,Real Sociedad,210,['2f921160-2e6e-4168-8c04-a7d87468c75f'],0,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.335,Pass,,2017/2018
,,,,,,,,,,,,,,,,,2.115,,,,,,,,,,,,,0f40d384-1da2-4ee6-9662-b5866d45715f,8,,,"[50.0, 45.0]",9754,0,,,1.6041173,,Right Foot,,,,"[49.0, 75.0]",,Ground Pass,,30.016663,,,,Álvaro Odriozola Arzallus,6689.0,,,,,,1,From Kick Off,Asier Illarramendi Andonegi,6671.0,Right Center Midfield,2,Real Sociedad,210,['52bc75ae-8c3d-496e-be8c-af2e90b77b4b'],2,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:02.362,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.556,,,,,,,,,,,,,68c8f719-7b36-480a-8cda-ff56c7cacfb2,11,,,"[51.0, 75.0]",9754,0,,,-2.714965,,Right Foot,,,,"[29.0, 65.0]",,Ground Pass,,24.166092,,,,Diego Javier Llorente Ríos,6713.0,,,,,,1,From Kick Off,Álvaro Odriozola Arzallus,6689.0,Right Back,2,Real Sociedad,210,['6a65b272-fdd6-436f-98b3-e6011533ee27'],5,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:05.873,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.646,,,,,,,,,,,,,ce5b209a-9cf0-486d-8787-8cb29b79e44d,14,,,"[33.0, 68.0]",9754,0,,,-1.6588037,,Right Foot,,,,"[30.0, 34.0]",,Ground Pass,,34.132095,,,,Raúl Rodríguez Navas,6693.0,,,,,,1,From Kick Off,Diego Javier Llorente Ríos,6713.0,Right Center Back,2,Real Sociedad,210,['fd1c3d07-834a-4d61-a22a-e447565aecc4'],8,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:08.572,Pass,,2017/2018
